observable_id	variable_id	J_h_raw	J_2h_raw	J_h_tight_raw	rounding_bound_h_raw	rounding_bound_2h_raw	rounding_bound_tight_raw	step_disagreement_raw	convergence_disagreement_raw
BOND|A|S1-O1	CC_FOURIER_1	5.305934630550624e-06	4.2065929433121596e-05	5.443609213395817e-06	1.7320518390146524e-07	8.660259195089577e-08	1.732051839021002e-07	3.675999480257097e-05	1.3767458284519307e-07
BOND|A|S1-O2	CC_FOURIER_1	-4.2618103757163794e-06	5.092940633111276e-06	-8.149799535228652e-07	1.7320518403239766e-07	8.660259201620886e-08	1.7320518403162382e-07	9.354751008827655e-06	3.446830422193514e-06
BOND|A|S1-O3	CC_FOURIER_1	2.2448584608980582e-05	-4.251282236744647e-05	5.053298706148013e-06	1.732051839465116e-07	8.660259197319795e-08	1.732051839467402e-07	6.496140697642705e-05	1.739528590283257e-05
BOND|A|S1-C2	CC_FOURIER_1	1.985384599501039e-05	7.459471362269987e-05	4.303145254902496e-05	1.7320520646845774e-07	8.660260323507925e-08	1.7320520646947045e-07	5.474086762768948e-05	2.3177606554014574e-05
BOND|A|F1-C1	CC_FOURIER_1	-1.6756390752714623e-06	-1.7725891784392545e-05	2.3480563493549766e-07	1.7320517778728542e-07	8.660258889363514e-08	1.7320517778739685e-07	1.6050252709121082e-05	1.91044471020696e-06
BOND|A|F2-C1	CC_FOURIER_1	-2.517861365847196e-05	-1.6490325915885506e-05	-1.0683223004015474e-05	1.7320517797778696e-07	8.660258898903007e-08	1.7320517797812128e-07	8.688287742586454e-06	1.4495390654456486e-05
BOND|A|F3-C2	CC_FOURIER_1	-1.148973612585813e-05	-6.614229394019677e-05	-3.876314338402409e-05	1.7320517678805423e-07	8.66025883937571e-08	1.7320517678768953e-07	5.465255781433864e-05	2.727340725816596e-05
BOND|A|F4-C2	CC_FOURIER_1	1.3577850217494358e-05	4.34622832512499e-05	2.1714029506680887e-05	1.732051771525507e-07	8.660258857630003e-08	1.7320517715271853e-07	2.9884433033755542e-05	8.13617928918653e-06
BOND|A|F5-C3	CC_FOURIER_1	-4.377811031908152e-05	-1.7162650590152317e-05	4.238256424704545e-06	1.732051773955775e-07	8.660258869762265e-08	1.7320517739530382e-07	2.6615459728929203e-05	4.8016366743786065e-05
BOND|A|F6-C3	CC_FOURIER_1	-3.153821062751305e-05	2.1301370971005262e-05	9.70791228960266e-06	1.7320517795644584e-07	8.660258897853219e-08	1.7320517795689556e-07	5.2839581598518315e-05	4.124612291711571e-05
BOND|A|F7-C4	CC_FOURIER_1	2.5143562465412828e-05	2.3314504229432487e-05	2.18383336003658e-05	1.7320517643872566e-07	8.660258821962468e-08	1.732051764394085e-07	1.829058235980341e-06	3.3052288650470274e-06
BOND|A|F8-C4	CC_FOURIER_1	-1.225836220308807e-06	6.859746536913569e-06	4.386539042000592e-06	1.7320517695124285e-07	8.660258847530888e-08	1.7320517695068431e-07	8.085582757222376e-06	5.612375262309399e-06
BOND|A|F9-C4	CC_FOURIER_1	-2.4961858133831782e-05	-3.928313210832535e-05	-1.4873747317123431e-05	1.7320517680492387e-07	8.660258840249865e-08	1.7320517680484035e-07	1.4321273974493565e-05	1.0088110816708351e-05
BOND|A|C1-C2	CC_FOURIER_1	1.0760477888727138e-05	2.392354099267635e-05	2.6757653501796597e-05	1.7320518639694297e-07	8.660259319812678e-08	1.7320518639494614e-07	1.3163063103949213e-05	1.599717561306946e-05
BOND|A|C1-C3	CC_FOURIER_1	4.60333544183289e-05	-2.5888820787134392e-05	3.888294515252966e-06	1.7320518918671716e-07	8.660259459271344e-08	1.7320518918507365e-07	7.192217520546329e-05	4.214505990307593e-05
BOND|A|C3-C4	CC_FOURIER_1	3.4335994764100874e-05	-9.964864217393288e-05	-3.834974881544717e-05	1.7320518700570203e-07	8.66025935023096e-08	1.7320518700467606e-07	0.00013398463693803375	7.268574357954805e-05
ANGLE|A|S1-C2-F3	CC_FOURIER_1	0.018279525296307497	0.026415002739383908	0.01819413535571357	1.2951965267631357e-05	6.475965336672441e-06	1.2951947967812821e-05	0.008135477443076411	8.538994059392735e-05
ANGLE|A|S1-C2-F4	CC_FOURIER_1	-0.02543581009810225	-0.017203846074735907	-0.0217293704792354	1.2924200196798565e-05	6.462060283547105e-06	1.2924142274693917e-05	0.008231964023366345	0.0037064396188668525
ANGLE|A|S1-C2-C1	CC_FOURIER_1	0.004054044426169412	-0.0033542904085592795	0.003309592176492515	1.2284074252440388e-05	6.142020964370645e-06	1.228415524025211e-05	0.0074083348347286915	0.0007444522496768968
ANGLE|A|F1-C1-F2	CC_FOURIER_1	0.009691031942011819	0.015735078148644277	0.01261053609290741	1.4520118536064075e-05	7.2600496456141755e-06	1.4520085249910868e-05	0.0060440462066324585	0.002919504150895591
ANGLE|A|F1-C1-C2	CC_FOURIER_1	0.028074284585812848	0.02840961467356351	0.026952415530345775	1.3942084639979288e-05	6.971064667928222e-06	1.3942202466203149e-05	0.00033533008775066264	0.001121869055467073
ANGLE|A|F1-C1-C3	CC_FOURIER_1	-0.028387002063112732	-0.041669200499327985	-0.03390494664863297	1.3770346953284916e-05	6.8852127369124436e-06	1.3770437178991952e-05	0.013282198436215253	0.00551794458552024
ANGLE|A|F2-C1-C2	CC_FOURIER_1	0.02501796324480665	0.018765198125088034	0.018894865350702617	1.3927844485423631e-05	6.963933833759703e-06	1.39279457188247e-05	0.006252765119718617	0.006123097894104035
