variables	subset_size	full_primary_rank	full_primary_delta	PES_rank	PES_delta	full_primary_singular_values	PES_singular_values
CC_FOURIER_1	1	1	0.017324915154944543	1	0.0005950334195427965	[1.0353394344938558]	[0.40354100590738345]
CC_FOURIER_2	1	1	0.02362557137710081	1	0.0002696463390565739	[0.7390199612122177]	[0.2931384553737324]
CC_FOURIER_3	1	1	0.016729878663142923	1	0.0002243946162628318	[0.3109662813187718]	[0.12142569853314801]
CC_FOURIER_4	1	1	0.005926295200870005	1	0.00015382706995774195	[0.04900613808406789]	[0.04825047862697979]
CC_FOURIER_1;CC_FOURIER_2	2	1	0.029297104089321045	2	0.0006532793571967558	[1.271905319496781, 0.01830589861100199]	[0.49855869660012087, 0.014653447103980166]
CC_FOURIER_1;CC_FOURIER_3	2	2	0.02408405126239171	2	0.0006359384515662952	[1.072458677422758, 0.13586816387922357]	[0.40523937997391546, 0.11563126147959461]
CC_FOURIER_1;CC_FOURIER_4	2	1	0.018310479511303955	2	0.0006145954261337922	[1.0354741642399599, 0.046071698248801835]	[0.40422390711483674, 0.04214836952114933]
CC_FOURIER_2;CC_FOURIER_3	2	1	0.028949204876437793	2	0.0003508020695126475	[0.7902327261425669, 0.13558307313459228]	[0.29514330581167075, 0.11646794974463674]
CC_FOURIER_2;CC_FOURIER_4	2	1	0.024357516246578587	2	0.00031043826377944594	[0.7392128958516507, 0.046004339432699944]	[0.2940944214395161, 0.04203253483656024]
CC_FOURIER_3;CC_FOURIER_4	2	1	0.017748515850384217	2	0.0002720582865114157	[0.3113446188440008, 0.04654200257857543]	[0.12318597398745836, 0.04356058728663804]
CC_FOURIER_1;CC_FOURIER_2;CC_FOURIER_3	3	1	0.03373735538100159	3	0.0006907437023579368	[1.3019847394906552, 0.13915055190153103, 0.015847329249474993]	[0.4997936039270232, 0.11652219314857086, 0.012191378485983633]
CC_FOURIER_1;CC_FOURIER_2;CC_FOURIER_4	3	1	0.029890488166444636	3	0.000671145800844489	[1.272015690139444, 0.04611645992984443, 0.018144018868315598]	[0.49911146233371584, 0.04215471916940489, 0.014640149392043618]
CC_FOURIER_1;CC_FOURIER_3;CC_FOURIER_4	3	2	0.02480246963544894	3	0.0006542785963428126	[1.0725889184619168, 0.13586818295615613, 0.0460675933611256]	[0.4059398490179372, 0.116388486633421, 0.039802155208164866]
CC_FOURIER_2;CC_FOURIER_3;CC_FOURIER_4	3	1	0.02954957593241948	3	0.0003830468110115791	[0.7904130743014468, 0.1355843559872188, 0.046002034108448206]	[0.2961467843793779, 0.11722418443424737, 0.03947196038168185]
CC_FOURIER_1;CC_FOURIER_2;CC_FOURIER_3;CC_FOURIER_4	4	1	0.034253906681017444	4	0.0007076649134999799	[1.3020926779286082, 0.1391506583411711, 0.046116439811835046, 0.015649400062357037]	[0.500355447756023, 0.1173196159751349, 0.0398976617436585, 0.01168403249488143]
