matrix	subset	reanchored	rows	columns	rank	singular_values	delta_frobenius	machine_tolerance	threshold_5delta	condition_supported	covariance_proxy_diagonal	covariance_proxy_note
CC_ONLY	FULL_PRIMARY_118	False	118	4	1	[1.3020926779286082,0.1391506583411711,0.046116439811835046,0.015649400062357037]	0.034253906681017444	3.4116473201079195e-14	0.17126953340508722	1.0	[0.37274894350928844,0.1897253423714227,0.027243343046529943,9.790524405235242e-05]	unit-noise proxy only
COMBINED_4PLUS4	FULL_PRIMARY_118	False	118	8	5	[1.5283283565611803,1.4367939002736179,1.1431010419439736,0.9408293180776449,0.2560844842132969,0.12282170022624406,0.034575452420108975,0.015347518295074948]	0.039985478995632935	4.004413380314526e-14	0.19992739497816467	5.9680630837759425	[0.7002687200829024,1.003538439479966,0.5046988031607248,13.611717264060225,0.575621580454737,0.2621461611110713,1.3394904216848105,0.05880801180308836]	unit-noise proxy only
CC_ONLY	LOW_TIER_FULL_99	False	99	4	1	[1.2309663636565613,0.015348252028677165,0.010150185921625796,0.002901959403224203]	0.03424811936903914	2.7059614549518235e-14	0.17124059684519571	1.0	[0.4133500655898007,0.20946491536557688,0.037101624748078495,2.8220018854794527e-05]	unit-noise proxy only
COMBINED_4PLUS4	LOW_TIER_FULL_99	False	99	8	4	[1.4274655386212405,1.2012561497645395,1.11129911150059,0.8718470468573873,0.1637617137044374,0.014464475901437077,0.009945456459065286,0.002795856271230897]	0.039979233949139166	3.1379141135157784e-14	0.19989616974569582	1.637288953110073	[0.7247582913378869,1.052823720911465,0.7627559339985029,0.024002541985799365,0.4658665813179827,0.23646182458612167,0.042363282073811515,3.262802898811868e-05]	unit-noise proxy only
CC_ONLY	GEOMETRY_ONLY_92	False	92	4	0	[0.015062352293814753,0.010245343031151481,0.009953905901286518,0.0021387196986881645]	0.03423654695168233	3.076952939175997e-16	0.17118273475841164		[0.0,0.0,0.0,0.0]	unit-noise proxy only
COMBINED_4PLUS4	GEOMETRY_ONLY_92	False	92	8	3	[1.2012190532438993,1.1732743543308595,0.9416341352631233,0.16381405136257685,0.014664353218876068,0.010033349236147005,0.00816763872184597,0.002091911415522046]	0.03996730544708139	2.4538627329748484e-14	0.19983652723540693	1.2756749232633113	[0.7256384709998048,1.0471327845429859,0.7624804796498129,0.012016345683494236,2.8448570511887196e-06,2.5487235663193674e-06,1.3065986300499434e-05,8.731290500799891e-08]	unit-noise proxy only
CC_ONLY	PES_ONLY_25	False	25	4	4	[0.500355447756023,0.1173196159751349,0.0398976617436585,0.01168403249488143]	0.0007076649134999799	2.777530692976832e-15	0.0035383245674998993	42.82386650116045	[2507.534655503743,4722.561920009977,126.70669824833483,673.1709806260116]	unit-noise proxy only
COMBINED_4PLUS4	PES_ONLY_25	False	25	8	8	[0.8714485354246203,0.5818957397566779,0.3430395405327942,0.1418034308730684,0.12275583455604229,0.04738569392912682,0.016684763830694116,0.007139146638549856]	0.0007801884098776015	4.837511144021424e-15	0.0039009420493880077	122.06620476444421	[127.1836666894119,54.684917792170445,27.19990022480319,158.69956332518296,5808.906482726055,10880.069871484518,292.4854132857617,6437.558561624003]	unit-noise proxy only
CC_ONLY	A_BASIN_GEOMETRY_ONLY_46	False	46	4	0	[0.011790530617734026,0.008747249713909184,0.0030518223310000217,0.0014420360998627234]	0.01688734453300365	1.204290907920769e-16	0.08443672266501825		[0.0,0.0,0.0,0.0]	unit-noise proxy only
COMBINED_4PLUS4	A_BASIN_GEOMETRY_ONLY_46	False	46	8	4	[0.8474580996436386,0.8301772756349931,0.6667241034908723,0.11877865124718379,0.011317474349069313,0.005551899953630609,0.0025309309623279524,0.001380337214814258]	0.018252063105610516	8.655980950590919e-15	0.09126031552805258	7.134767828606167	[1.4498412600848671,2.547976605244402,1.7654937108526716,69.98955582125971,0.04008004333299434,0.04720174465322272,0.1307479421589924,0.0020036665144116303]	unit-noise proxy only
CC_ONLY	B_BASIN_GEOMETRY_ONLY_46	False	46	4	0	[0.012072451196338102,0.007674880903329351,0.0016482371898891028,0.0010987433864558902]	0.029781852558200275	1.233086421929103e-16	0.14890926279100136		[0.0,0.0,0.0,0.0]	unit-noise proxy only
COMBINED_4PLUS4	B_BASIN_GEOMETRY_ONLY_46	False	46	8	3	[0.8514007509599706,0.8290754340010229,0.664907565046993,0.11274762333358614,0.00993776586033587,0.0074085957061600025,0.0016171270846031737,0.0008834737855486355]	0.03555626101109498	8.696251395469955e-15	0.1777813050554749	1.2804798677539442	[1.4531682338610896,2.087045781109906,1.5290154345958729,0.02681557706792196,4.938860573261717e-05,9.398166209185909e-05,9.349285183399693e-05,5.820701016150305e-07]	unit-noise proxy only
CC_ONLY	REMOVE_BONDS	False	86	4	2	[1.3020748189016889,0.13909689261950414,0.04609908166662834,0.01529006579170748]	0.02747433144128221	2.486420723214372e-14	0.13737165720641104	9.360919531563368	[1.3277305623586146,1.8410276716716978,49.10597424816804,0.00017339724655135143]	unit-noise proxy only
COMBINED_4PLUS4	REMOVE_BONDS	False	86	8	5	[1.4314626348506887,0.8826629312386445,0.41769580597914036,0.2323207595633871,0.18564687685697526,0.1062935084040199,0.019882526449898793,0.013429725364274853]	0.03330625758356218	2.7334975748951434e-14	0.16653128791781088	7.710674475571738	[23.55788028378513,9.643274278730408,1.3594839466850341,16.587862305676747,1.2271805871794297,0.806011362835782,1.850564604393366,0.013906034909809704]	unit-noise proxy only
CC_ONLY	REMOVE_ANGLES	False	58	4	2	[1.3020243844830959,0.1388302723236899,0.046070715425339914,0.0124384386871688]	0.020486097981400136	1.6768234423207754e-14	0.10243048990700068	9.378533677780009	[1.3348465889288548,1.8415533543403144,49.29712906137798,0.0001331526789974248]	unit-noise proxy only
COMBINED_4PLUS4	REMOVE_ANGLES	False	58	8	5	[1.5217047402527561,1.4099781535394011,1.1347190859078116,0.931742823191329,0.19968486922963916,0.1070646385565767,0.03204471118522058,0.011058070180819288]	0.02215817596503628	1.9597407015994296e-14	0.11079087982518139	7.620531020318739	[0.7095598535923887,1.0273284514975276,0.5422860887429984,17.998317613639024,0.4814333499615455,0.21596346684245601,6.8351938692656935,0.13227926903437037]	unit-noise proxy only
CC_ONLY	REMOVE_CC	False	107	4	1	[1.2069659013362863,0.055754232547756376,0.010201285328563077,0.0038454823167797378]	0.03424982059427625	2.8676028539061403e-14	0.17124910297138124	1.0	[0.43036026821619294,0.21820839585910026,0.037847429694970736,3.56276562058364e-05]	unit-noise proxy only
COMBINED_4PLUS4	REMOVE_CC	False	107	8	4	[1.433495531938186,1.2100671551387159,1.1194794683921048,0.9276506801706006,0.1762357723187334,0.04866852039545849,0.009973431357309505,0.0035356361508089257]	0.03998137457273054	3.4058094548458294e-14	0.1999068728636527	1.545296696893013	[0.7041147569655559,0.9263273299971898,0.7162178181905469,0.02287109194990539,0.4737578056103992,0.23871108930579468,0.04755162430773232,2.7707656824744592e-05]	unit-noise proxy only
CC_ONLY	REMOVE_CS	False	105	4	1	[1.2998568639289303,0.12882383138009704,0.045468284311637956,0.015068570802210524]	0.034250682408585614	3.03057514000699e-14	0.17125341204292807	1.0	[0.3738229076201768,0.18999925846754534,0.02793042769218755,9.370545947585428e-05]	unit-noise proxy only
COMBINED_4PLUS4	REMOVE_CS	False	105	8	5	[1.4963303392671399,1.4277399025657012,1.1394382556175513,0.8809817954939789,0.25184260968188643,0.10757814285766598,0.033916184745972716,0.014894185019120366]	0.03998197161647377	3.4886468297090566e-14	0.19990985808236886	5.941529676638997	[0.7227448346529329,1.158115687208275,0.5324250487594979,13.68768719362182,0.5634645547150265,0.2508694437474473,1.785311185135693,0.06198027819668975]	unit-noise proxy only
CC_ONLY	REMOVE_AB_ENERGY	False	117	4	1	[0.5005742801475441,0.11778454785380167,0.03997242341107778,0.015417457735152622]	0.03424385984091962	1.3004528737706225e-14	0.1712192992045981	1.0	[2.5945662422362554,1.3662438384292823,0.02101318190542221,0.009004061149386481]	unit-noise proxy only
COMBINED_4PLUS4	REMOVE_AB_ENERGY	False	117	8	5	[1.444466333124896,1.209482105321799,1.0610738997234481,0.4900603851233213,0.24372043431392884,0.10441251982426349,0.030834283486352455,0.015184510884698868]	0.03997491962037208	3.752610688314846e-14	0.1998745981018604	5.926734609640171	[0.7004115234465771,1.0023658600723835,0.5288667071382737,14.742885893188044,3.4058265637784735,1.720239955711595,0.813530971619516,0.13596323123934304]	unit-noise proxy only
CC_ONLY	REMOVE_CC180	False	117	4	1	[1.2772837906563286,0.1390960057175649,0.045997593294913305,0.015572145871928404]	0.034252878399438864	3.318283503679141e-14	0.17126439199719432	1.0	[0.38756252387462486,0.19712370356708592,0.028153926373161497,0.00011005649183869589]	unit-noise proxy only
COMBINED_4PLUS4	REMOVE_CC180	False	117	8	5	[1.5077263802809897,1.4350256027575383,1.1412849060808552,0.938000914151242,0.25608434770342986,0.12272416989108775,0.034474490445354694,0.015281977268073153]	0.03998457825920675	3.9169553488011164e-14	0.19992289129603377	5.88761630221571	[0.7002705297097309,1.0035696972794486,0.5047537893756737,13.6125281055619,0.5892523432266916,0.2689230001833388,1.3404535280852707,0.05879006131803074]	unit-noise proxy only
CC_ONLY	DELETE_ZERO_CC300_ROW_CONTROL	False	117	4	1	[1.3020926779286082,0.1391506583411712,0.046116439811835046,0.015649400062357034]	0.034253906681017444	3.382735054683276e-14	0.17126953340508722	1.0	[0.37274894350928844,0.1897253423714227,0.027243343046529943,9.790524405235242e-05]	unit-noise proxy only
COMBINED_4PLUS4	DELETE_ZERO_CC300_ROW_CONTROL	False	117	8	5	[1.5283283565611794,1.4367939002736185,1.1431010419439736,0.9408293180776454,0.2560844842132968,0.1228217002262441,0.03457545242010902,0.015347518295074941]	0.03998547899563294	3.9704776737016887e-14	0.1999273949781647	5.968063083775941	[0.7002687200829024,1.0035384394799647,0.504698803160724,13.611717264060232,0.575621580454737,0.2621461611110718,1.3394904216848045,0.058808011803088346]	unit-noise proxy only
CC_ONLY	REMOVE_A_INCLUDING_AB_ENERGY	False	71	4	1	[0.5004483145527105,0.11750401560814276,0.03992681136272001,0.014370759513187684]	0.029790259002368192	7.889651228608063e-15	0.14895129501184096	1.0	[2.5957811701769575,1.3669380580451909,0.021093124364936884,0.009024250374060242]	unit-noise proxy only
COMBINED_4PLUS4	REMOVE_A_INCLUDING_AB_ENERGY	False	71	8	5	[1.183106678202296,0.9008625603113445,0.7973916072385179,0.4694723747455622,0.20544621092640755,0.09996243687007111,0.027511468263972043,0.01355639465562393]	0.035564819569962956	1.8651874301137245e-14	0.1778240978498148	5.7587174417448574	[1.3618869403142553,1.7464940077408826,0.8479386854949138,20.08017556369687,3.810586718361034,1.959987717901777,1.7422577583637495,0.19925991960520548]	unit-noise proxy only
CC_ONLY	REMOVE_B_INCLUDING_AB_ENERGY	False	71	4	2	[0.5004814499262561,0.11760130632207955,0.03994317058163911,0.01294313146165142]	0.016902165394001068	7.890173613303949e-15	0.08451082697000534	4.255747368618227	[2.628301111679833,2.1314165443720925,70.42195073151296,1.1168678337090185]	unit-noise proxy only
COMBINED_4PLUS4	REMOVE_B_INCLUDING_AB_ENERGY	False	71	8	6	[1.1833752202909817,0.902042078925273,0.7955166816521229,0.46850122789075077,0.20573010776477688,0.09980536836752762,0.028210640061989492,0.012271999131118884]	0.0182687301574602	1.8656107911998388e-14	0.091343650787301	11.85682934342038	[1.3600639731833661,1.7789748093476645,0.8593703577683979,26.294389868355527,4.532704808811613,4.1175453825535335,92.95728449302399,0.19602055484306086]	unit-noise proxy only
CC_ONLY	REMOVE_CC300_SOURCE_REANCHOR_CC180	True	117	4	0	[0.8486477323508257,0.22429209816566711,0.17276549713428785,0.04025349576762785]	0.27325572285914734	2.2047205102692448e-14	1.3662786142957368		[0.0,0.0,0.0,0.0]	unit-noise proxy only
