observable_id	source_id	kind	variable_id	J_h_normalized	J_2h_normalized	J_tight_normalized	E_normalized	R_step	R_step_limit	R_conv	R_conv_limit	signal	uncertainty	finite_difference_status
BOND|A|S1-O1	GEO_A	bond	CC_FOURIER_1	7.1533431592498944e-05	0.00056712351263302685	7.3389529724066096e-05	0.00050561907746972119		0.10		0.05	7.1533431592498944e-05	0.00050561907746972119	UNIDENTIFIABLE
BOND|A|S1-O1	GEO_A	bond	CC_FOURIER_2	2.325149366979732e-05	-0.00047305958533449085	-0.00010177720785421328	0.00062796264639016603		0.10		0.05	2.325149366979732e-05	0.00062796264639016603	UNIDENTIFIABLE
BOND|A|S1-O1	GEO_A	bond	CC_FOURIER_3	-0.00021729289121546713	-4.0903726222834491e-05	1.5089078475583049e-05	0.00041412579218902098		0.10		0.05	0.00021729289121546713	0.00041412579218902098	UNIDENTIFIABLE
BOND|A|S1-O1	GEO_A	bond	CC_FOURIER_4	-0.00010636395877124207	0.00015083279728183942	-1.5497570747518499e-05	0.00035193822516619427		0.10		0.05	0.00010636395877124207	0.00035193822516619427	UNIDENTIFIABLE
BOND|A|S1-O2	GEO_A	bond	CC_FOURIER_1	-5.7456780416435848e-05	6.8661893851021085e-05	-1.098737862673893e-05	0.00018076097436093715		0.10		0.05	5.7456780416435848e-05	0.00018076097436093715	UNIDENTIFIABLE
BOND|A|S1-O2	GEO_A	bond	CC_FOURIER_2	8.7369941541438494e-05	0.0004776837355717873	2.2738399753461122e-05	0.00046156820168518042		0.10		0.05	8.7369941541438494e-05	0.00046156820168518042	UNIDENTIFIABLE
BOND|A|S1-O2	GEO_A	bond	CC_FOURIER_3	-0.00011852811041914613	0.00028773105797979967	-5.9261198906547856e-05	0.00047088073742091818		0.10		0.05	0.00011852811041914613	0.00047088073742091818	UNIDENTIFIABLE
BOND|A|S1-O2	GEO_A	bond	CC_FOURIER_4	-0.00016304531035957621	-0.00017849356725393016	-2.9319197986716396e-05	0.00015304945035951459	0.086547975549039313	0.10	0.82017760632270542	0.05	0.00016304531035957621	0.00015304945035951459	REVIEW
BOND|A|S1-O3	GEO_A	bond	CC_FOURIER_1	0.00030264682912391867	-0.00057314842386405388	6.812745020101947e-05	0.001118487530210615		0.10		0.05	0.00030264682912391867	0.001118487530210615	UNIDENTIFIABLE
BOND|A|S1-O3	GEO_A	bond	CC_FOURIER_2	0.00069836377807329971	-0.00010892427090828826	2.9603187892796653e-05	0.0014826715050256902		0.10		0.05	0.00069836377807329971	0.0014826715050256902	UNIDENTIFIABLE
BOND|A|S1-O3	GEO_A	bond	CC_FOURIER_3	1.0107197087915803e-05	-0.00033574164411019533	4.1492510383785862e-05	0.00038258881200071195		0.10		0.05	1.0107197087915803e-05	0.00038258881200071195	UNIDENTIFIABLE
BOND|A|S1-O3	GEO_A	bond	CC_FOURIER_4	0.0002501132924796947	-7.0141625507408935e-05	3.5789819995807941e-05	0.00053845347156139772		0.10		0.05	0.0002501132924796947	0.00053845347156139772	UNIDENTIFIABLE
BOND|A|S1-C2	GEO_A	bond	CC_FOURIER_1	0.00046360962144289072	0.0017418704140725171	0.0010048327881361074	0.001833639836263826		0.10		0.05	0.00046360962144289072	0.001833639836263826	UNIDENTIFIABLE
BOND|A|S1-C2	GEO_A	bond	CC_FOURIER_2	-0.0013631176983786269	0.00056749492458164766	-0.00037057631323611127	0.0029346251497618494		0.10		0.05	0.0013631176983786269	0.0029346251497618494	UNIDENTIFIABLE
BOND|A|S1-C2	GEO_A	bond	CC_FOURIER_3	-0.0014400495363048455	-0.00020663529279689916	0.00031051671496756599	0.0029932550348451465		0.10		0.05	0.0014400495363048455	0.0029932550348451465	UNIDENTIFIABLE
BOND|A|S1-C2	GEO_A	bond	CC_FOURIER_4	-0.00044496454137644287	-0.00043779845851099776	-2.0694738759392163e-05	0.00043814772368728193	0.01610484027171628	0.10	0.95349126315688981	0.05	0.00044496454137644287	0.00043814772368728193	REVIEW
BOND|A|F1-C1	GEO_A	bond	CC_FOURIER_1	-1.5973961959934236e-05	-0.00016898192770058499	2.2384153818030294e-06	0.00017699945468657699		0.10		0.05	1.5973961959934236e-05	0.00017699945468657699	UNIDENTIFIABLE
BOND|A|F1-C1	GEO_A	bond	CC_FOURIER_2	0.00033706718296192591	9.2196191026895863e-05	8.6843921166832546e-05	0.00049977732692662289		0.10		0.05	0.00033706718296192591	0.00049977732692662289	UNIDENTIFIABLE
BOND|A|F1-C1	GEO_A	bond	CC_FOURIER_3	-5.3406479530245309e-05	-0.00022113252610101911	-6.0887924940730345e-05	0.00017899380648055767		0.10		0.05	5.3406479530245309e-05	0.00017899380648055767	UNIDENTIFIABLE
BOND|A|F1-C1	GEO_A	bond	CC_FOURIER_4	-4.0684851438243226e-05	1.9285957138076268e-05	-2.2120829199842078e-05	8.1274926833950403e-05		0.10		0.05	4.0684851438243226e-05	8.1274926833950403e-05	UNIDENTIFIABLE
BOND|A|F2-C1	GEO_A	bond	CC_FOURIER_1	-0.00024002914632386026	-0.00015720320848008277	-0.00010184376838311127	0.00022679042739507516	0.34506616847282484	0.10	0.57570249303933207	0.05	0.00024002914632386026	0.00022679042739507516	REVIEW
BOND|A|F2-C1	GEO_A	bond	CC_FOURIER_2	-0.000187040473582047	-8.7823501649445212e-05	-0.00012090845701345529	0.00017003206170284555	0.53045723223684715	0.10	0.35357062191987182	0.05	0.000187040473582047	0.00017003206170284555	REVIEW
BOND|A|F2-C1	GEO_A	bond	CC_FOURIER_3	-0.00015919855787105983	2.0702263373604802e-05	7.0279815410489058e-05	0.00041316550902968267		0.10		0.05	0.00015919855787105983	0.00041316550902968267	UNIDENTIFIABLE
BOND|A|F2-C1	GEO_A	bond	CC_FOURIER_4	-0.00014995685591616043	-3.2124556400544886e-05	-1.1807151509509324e-05	0.00025872209994451118		0.10		0.05	0.00014995685591616043	0.00025872209994451118	UNIDENTIFIABLE
BOND|A|F3-C2	GEO_A	bond	CC_FOURIER_1	-0.00010953230353285123	-0.00063053822445166172	-0.00036953123557563467	0.00078678396453243579		0.10		0.05	0.00010953230353285123	0.00078678396453243579	UNIDENTIFIABLE
BOND|A|F3-C2	GEO_A	bond	CC_FOURIER_2	0.0003203721267347622	0.00028797130755628739	0.0003310680249447487	4.7779790557947418e-05	0.10113495049867313	0.10	0.032307252298893904	0.05	0.0003203721267347622	4.7779790557947418e-05	REVIEW
BOND|A|F3-C2	GEO_A	bond	CC_FOURIER_3	-9.4607821553111847e-05	-0.00026345362159184904	-0.00020431035183904458	0.00028233464480212285		0.10		0.05	9.4607821553111847e-05	0.00028233464480212285	UNIDENTIFIABLE
BOND|A|F3-C2	GEO_A	bond	CC_FOURIER_4	9.1251806997419977e-05	8.0004246063807339e-05	2.2988405227492469e-05	8.2251058706959008e-05	0.12325850088569366	0.10	0.74807726023285837	0.05	9.1251806997419977e-05	8.2251058706959008e-05	REVIEW
BOND|A|F4-C2	GEO_A	bond	CC_FOURIER_1	0.00012943841312414015	0.00041432840138015898	0.00020700106989353725	0.00036823175660842739		0.10		0.05	0.00012943841312414015	0.00036823175660842739	UNIDENTIFIABLE
BOND|A|F4-C2	GEO_A	bond	CC_FOURIER_2	0.00022142467124540704	-0.00069877549087135214	-0.00017734481718374996	0.0013236527237252553		0.10		0.05	0.00022142467124540704	0.0013236527237252553	UNIDENTIFIABLE
BOND|A|F4-C2	GEO_A	bond	CC_FOURIER_3	0.00058583073840901879	0.0002661350337218301	0.00012202501394752044	0.00078728774363410765		0.10		0.05	0.00058583073840901879	0.00078728774363410765	UNIDENTIFIABLE
BOND|A|F4-C2	GEO_A	bond	CC_FOURIER_4	-7.6101727731568063e-05	1.6954824417454074e-05	-2.1632520652293606e-05	0.00015026585523748211		0.10		0.05	7.6101727731568063e-05	0.00015026585523748211	UNIDENTIFIABLE
BOND|A|F5-C3	GEO_A	bond	CC_FOURIER_1	-0.00041733919865858993	-0.00016361251757889532	4.0403537912070503e-05	0.0007172485292414692		0.10		0.05	0.00041733919865858993	0.0007172485292414692	UNIDENTIFIABLE
BOND|A|F5-C3	GEO_A	bond	CC_FOURIER_2	0.00029098666101844373	-5.8117037397865626e-05	4.1762964551647759e-05	0.00060301046806900734		0.10		0.05	0.00029098666101844373	0.00060301046806900734	UNIDENTIFIABLE
BOND|A|F5-C3	GEO_A	bond	CC_FOURIER_3	0.00011951724109416646	-1.2385562222432474e-06	2.0477212402777856e-06	0.0002420116316610349		0.10		0.05	0.00011951724109416646	0.0002420116316610349	UNIDENTIFIABLE
BOND|A|F5-C3	GEO_A	bond	CC_FOURIER_4	-0.00019260662855772402	5.7388666611502062e-05	1.5660484539691931e-05	0.00046100250427967055		0.10		0.05	0.00019260662855772402	0.00046100250427967055	UNIDENTIFIABLE
BOND|A|F6-C3	GEO_A	bond	CC_FOURIER_1	-0.00030065554347774478	0.00020306717276222531	9.254607624817309e-05	0.00090270344757572727		0.10		0.05	0.00030065554347774478	0.00090270344757572727	UNIDENTIFIABLE
BOND|A|F6-C3	GEO_A	bond	CC_FOURIER_2	0.00037600914760732801	0.0001375764196587988	-1.149501286232907e-05	0.00063061996161926188		0.10		0.05	0.00037600914760732801	0.00063061996161926188	UNIDENTIFIABLE
