observable_id	kind	source_id	J_h_raw__CC_FOURIER_1	J_h_raw__CC_FOURIER_2	J_h_raw__CC_FOURIER_3	J_h_raw__CC_FOURIER_4
BOND|A|S1-O1	bond	GEO_A	5.305934630550624e-06	2.1283048190490206e-06	-4.9200865979148745e-05	-8.319795141153996e-05
BOND|A|S1-O2	bond	GEO_A	-4.2618103757163794e-06	7.997329989350987e-06	-2.6837903637222382e-05	-0.00012753413812238712
BOND|A|S1-O3	bond	GEO_A	2.2448584608980582e-05	6.392410807798399e-05	2.2885371286918144e-06	0.00019563876519357315
BOND|A|S1-C2	bond	GEO_A	1.985384599501039e-05	-7.203701365754434e-05	-0.00018825392188004386	-0.00020094764294209533
BOND|A|F1-C1	bond	GEO_A	-1.6756390752714623e-06	4.363293635512022e-05	-1.7101577665101786e-05	-4.5005529131225686e-05
BOND|A|F2-C1	bond	GEO_A	-2.517861365847196e-05	-2.4212161527925602e-05	-5.097783125851407e-05	-0.00016588207671364152
BOND|A|F3-C2	bond	GEO_A	-1.148973612585813e-05	4.147178165769816e-05	-3.0294882236159282e-05	0.00010094262883897365
BOND|A|F4-C2	bond	GEO_A	1.3577850217494358e-05	2.8663154042485317e-05	0.0001875920292748745	-8.418363108830818e-05
BOND|A|F5-C3	bond	GEO_A	-4.377811031908152e-05	3.766786890624374e-05	3.8271262192690614e-05	-0.00021306119909469956
BOND|A|F6-C3	bond	GEO_A	-3.153821062751305e-05	4.867392625507172e-05	5.583543834397631e-05	-0.00032658995778311883
BOND|A|F7-C4	bond	GEO_A	2.5143562465412828e-05	-1.8217021412469947e-05	0.00012083519483452321	-0.00012637174512941662
BOND|A|F8-C4	bond	GEO_A	-1.225836220308807e-06	3.401582476803e-06	4.867867874125409e-05	0.00015350572941663643
BOND|A|F9-C4	bond	GEO_A	-2.4961858133831782e-05	2.915123912816675e-05	-7.133065751618872e-05	-0.00012948460321182687
BOND|A|C1-C2	bond	GEO_A	1.0760477888727138e-05	-9.944968569985946e-05	0.0002005627023837775	1.1008799732925567e-05
BOND|A|C1-C3	bond	GEO_A	4.60333544183289e-05	-7.40827502510033e-05	0.00019575415613148905	0.00045880430634692715
BOND|A|C3-C4	bond	GEO_A	3.4335994764100874e-05	-2.7029253891752703e-05	-7.475762362485483e-05	0.0001460119707696883
ANGLE|A|S1-C2-F3	angle	GEO_A	0.018279525296307497	-0.019582019407451412	0.03687673402694713	0.0040707755449176375
ANGLE|A|S1-C2-F4	angle	GEO_A	-0.02543581009810225	0.019054994954075255	-0.021465159072420192	-0.00981926436658398
ANGLE|A|S1-C2-C1	angle	GEO_A	0.004054044426169412	0.0303885870977183	-0.08961863610736032	-0.045158855873239645
ANGLE|A|F1-C1-F2	angle	GEO_A	0.009691031942011819	0.005876674002394111	3.230923724117929e-05	-0.011352598464497987
ANGLE|A|F1-C1-C2	angle	GEO_A	0.028074284585812848	-0.04311274235178075	0.05221912049705679	-0.04778601477646305
ANGLE|A|F1-C1-C3	angle	GEO_A	-0.028387002063112732	-0.02463793917272028	0.01853313709503368	-0.02797835262562387
ANGLE|A|F2-C1-C2	angle	GEO_A	0.02501796324480665	0.015114696406612893	-0.052028361441358584	0.007891761197598157
ANGLE|A|F2-C1-C3	angle	GEO_A	0.01774917997089176	0.024011398108072513	-0.05165585419774743	0.05574933565846152
ANGLE|A|F3-C2-F4	angle	GEO_A	-0.005079957142584135	0.0030485227517118574	-0.002734837540430135	0.0032427992064043565
ANGLE|A|F3-C2-C1	angle	GEO_A	0.02682318800658834	-0.038855370872781236	0.07541206829813518	0.06641469995827265
ANGLE|A|F4-C2-C1	angle	GEO_A	-0.022384153249888072	0.006097865488285947	0.005667203548682664	-0.01761062317093831
ANGLE|A|F5-C3-F6	angle	GEO_A	0.0027305144929812286	-0.0008311047916009784	-0.006831798849731285	0.013441450659712473
ANGLE|A|F5-C3-C1	angle	GEO_A	0.008083532484093325	0.006551864709365418	0.0008749253268547363	0.08848145850421929
ANGLE|A|F5-C3-C4	angle	GEO_A	-0.010513269752507881	0.010483251224471246	-0.039651329976209126	-0.05494971116810632
ANGLE|A|F6-C3-C1	angle	GEO_A	-0.006120735449712811	0.0060044895875677184	-0.023448890721624593	-0.06369919200714946
ANGLE|A|F6-C3-C4	angle	GEO_A	0.006229821050212081	-0.002466091690536132	0.007492652486575935	-0.011150990802377692
ANGLE|A|F7-C4-F8	angle	GEO_A	-0.0009885875477522177	0.0009967615485351189	0.0018323337236836323	0.012414709992114581
ANGLE|A|F7-C4-F9	angle	GEO_A	0.009909866443322812	-0.008240447367882098	0.01380332587018529	0.02163230825544815
ANGLE|A|F7-C4-C3	angle	GEO_A	-0.013144232550388324	0.01226972866575693	-0.012874412996239926	-0.00762406252334813
ANGLE|A|F8-C4-F9	angle	GEO_A	-0.0011720693113659308	0.0020695754594157734	-0.005933627831780086	-0.02073579071790732
ANGLE|A|F8-C4-C3	angle	GEO_A	0.005128578223221325	-0.0009923446027926275	-0.0027886166195401074	-0.00607083824952781
ANGLE|A|F9-C4-C3	angle	GEO_A	0.0014474734921776644	-0.006812600701451288	0.007099232735612304	0.0014845464669122066
ANGLE|A|O1-S1-O2	angle	GEO_A	-0.00037715093931467436	0.001176401411413508	0.007950138841721355	0.030567213460841458
ANGLE|A|O1-S1-O3	angle	GEO_A	0.003320152637442675	-0.003772408783930814	0.010593165266072901	0.010919651182561552
ANGLE|A|O1-S1-C2	angle	GEO_A	-0.014871797968325495	0.021725049840810584	-0.034605362942414786	-0.07861761162395453
ANGLE|A|O2-S1-O3	angle	GEO_A	-0.003030712128406776	-0.002106879955690033	0.002521576997480679	-0.003610470554704648
ANGLE|A|O2-S1-C2	angle	GEO_A	-0.008002329742851089	-0.0011407333910540274	0.01230994752091874	0.003044587231570972
ANGLE|A|O3-S1-C2	angle	GEO_A	0.022740843999358162	-0.014979655991496088	-0.0019875123153667573	0.031757211267091634
ANGLE|A|C1-C3-C4	angle	GEO_A	8.584230378971824e-05	-0.018242290791548044	0.054554300039058035	0.01965085197781491
ANGLE|A|C2-C1-C3	angle	GEO_A	-0.0416922557555921	0.024111438890770387	0.022849227488563884	0.022972433037793394
BOND|B|S1-O1	bond	GEO_B_REVISED	-8.104802797781474e-06	2.6792737506387e-05	-1.5062685891908956e-05	-7.290859604380806e-05
BOND|B|S1-O2	bond	GEO_B_REVISED	1.2884159668047346e-05	-4.166328423926835e-05	9.49430994068301e-05	-0.00011595902346117626
BOND|B|S1-O3	bond	GEO_B_REVISED	-2.9892195678726807e-05	4.681242730897317e-05	-1.7175941142699713e-05	0.00022565189061740654
BOND|B|S1-C2	bond	GEO_B_REVISED	-0.0001026440499540815	0.00020979744883353746	0.0005025034425898411	0.00014506263119051788
BOND|B|F1-C1	bond	GEO_B_REVISED	2.2635556733430207e-05	4.5591333232009035e-05	-2.0758267662568386e-05	5.4636066992852506e-05
BOND|B|F2-C1	bond	GEO_B_REVISED	2.384697727841889e-05	1.3648418444311972e-05	-9.811290888617208e-06	5.4129808002567614e-05
BOND|B|F3-C2	bond	GEO_B_REVISED	-1.319210363615042e-05	2.6396681644946796e-05	2.5138049801753937e-05	5.57371312992494e-06
BOND|B|F4-C2	bond	GEO_B_REVISED	1.1697418311751306e-05	1.5812944555992914e-05	-8.568269275865958e-05	0.00011259006653108194
BOND|B|F5-C3	bond	GEO_B_REVISED	-5.184269780134088e-07	-1.0945013731999964e-05	-5.7501056693887165e-06	-4.787596541433459e-06
BOND|B|F6-C3	bond	GEO_B_REVISED	-3.779883230747849e-05	3.761940722268875e-05	0.00010208900588892789	2.2459466397783956e-05
BOND|B|F7-C4	bond	GEO_B_REVISED	-2.3301573093270633e-05	4.6861520563989956e-06	-8.436375593667833e-06	0.0001253971629644468
BOND|B|F8-C4	bond	GEO_B_REVISED	-3.905207334398142e-05	-3.971512774869623e-05	-6.478347733374079e-05	5.684433479480333e-06
BOND|B|F9-C4	bond	GEO_B_REVISED	2.9607268570153167e-06	2.9487656777460458e-05	7.592153260516099e-05	1.3637934537236163e-05
BOND|B|C1-C2	bond	GEO_B_REVISED	4.490096181086756e-05	5.109273209402687e-05	0.00017070425100795816	-2.2408267552620487e-05
BOND|B|C1-C3	bond	GEO_B_REVISED	-0.0001735069943720191	3.398707955737379e-05	0.00012957920094924802	-8.219151020338877e-05
BOND|B|C3-C4	bond	GEO_B_REVISED	-0.00011733927084645046	3.8053964095396964e-05	0.00014993700044430014	-1.807746596860227e-05
ANGLE|B|S1-C2-F3	angle	GEO_B_REVISED	0.012129628506443169	-0.008594027081869626	-0.028858647068688015	0.024574677174271642
ANGLE|B|S1-C2-F4	angle	GEO_B_REVISED	-0.020762503390230336	0.02607502295703057	0.07179873388380997	0.007400415934100124
ANGLE|B|S1-C2-C1	angle	GEO_B_REVISED	0.006447221120211566	-0.02067150751514646	-0.0427608445312444	-0.03714295430974346
ANGLE|B|F1-C1-F2	angle	GEO_B_REVISED	-0.031090658119765635	-0.0028883399312462643	-0.002609732946581289	0.002297736118705984
ANGLE|B|F1-C1-C2	angle	GEO_B_REVISED	-0.030115005729243194	-0.0023846158539697626	-0.008496347671353988	0.02264277340948695
ANGLE|B|F1-C1-C3	angle	GEO_B_REVISED	0.02220688728819198	0.010783445302493533	0.013551131622904222	0.049008369422409714
ANGLE|B|F2-C1-C2	angle	GEO_B_REVISED	0.0163861055548864	-0.015752118204730436	-0.038534066433868475	-0.01819575479835578
ANGLE|B|F2-C1-C3	angle	GEO_B_REVISED	0.00927805927318559	-0.012568479064256621	0.005957650877803644	-0.0670517098402712
