observable_id	new_primary_base	v2_primary_base	v2_tight_base	absolute_difference	compatibility_envelope	status
BOND|A|S1-O1	1.4516320436507166	1.4516320436507166	1.451640111177621	0.0	8.06752690444846e-06	PASS
BOND|A|S1-O2	1.4534764476825717	1.4534764476825717	1.4534633851276237	0.0	1.3062554948079072e-05	PASS
BOND|A|S1-O3	1.452264512736246	1.452264512736246	1.452267473846724	0.0	2.961110478300175e-06	PASS
BOND|A|S1-C2	1.7692492787801744	1.7692492787801744	1.769247103626495	0.0	2.1751536799956916e-06	PASS
BOND|A|F1-C1	1.365587597912197	1.365587597912197	1.3655830525991253	0.0	4.545313072752139e-06	PASS
BOND|A|F2-C1	1.3682676253270867	1.3682676253270867	1.3682679865763023	0.0	3.6124921580239277e-07	PASS
BOND|A|F3-C2	1.3515215662007083	1.3515215662007083	1.3515123568406593	0.0	9.209360049150636e-06	PASS
BOND|A|F4-C2	1.3566432294320676	1.3566432294320676	1.3566508237555936	0.0	7.594323526188949e-06	PASS
BOND|A|F5-C3	1.360070907275395	1.360070907275395	1.360064996409828	0.0	5.9108655671548196e-06	PASS
BOND|A|F6-C3	1.3679640484176525	1.3679640484176525	1.3679672955883906	0.0	3.247170738224345e-06	PASS
BOND|A|F7-C4	1.3466085529198728	1.3466085529198728	1.346612025188803	0.0	3.4722689307602827e-06	PASS
BOND|A|F8-C4	1.3538059062265377	1.3538059062265377	1.3538065390579723	0.0	6.328314347382546e-07	PASS
BOND|A|F9-C4	1.3517619538172907	1.3517619538172907	1.3517553793014154	0.0	6.574515875418361e-06	PASS
BOND|A|C1-C2	1.4867502813041213	1.4867502813041213	1.486720668795427	0.0	2.961250869441557e-05	PASS
BOND|A|C1-C3	1.526007369890265	1.526007369890265	1.5259901847942772	0.0	1.7185095988853932e-05	PASS
BOND|A|C3-C4	1.4953138482359438	1.4953138482359438	1.4953053347979983	0.0	8.513437945650967e-06	PASS
ANGLE|A|S1-C2-F3	108.89494361852701	108.89494361852701	108.89618694214552	0.0	0.0012433236185253169	PASS
ANGLE|A|S1-C2-F4	107.38475584427823	107.38475584427823	107.38526469664848	0.0	0.0005088523702604495	PASS
ANGLE|A|S1-C2-C1	113.3154161333728	113.3154161333728	113.31777005934198	0.0	0.0023539259691894975	PASS
