atom_i	atom_j	element_pair	shortest_bond_path	graph_class	distance_A	GEO_A_same_pair_A	delta_same_pair_A	GEO_A_class_min_A	delta_class_min_A
S1	F1	F-S	3	1-4	3.0310876823	3.3281177537	-0.2970300714	3.3281177537	-0.2970300714
S1	F2	F-S	3	1-4	3.5478790354	4.1162268678	-0.5683478324	3.3281177537	0.2197612817
S1	F3	F-S	2	1-3	2.6717845956	2.6717845956	0.0000000000	2.6572995606	0.0144850350
S1	F4	F-S	2	1-3	2.6572995606	2.6572995606	-0.0000000000	2.6572995606	-0.0000000000
S1	F5	F-S	4	>1-4	4.6303896446	3.3605534175	1.2698362271	3.3605534175	1.2698362271
S1	F6	F-S	4	>1-4	5.2581492612	4.8547367843	0.4034124769	3.3605534175	1.8975958438
S1	F7	F-S	5	>1-4	5.0926502918	3.7421622673	1.3504880246	3.3605534175	1.7320968744
S1	F8	F-S	5	>1-4	6.4620168344	5.2987752284	1.1632416059	3.3605534175	3.1014634169
S1	F9	F-S	5	>1-4	5.5117843554	5.0150042208	0.4967801346	3.3605534175	2.1512309380
S1	O1	O-S	1	1-2	1.4824048038	1.4824048039	-0.0000000000	1.4795360949	0.0028687089
S1	O2	O-S	1	1-2	1.4795360950	1.4795360949	0.0000000001	1.4795360949	0.0000000001
S1	O3	O-S	1	1-2	1.4813346409	1.4813346409	-0.0000000000	1.4795360949	0.0017985460
S1	C1	C-S	2	1-3	2.9658917761	2.9658917761	-0.0000000000	2.9658917761	-0.0000000000
S1	C2	C-S	1	1-2	1.8736790736	1.8736790736	-0.0000000000	1.8736790736	-0.0000000000
S1	C3	C-S	3	1-4	4.3543214291	3.6089342577	0.7453871714	3.6089342577	0.7453871714
S1	C4	C-S	4	>1-4	5.2256094306	4.2505442302	0.9750652005	4.2505442302	0.9750652005
F1	F2	F-F	2	1-3	2.2051987597	2.2051987597	0.0000000000	2.1773116516	0.0278871080
F1	F3	F-F	3	1-4	3.0829158959	3.5208531923	-0.4379372964	2.5763140096	0.5066018863
F1	F4	F-F	3	1-4	3.4369555569	2.6647346082	0.7722209487	2.5763140096	0.8606415473
F1	F5	F-F	3	1-4	2.6706595566	2.6706595566	0.0000000000	2.5763140096	0.0943455470
