atom_i	atom_j	element_pair	shortest_bond_path	graph_class	distance_A	GEO_A_same_pair_A	delta_same_pair_A	GEO_A_class_min_A	delta_class_min_A
S1	F1	F-S	3	1-4	3.3194085799	3.3281177537	-0.0087091737	3.3281177537	-0.0087091737
S1	F2	F-S	3	1-4	4.1161519541	4.1162268678	-0.0000749137	3.3281177537	0.7880342004
S1	F3	F-S	2	1-3	2.6717845956	2.6717845956	-0.0000000000	2.6572995606	0.0144850349
S1	F4	F-S	2	1-3	2.6572995606	2.6572995606	-0.0000000000	2.6572995606	-0.0000000000
S1	F5	F-S	4	>1-4	3.3687126749	3.3605534175	0.0081592575	3.3605534175	0.0081592575
S1	F6	F-S	4	>1-4	4.8592997283	4.8547367843	0.0045629439	3.3605534175	1.4987463108
S1	F7	F-S	5	>1-4	3.7628542993	3.7421622673	0.0206920320	3.3605534175	0.4023008818
S1	F8	F-S	5	>1-4	5.3148182339	5.2987752284	0.0160430055	3.3605534175	1.9542648165
S1	F9	F-S	5	>1-4	5.0286527323	5.0150042208	0.0136485115	3.3605534175	1.6680993149
S1	O1	O-S	1	1-2	1.4824048039	1.4824048039	0.0000000000	1.4795360949	0.0028687090
S1	O2	O-S	1	1-2	1.4795360949	1.4795360949	0.0000000000	1.4795360949	0.0000000000
S1	O3	O-S	1	1-2	1.4813346410	1.4813346409	0.0000000001	1.4795360949	0.0017985461
S1	C1	C-S	2	1-3	2.9658917761	2.9658917761	-0.0000000000	2.9658917761	-0.0000000000
S1	C2	C-S	1	1-2	1.8736790736	1.8736790736	-0.0000000000	1.8736790736	-0.0000000000
S1	C3	C-S	3	1-4	3.6169121758	3.6089342577	0.0079779181	3.6089342577	0.0079779181
S1	C4	C-S	4	>1-4	4.2659751902	4.2505442302	0.0154309601	4.2505442302	0.0154309601
F1	F2	F-F	2	1-3	2.2051987597	2.2051987597	0.0000000000	2.1773116516	0.0278871080
F1	F3	F-F	3	1-4	3.5219246089	3.5208531923	0.0010714166	2.5763140096	0.9456105993
F1	F4	F-F	3	1-4	2.6732107248	2.6647346082	0.0084761166	2.5763140096	0.0968967152
F1	F5	F-F	3	1-4	2.6706595566	2.6706595566	0.0000000000	2.5763140096	0.0943455470
F1	F6	F-F	3	1-4	2.6353698768	2.6353698768	0.0000000000	2.5763140096	0.0590558672
F1	F7	F-F	4	>1-4	4.3587902202	4.3587902202	0.0000000000	2.7328981612	1.6258920590
F1	F8	F-F	4	>1-4	4.6553603647	4.6553603647	0.0000000000	2.7328981612	1.9224622035
F1	F9	F-F	4	>1-4	4.2270089285	4.2270089285	0.0000000000	2.7328981612	1.4941107674
F1	O1	F-O	4	>1-4	3.9244103505	3.9372529850	-0.0128426344	2.7983082753	1.1261020752
F1	O2	F-O	4	>1-4	4.4744048492	4.4786667763	-0.0042619272	2.7983082753	1.6760965739
F1	O3	F-O	4	>1-4	2.9198873025	2.9305894375	-0.0107021349	2.7983082753	0.1215790272
F1	C1	C-F	1	1-2	1.3595551457	1.3595551457	0.0000000000	1.3301758274	0.0293793183
F1	C2	C-F	2	1-3	2.3755980378	2.3755980378	0.0000000000	2.3077381828	0.0678598550
F1	C3	C-F	2	1-3	2.3201938637	2.3201938637	0.0000000000	2.3077381828	0.0124556809
F1	C4	C-F	3	1-4	3.7712542263	3.7712542263	0.0000000000	3.0279150868	0.7433391395
F2	F3	F-F	3	1-4	2.6335682726	2.6250300892	0.0085381834	2.5763140096	0.0572542630
F2	F4	F-F	3	1-4	2.6060965661	2.6148551826	-0.0087586165	2.5763140096	0.0297825566
F2	F5	F-F	3	1-4	3.5209310883	3.5209310883	0.0000000000	2.5763140096	0.9446170787
F2	F6	F-F	3	1-4	2.5763140096	2.5763140096	0.0000000000	2.5763140096	0.0000000000
F2	F7	F-F	4	>1-4	3.7597445704	3.7597445704	0.0000000000	2.7328981612	1.0268464092
F2	F8	F-F	4	>1-4	4.1570926342	4.1570926342	0.0000000000	2.7328981612	1.4241944730
F2	F9	F-F	4	>1-4	2.7572024117	2.7572024117	0.0000000000	2.7328981612	0.0243042505
F2	O1	F-O	4	>1-4	4.5203275803	4.5143545664	0.0059730139	2.7983082753	1.7220193050
F2	O2	F-O	4	>1-4	4.9378639894	4.9386124414	-0.0007484520	2.7983082753	2.1395557141
F2	O3	F-O	4	>1-4	4.4488865406	4.4543086786	-0.0054221380	2.7983082753	1.6505782653
F2	C1	C-F	1	1-2	1.3774984868	1.3774984868	0.0000000000	1.3301758274	0.0473226594
F2	C2	C-F	2	1-3	2.3481040113	2.3481040113	0.0000000000	2.3077381828	0.0403658285
F2	C3	C-F	2	1-3	2.3386833308	2.3386833308	0.0000000000	2.3077381828	0.0309451480
F2	C4	C-F	3	1-4	3.0416117622	3.0416117622	0.0000000000	3.0279150868	0.0136966753
F3	F4	F-F	2	1-3	2.2106299790	2.2106299790	-0.0000000000	2.1773116516	0.0333183274
F3	F5	F-F	4	>1-4	3.7903523053	3.8026701830	-0.0123178778	2.7328981612	1.0574541441
F3	F6	F-F	4	>1-4	4.2058529254	4.2097741642	-0.0039212389	2.7328981612	1.4729547642
F3	F7	F-F	5	>1-4	2.7161613178	2.7328981612	-0.0167368433	2.7328981612	-0.0167368433
F3	F8	F-F	5	>1-4	4.4202537106	4.4322484220	-0.0119947114	2.7328981612	1.6873555494
F3	F9	F-F	5	>1-4	3.1330158464	3.1371134376	-0.0040975911	2.7328981612	0.4001176852
F3	O1	F-O	3	1-4	2.9374970333	2.9374970333	0.0000000000	2.8875271404	0.0499698929
F3	O2	F-O	3	1-4	3.0040798183	3.0040798183	0.0000000000	2.8875271404	0.1165526779
F3	O3	F-O	3	1-4	3.8124805572	3.8124805572	0.0000000000	2.8875271404	0.9249534168
F3	C1	C-F	2	1-3	2.3345284052	2.3345284052	0.0000000000	2.3077381828	0.0267902224
F3	C2	C-F	1	1-2	1.3755310984	1.3755310984	0.0000000000	1.3301758274	0.0453552710
F3	C3	C-F	3	1-4	3.0790461180	3.0870623278	-0.0080162099	3.0279150868	0.0511310311
F3	C4	C-F	4	>1-4	3.0785235568	3.0895997229	-0.0110761660	3.0895997229	-0.0110761660
F4	F5	F-F	4	>1-4	4.3482912995	4.3429817724	0.0053095271	2.7328981612	1.6153931383
F4	F6	F-F	4	>1-4	4.6126169649	4.6133293181	-0.0007123533	2.7328981612	1.8797188037
F4	F7	F-F	5	>1-4	4.5692927062	4.5745640623	-0.0052713561	2.7328981612	1.8363945450
F4	F8	F-F	5	>1-4	5.8467602509	5.8507330734	-0.0039728225	2.7328981612	3.1138620897
F4	F9	F-F	5	>1-4	4.6587452860	4.6693649285	-0.0106196425	2.7328981612	1.9258471248
F4	O1	F-O	3	1-4	3.7931577466	3.7931577466	-0.0000000000	2.8875271404	0.9056306062
F4	O2	F-O	3	1-4	2.8875271405	2.8875271404	0.0000000000	2.8875271404	0.0000000000
F4	O3	F-O	3	1-4	3.0409747259	3.0409747259	0.0000000000	2.8875271404	0.1534475855
F4	C1	C-F	2	1-3	2.3077381828	2.3077381828	-0.0000000000	2.3077381828	-0.0000000000
F4	C2	C-F	1	1-2	1.3712622635	1.3712622635	-0.0000000000	1.3301758274	0.0410864361
F4	C3	C-F	3	1-4	3.7836907233	3.7839331891	-0.0002424657	3.0279150868	0.7557756365
F4	C4	C-F	4	>1-4	4.5624453795	4.5679133062	-0.0054679267	3.0895997229	1.4728456566
F5	F6	F-F	2	1-3	2.2024457807	2.2024457807	0.0000000000	2.1773116516	0.0251341290
F5	F7	F-F	3	1-4	2.7772877903	2.7772877903	0.0000000000	2.5763140096	0.2009737807
F5	F8	F-F	3	1-4	2.7229431051	2.7229431051	0.0000000000	2.5763140096	0.1466290956
F5	F9	F-F	3	1-4	3.5308634647	3.5308634647	0.0000000000	2.5763140096	0.9545494551
F5	O1	F-O	5	>1-4	2.8324469628	2.8342680604	-0.0018210975	2.7983082753	0.0341386875
F5	O2	F-O	5	>1-4	4.8033546649	4.7981836041	0.0051710608	2.7983082753	2.0050463896
F5	O3	F-O	5	>1-4	3.4303828142	3.4082836545	0.0220991597	2.7983082753	0.6320745389
F5	C1	C-F	2	1-3	2.3868590615	2.3868590615	0.0000000000	2.3077381828	0.0791208787
F5	C2	C-F	3	1-4	3.1911034575	3.1911034575	0.0000000000	3.0279150868	0.1631883706
