atom_i	atom_j	element_pair	shortest_bond_path	graph_class	distance_A	GEO_A_same_pair_A	delta_same_pair_A	GEO_A_class_min_A	delta_class_min_A	adjacent_prev_id	adjacent_prev_distance_A	delta_vs_adjacent_prev_A	adjacent_next_id	adjacent_next_distance_A	delta_vs_adjacent_next_A
S1	F1	F-S	3	1-4	3.622972360769932	3.328117753688884	0.29485460708104805	3.328117753688884	0.29485460708104805	T_CC_300	3.319408579942359	0.30356378082757285	T_CC_000	3.895186369204711	-0.27221400843477905
S1	F2	F-S	3	1-4	4.050366453220855	4.116226867777724	-0.06586041455686864	3.328117753688884	0.722248699531971	T_CC_300	4.116151954055315	-0.06578550083446011	T_CC_000	3.8554823064901385	0.19488414673071652
S1	F3	F-S	2	1-3	2.671784595638362	2.6717845955705437	6.781819550383261e-11	2.657299560622732	0.014485035015630032	T_CC_300	2.671784595550538	8.782397031836808e-11	T_CC_000	2.671784595582263	5.609868125588946e-11
S1	F4	F-S	2	1-3	2.657299560600934	2.657299560622732	-2.1797674776280473e-11	2.657299560622732	-2.1797674776280473e-11	T_CC_300	2.6572995606149585	-1.4024337247064977e-11	T_CC_000	2.6572995605843017	1.6632473176514395e-11
S1	F5	F-S	4	>1-4	3.229270197357226	3.3605534174552814	-0.13128322009805515	3.3605534174552814	-0.13128322009805515	T_CC_300	3.368712674949542	-0.13944247759231576	T_CC_000	3.3909536668706117	-0.16168346951338552
S1	F6	F-S	4	>1-4	4.726442251467502	4.854736784330915	-0.1282945328634124	3.3605534174552814	1.365888834012221	T_CC_300	4.859299728262542	-0.13285747679503945	T_CC_000	4.660629739435941	0.06581251203156135
S1	F7	F-S	5	>1-4	3.06467686586146	3.7421622672842965	-0.6774854014228366	3.3605534174552814	-0.29587655159382154	T_CC_300	3.762854299262197	-0.6981774334007373	T_CC_000	2.525183142405089	0.539493723456371
S1	F8	F-S	5	>1-4	4.806027215733836	5.298775228449308	-0.492748012715472	3.3605534174552814	1.445473798278555	T_CC_300	5.314818233929753	-0.5087910181959163	T_CC_000	4.472914594075191	0.3331126216586453
S1	F9	F-S	5	>1-4	4.5160933446166	5.015004220804066	-0.4989108761874661	3.3605534174552814	1.1555399271613185	T_CC_300	5.028652732336426	-0.5125593877198265	T_CC_000	3.9777092597143295	0.5383840849022703
S1	O1	O-S	1	1-2	1.4824048039028	1.482404803853353	4.94468910261503e-11	1.47953609488338	0.002868709019419935	T_CC_300	1.4824048038634081	3.939182313672518e-11	T_CC_000	1.4824048038629856	3.9814374019897514e-11
S1	O2	O-S	1	1-2	1.4795360948770593	1.47953609488338	-6.320721723795941e-12	1.47953609488338	-6.320721723795941e-12	T_CC_300	1.4795360948861331	-9.073852780261404e-12	T_CC_000	1.4795360948569738	2.0085488827703557e-11
S1	O3	O-S	1	1-2	1.4813346409261539	1.4813346409263184	-1.645350522494482e-13	1.47953609488338	0.001798546042773852	T_CC_300	1.4813346409866333	-6.04793992664554e-11	T_CC_000	1.4813346409702675	-4.411360166045597e-11
S1	C1	C-S	2	1-3	2.9658917761241668	2.9658917760783843	4.5782488911072505e-11	2.9658917760783843	4.5782488911072505e-11	T_CC_300	2.9658917760616212	6.254552431528282e-11	T_CC_000	2.965891776057657	6.650990869161433e-11
S1	C2	C-S	1	1-2	1.8736790736238778	1.8736790735846935	3.9184211431120275e-11	1.8736790735846935	3.9184211431120275e-11	T_CC_300	1.8736790735529572	7.092060272384515e-11	T_CC_000	1.8736790735495965	7.42812478193855e-11
S1	C3	C-S	3	1-4	3.3922016267918447	3.608934257681405	-0.21673263088956052	3.608934257681405	-0.21673263088956052	T_CC_300	3.61691217576227	-0.22471054897042553	T_CC_000	3.3061357930767157	0.08606583371512899
S1	C4	C-S	4	>1-4	3.748862319312997	4.250544230190119	-0.5016819108771222	4.250544230190119	-0.5016819108771222	T_CC_300	4.265975190242987	-0.5171128709299899	T_CC_000	3.345604109451303	0.4032582098616939
F1	F2	F-F	2	1-3	2.205198759673846	2.205198759673846	0.0	2.177311651646008	0.027887108027838003	T_CC_300	2.205198759673846	0.0	T_CC_000	2.205198759673846	0.0
F1	F3	F-F	3	1-4	3.4240578531639443	3.5208531922798856	-0.09679533911594129	2.5763140095876267	0.8477438435763176	T_CC_300	3.521924608878515	-0.09786675571457071	T_CC_000	3.213483324101589	0.21057452906235508
F1	F4	F-F	3	1-4	2.4324356008101584	2.664734608219609	-0.23229900740945064	2.5763140095876267	-0.14387840877746827	T_CC_300	2.673210724775484	-0.24077512396532574	T_CC_000	2.341671473675805	0.09076412713435333
F1	F5	F-F	3	1-4	2.6706595566350946	2.6706595566350946	0.0	2.5763140095876267	0.09434554704746789	T_CC_300	2.6706595566350946	0.0	T_CC_000	2.6706595566350946	0.0
F1	F6	F-F	3	1-4	2.6353698767822107	2.6353698767822107	0.0	2.5763140095876267	0.059055867194584	T_CC_300	2.6353698767822107	0.0	T_CC_000	2.6353698767822107	0.0
F1	F7	F-F	4	>1-4	4.358790220156191	4.358790220156191	0.0	2.7328981611743375	1.6258920589818535	T_CC_300	4.358790220156191	0.0	T_CC_000	4.358790220156191	0.0
F1	F8	F-F	4	>1-4	4.655360364691568	4.655360364691568	0.0	2.7328981611743375	1.922462203517231	T_CC_300	4.655360364691568	0.0	T_CC_000	4.655360364691568	0.0
F1	F9	F-F	4	>1-4	4.227008928536854	4.227008928536854	0.0	2.7328981611743375	1.4941107673625167	T_CC_300	4.227008928536854	0.0	T_CC_000	4.227008928536854	0.0
F1	O1	F-O	4	>1-4	4.623132263958773	3.937252984956066	0.6858792790027071	2.7983082752897475	1.8248239886690256	T_CC_300	3.9244103505339556	0.6987219134248175	T_CC_000	4.556199636750552	0.06693262720822091
F1	O2	F-O	4	>1-4	4.32933607105562	4.478666776341415	-0.14933070528579506	2.7983082752897475	1.5310277957658722	T_CC_300	4.474404849152348	-0.14506877809672858	T_CC_000	4.7955765816498745	-0.46624051059425486
F1	O3	F-O	4	>1-4	3.34396051887292	2.930589437458578	0.41337108141434165	2.7983082752897475	0.5456522435831723	T_CC_300	2.919887302519166	0.42407321635375395	T_CC_000	3.8275215052332516	-0.48356098636033185
F1	C1	C-F	1	1-2	1.3595551456552328	1.3595551456552328	0.0	1.330175827384082	0.02937931827115081	T_CC_300	1.3595551456552328	0.0	T_CC_000	1.3595551456552328	0.0
F1	C2	C-F	2	1-3	2.3755980377750547	2.3755980377750547	0.0	2.30773818281683	0.06785985495822455	T_CC_300	2.3755980377750547	0.0	T_CC_000	2.3755980377750547	0.0
F1	C3	C-F	2	1-3	2.3201938637075874	2.3201938637075874	0.0	2.30773818281683	0.012455680890757215	T_CC_300	2.3201938637075874	0.0	T_CC_000	2.3201938637075874	0.0
F1	C4	C-F	3	1-4	3.7712542263360276	3.7712542263360276	0.0	3.027915086844433	0.7433391394915945	T_CC_300	3.7712542263360276	0.0	T_CC_000	3.7712542263360276	0.0
F2	F3	F-F	3	1-4	2.396409803807788	2.6250300891609055	-0.2286202853531174	2.5763140095876267	-0.17990420577983857	T_CC_300	2.6335682725715848	-0.23715846876379665	T_CC_000	2.321243271648595	0.075166532159193
F2	F4	F-F	3	1-4	2.917831098029249	2.614855182648143	0.3029759153811056	2.5763140095876267	0.3415170884416221	T_CC_300	2.606096566146259	0.3117345318829896	T_CC_000	3.2078806857569924	-0.2900495877277436
F2	F5	F-F	3	1-4	3.5209310882863707	3.5209310882863707	0.0	2.5763140095876267	0.944617078698744	T_CC_300	3.5209310882863707	0.0	T_CC_000	3.5209310882863707	0.0
F2	F6	F-F	3	1-4	2.5763140095876267	2.5763140095876267	0.0	2.5763140095876267	0.0	T_CC_300	2.5763140095876267	0.0	T_CC_000	2.5763140095876267	0.0
F2	F7	F-F	4	>1-4	3.7597445704199344	3.7597445704199344	0.0	2.7328981611743375	1.026846409245597	T_CC_300	3.7597445704199344	0.0	T_CC_000	3.7597445704199344	0.0
F2	F8	F-F	4	>1-4	4.157092634196639	4.157092634196639	0.0	2.7328981611743375	1.4241944730223013	T_CC_300	4.157092634196639	0.0	T_CC_000	4.157092634196639	0.0
F2	F9	F-F	4	>1-4	2.7572024116594087	2.7572024116594087	0.0	2.7328981611743375	0.024304250485071233	T_CC_300	2.7572024116594087	0.0	T_CC_000	2.7572024116594087	0.0
F2	O1	F-O	4	>1-4	4.411136874566626	4.514354566404702	-0.10321769183807561	2.7983082752897475	1.6128285992768787	T_CC_300	4.520327580311985	-0.10919070574535894	T_CC_000	3.8179158111989784	0.5932210633676478
F2	O2	F-O	4	>1-4	4.95012415467146	4.938612441385266	0.011511713286194158	2.7983082752897475	2.151815879381713	T_CC_300	4.937863989371224	0.012260165300236103	T_CC_000	4.8266305639813964	0.12349359069006383
F2	O3	F-O	4	>1-4	4.333170080048772	4.454308678575472	-0.12113859852670039	2.7983082752897475	1.5348618047590246	T_CC_300	4.448886540617284	-0.11571646056851215	T_CC_000	4.4132502769712625	-0.08008019692249047
F2	C1	C-F	1	1-2	1.3774984867780782	1.3774984867780782	0.0	1.330175827384082	0.04732265939399616	T_CC_300	1.3774984867780782	0.0	T_CC_000	1.3774984867780782	0.0
F2	C2	C-F	2	1-3	2.348104011311961	2.348104011311961	0.0	2.30773818281683	0.04036582849513071	T_CC_300	2.348104011311961	0.0	T_CC_000	2.348104011311961	0.0
F2	C3	C-F	2	1-3	2.3386833307813237	2.3386833307813237	0.0	2.30773818281683	0.030945147964493547	T_CC_300	2.3386833307813237	0.0	T_CC_000	2.3386833307813237	0.0
F2	C4	C-F	3	1-4	3.041611762187064	3.041611762187064	0.0	3.027915086844433	0.013696675342631082	T_CC_300	3.041611762187064	0.0	T_CC_000	3.041611762187064	0.0
F3	F4	F-F	2	1-3	2.2106299790811454	2.2106299790211743	5.9971139165782e-11	2.177311651646008	0.03331832743513763	T_CC_300	2.210629978996482	8.466338741186519e-11	T_CC_000	2.2106299790140027	6.714273581565067e-11
F3	F5	F-F	4	>1-4	4.158900243456716	3.8026701830363248	0.3562300604203914	2.7328981611743375	1.4260020822823787	T_CC_300	3.790352305266039	0.3685479381906771	T_CC_000	4.390524105496451	-0.23162386203973462
F3	F6	F-F	4	>1-4	4.350840343008887	4.209774164229505	0.14106617877938188	2.7328981611743375	1.6179421818345494	T_CC_300	4.205852925352009	0.1449874176568775	T_CC_000	4.495136062747565	-0.14429571973867805
F3	F7	F-F	5	>1-4	3.328388233409739	2.7328981611743375	0.5954900722354015	2.7328981611743375	0.5954900722354015	T_CC_300	2.7161613178378596	0.6122269155718794	T_CC_000	3.9198430443979873	-0.5914548109882483
F3	F8	F-F	5	>1-4	4.874412049704903	4.432248422007649	0.44216362769725404	2.7328981611743375	2.1415138885305653	T_CC_300	4.420253710595971	0.45415833910893166	T_CC_000	5.339224004734229	-0.46481195502932593
