observable_id	observable_kind	source_file	source_sha256	method_basis	data_role	fitting_allowed	status	note
GEO_A_GEOMETRY	GEOMETRY_AND_CONFORMER_ENERGY	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\geometry\PFBS_GEO_A.log	92002b1beddcae4e673181f16df95afb4a50f62abf492b952c43325bd1bedc8e	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Already inspected development data; not blind validation.
GEO_B_GEOMETRY	GEOMETRY_AND_CONFORMER_ENERGY	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\geometry\PFBS_GEO_B_REVISED.log	dbe29c5f0da615e8e5d267c8614a7552044ba01dad1b43afc2eafcf50e7f5afa	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Already inspected development data; not blind validation.
GEO_A_HESSIAN	RAW_HESSIAN_MODES	E:\AI-App-Data\PFAS_mito_membrane_pilot\deliverable\qm\PFBS\frequency\PFBS_FREQ_GEO_A\PFBS_FREQ_GEO_A.log	56b2bf0620ab18b1ee3517d3b2e1a7754adbba416f2737418938587fd34a4667	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Raw curvature only; force-target transformation and identifiability pending.
T_CC_000	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_24run_20260925_v6/T_CC_000/T_CC_000.log	a2e0163cc1b9fd03392dbd9ba874ddf880943038de70071190b0c4c7c1667677	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CC_030	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_24run_20260925_v6/T_CC_030/T_CC_030.log	a9d395d4edc70411725b0dc855cc90357c0b34d93a7fc639070c0551786c4971	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CC_060	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/T_CC_060_sentinel_attempt04_offline_20260925/runtime/work/T_CC_060_recovery.log	10317ea6402aa70175dfe1b9d7625823e411e67391b2db54405993a3edd04013	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CC_090	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_24run_20260925_v6/T_CC_090/T_CC_090.log	05467266d1788c8180e445860b8944e48b7a140b863e2fa9fe518f49ef61f694	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CC_120	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CC_120/T_CC_120.log	3e14c65cb790033c81bf915629eaf52e0f07ecb27f4279774d674d3564bbdd1f	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CC_150	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CC_150/T_CC_150.log	ea484f9ca899e5a6293ae1b90e238ab9cd68f9ac348441687c9ed6165d514e4b	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CC_180	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/execution_revision_20260924_v4d_candidate/run/T_CC_180/T_CC_180.log	7b1ebdc69433bc1d53932c65cf77c2f47a33cdf50774f5732554144f5a3d64ec	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CC_210	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CC_210/T_CC_210.log	41d03b718641b641ffa226d4fbfd7537d8fc311683b2450a199dba088e54f101	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CC_240	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CC_240/T_CC_240.log	55829cbba14f8feeff84578b039daa3c38ed5fa4e08df642115f0c835735248b	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CC_270	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CC_270/T_CC_270.log	e72eff9402b18994618bc37e256173a164d036a92315edd82229131c328574d2	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
T_CC_300	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	/home/ls/projects/PFAS_mito_membrane_pilot/qm/PFBS/phase3_torsion_20260924/phase3_torsion_20run_20260925_v8/T_CC_300/T_CC_300.log	3f3a505601472d486beb6f7bb838f66088f310d141235e053f80f2cda1661a8a	MP2/6-31+G(d)	FITTING	YES_PROPOSED_NOT_STARTED	EXISTING_READ_ONLY	Accepted absolute point; preserve all energies/geometries. Already examined; development plus compatibility, not blind holdout.
