point_id	series	angle_QM_deg	final_QM_other_junction_torsion_deg	QM_energy_hartree	QM_series_relative_energy_kcal_mol	MM_relaxed_series_relative_energy_kcal_mol
T_CC_000	T_CC	8.2317896820712e-05	69.1063682354657	-1671.3258661167	10.019615584469175	25.956392208412996
T_CC_030	T_CC	30.000158540910803	172.6904285708605	-1671.3325016142	5.855778037999326	17.443322896749525
T_CC_060	T_CC	60.0001592609087	176.13180381090714	-1671.3383880418	2.161988950619415	8.42477652963672
T_CC_090	T_CC	90.00019699894702	74.54257000259075	-1671.3384822247	2.102888288539102	9.640272227533462
T_CC_120	T_CC	119.99983965803996	61.818703040427316	-1671.3364446559	3.3814820145981415	6.945179254302102
T_CC_150	T_CC	150.00011419393934	51.04110755020851	-1671.3372820054	2.8560372702532297	4.627795650095608
T_CC_180	T_CC	-179.99987411198484	60.60521841479044	-1671.340254797999	0.9905817499942648	0.0
T_CC_210	T_CC	-150.00009928563182	70.81302379285327	-1671.3394867217	1.4725569044088693	1.600215822179738
T_CC_240	T_CC	-120.00007620746388	59.869686340721955	-1671.3345959676	4.541551437447195	8.33730903441683
T_CC_270	T_CC	-89.99993474284005	52.73333725703061	-1671.3365102911	3.34029530481828	7.046770315487579
T_CC_300	T_CC	-59.99998160172803	66.70207173706659	-1671.3418333905	0.0	2.6533107074569777
T_CC_330	T_CC	-30.00016585816224	60.90167151995158	-1671.3368186216	3.1468149948959834	11.236348470363286
T_CS_000	T_CS	1.5180520262743396e-05	-61.98918329923461	-1671.3344698694	4.599377251321659	8.519399617590825
T_CS_010	T_CS	10.000078136231716	-62.42252654193184	-1671.3350479838	4.236604988220648	9.133420411089876
T_CS_020	T_CS	20.00017404591677	-64.18883900048041	-1671.3361710628	3.5318622755485665	8.546405592734232
T_CS_030	T_CS	30.00019985596987	-65.21449143264832	-1671.3377520075	2.5398044983406147	7.017757648183559
T_CS_040	T_CS	40.00013511844969	-64.79945110565775	-1671.3394204695	1.4928287862277165	4.629739961759084
T_CS_050	T_CS	50.000069706040776	-63.10790278190566	-1671.3407951204	0.6302223230526441	2.3065499521988624
T_CS_060	T_CS	60.00001911469256	-60.69722468055034	-1671.3416455518	0.09656856246956406	0.6424536328871979
T_CS_070	T_CS	69.99996549339919	-58.63936053212034	-1671.3417994436	0.0	0.0
T_CS_080	T_CS	79.99992991278366	-58.768625067864136	-1671.3410245324	0.48626411947550613	0.5467989961759185
T_CS_090	T_CS	89.99991027498892	-60.84735564582783	-1671.3392595048	1.5938356604323562	2.1741572657743804
T_CS_100	T_CS	99.99973782178598	-63.10910881834073	-1671.3369909955	3.017346738286481	4.455629541108989
T_CS_110	T_CS	109.99982259760765	-64.01122817957861	-1671.3350644546	4.226269405243035	6.785731118546847
T_CS_120	T_CS	120.0000256226668	-61.924117115921995	-1671.3344794388	4.593372362200989	8.50593427342257
T_CC_240_FROM_REVERSE_QM	T_CC	-120.00002904681159	59.611257545675215	-1671.3342369248	4.766854196058886	8.33600812619503
