point_id	series	grid_target_deg	angle_QM_deg	QM_energy_hartree	MM_relaxed_energy_kj_mol	MM_at_QM_energy_kj_mol	MM_restrained_energy_kj_mol	artificial_restraint_energy_kj_mol	restraint_subtraction_error_kj_mol	final_MM_scanned_torsion_deg	final_MM_other_junction_torsion_deg	final_QM_other_junction_torsion_deg	scanned_torsion_error_deg	other_junction_shift_deg	minimization_Fmax_kj_mol_nm	minimization_convergence	geometry_connectivity_status	checkpoint_sha256	source_g96_sha256	final_g96_sha256	mm_max_bond_A	mm_min_nonbond_A	mm_max_pair_distance_nm	focused_bonds	mm_max_bond_over_qm_ratio	mm_min_bond_over_qm_ratio	graph_separation_A	geometry_connectivity_screen	energy_provenance_status	torsion_control_status	QM_relative_energy_kcal_mol	MM_relaxed_relative_energy_kcal_mol	MM_at_QM_relative_energy_kcal_mol	QM_minus_MM_relaxed_residual_kcal_mol	QM_series_relative_energy_kcal_mol	MM_relaxed_series_relative_energy_kcal_mol	MM_at_QM_series_relative_energy_kcal_mol	QM_minus_MM_relaxed_series_residual_kcal_mol
T_CC_000	T_CC	0.0	8.2317896820712e-05	-1671.3258661167	495.154549	603.232279	495.154648	9.9e-05	5.684341886080802e-14	0.0012226765360247496	72.0369846578411	69.1063682354657	0.0011403586391907083	2.930616422375408	9.74042535998424	PASS	PASS	6dcb1af9b50bc1add66dd93d64d0ce6849703a603dc6cf82b840cad219bb0f68	a6e94cfe558c5be38544a34d2a6fad98313d167e35f5e4b511ff44a3e9ca9bd2	54fbc3356ddfad3fd36378470c24a27c83b0cd20d65d52a6c8ba3793f852c673	1.7586071838600892	2.1021172947819315	0.6344889112987051	{'S1_O1': {'QM_A': 1.4833479046976517, 'MM_A': 1.4502731897430752}, 'S1_O2': {'QM_A': 1.4777376378422384, 'MM_A': 1.4544455618663654}, 'S1_O3': {'QM_A': 1.4837306916636326, 'MM_A': 1.4496688464290592}, 'S1_C2': {'QM_A': 1.862887204620267, 'MM_A': 1.7586071838600892}, 'C1_C2': {'QM_A': 1.5917851133504195, 'MM_A': 1.5148953706103938}, 'C1_C3': {'QM_A': 1.5693447297998584, 'MM_A': 1.5398706206316053}, 'C3_C4': {'QM_A': 1.5600661799902757, 'MM_A': 1.5038930181838457}}	1.0132790945109755	0.9440223645846372	0.34351011092184236	PASS	PASS	ANGLE_ERROR_RECORDED_FOR_REVIEW	10.019615584469175	25.956392208412996	26.39870172084129	-15.936776623943821	10.019615584469175	25.956392208412996	26.39870172084129	-15.936776623943821
T_CC_030	T_CC	30.0	30.000158540910803	-1671.3325016142	459.535867	562.765282	459.543659	0.007792	0.0	30.010274128601967	179.1986498258424	172.6904285708605	0.0101155876911605	6.508221254981919	6.76959015164438	PASS	PASS	5a9adeb7689f1cf17f2afdabfcf696173d53df824c9a3150c60f411e3be4d9df	bab98c0a3ea47718c84ee2523940894bf3eb8df2875321a686eefa8b41f8b782	b8b7b721eecca1d013635b18ace661380f13d4afa09884af7fe1efacc95c61eb	1.7516097387694383	2.100598112272088	0.6263204189503162	{'S1_O1': {'QM_A': 1.4776669168814884, 'MM_A': 1.4534526629653635}, 'S1_O2': {'QM_A': 1.481532804886184, 'MM_A': 1.450921009371898}, 'S1_O3': {'QM_A': 1.4868805363721433, 'MM_A': 1.451228989437223}, 'S1_C2': {'QM_A': 1.8543494150593987, 'MM_A': 1.7516097387694383}, 'C1_C2': {'QM_A': 1.5687079921310951, 'MM_A': 1.4965374091499148}, 'C1_C3': {'QM_A': 1.5636666760265874, 'MM_A': 1.5400248260752458}, 'C3_C4': {'QM_A': 1.5613298989794955, 'MM_A': 1.5089930834745815}}	1.0140589768634745	0.94459529824552	0.34898837350264955	PASS	PASS	ANGLE_ERROR_RECORDED_FOR_REVIEW	5.855778037999326	17.443322896749525	16.726857313575522	-11.5875448587502	5.855778037999326	17.443322896749525	16.726857313575522	-11.5875448587502
T_CC_060	T_CC	60.0	60.0001592609087	-1671.3383880418	421.802269	529.333358	421.803698	0.001429	0.0	60.00449057383372	171.71453935045903	176.13180381090714	0.004331312925017983	-4.417264460448109	9.20821480409191	PASS	PASS	5dcf46494a4b42139e2eda37f34b943a2f34b496752744d229ae11f7b9b2eb59	41baeb9c356cf99a1669a39f741dfb4147717de0ce46134528141edf74e37c1d	3c6039f02f1e7e4c5706e06f28cafbec6aee1e230d24da8dc219b52d0aa7eb21	1.76168279282706	2.1132779486213806	0.6217416381823471	{'S1_O1': {'QM_A': 1.4789837085076893, 'MM_A': 1.4534377909487097}, 'S1_O2': {'QM_A': 1.4833728744756722, 'MM_A': 1.451385113579141}, 'S1_O3': {'QM_A': 1.4818917695361333, 'MM_A': 1.4519580943937374}, 'S1_C2': {'QM_A': 1.8705611786387895, 'MM_A': 1.76168279282706}, 'C1_C2': {'QM_A': 1.55280302733624, 'MM_A': 1.486951772023046}, 'C1_C3': {'QM_A': 1.5627988930206984, 'MM_A': 1.541221350400165}, 'C3_C4': {'QM_A': 1.5547688856494295, 'MM_A': 1.5024613305698644}}	1.0118094991517923	0.9417937317126615	0.35159515579432066	PASS	PASS	ANGLE_ERROR_RECORDED_FOR_REVIEW	2.161988950619415	8.42477652963672	8.736435707456979	-6.262787579017305	2.161988950619415	8.42477652963672	8.736435707456979	-6.262787579017305
T_CC_090	T_CC	90.0	90.00019699894702	-1671.3384822247	426.887903	528.545615	426.891111	0.003208	5.684341886080802e-14	90.0066878322224	60.82825486447157	74.54257000259075	0.006490833275393015	-13.71431513811919	8.29779321819721	PASS	PASS	2f76f7a4c24f7b8d400a633a75316a3911aed7d00e569368191fa828efa10718	dbc39b01855c642528b1b5129ecf4ae28ec9520145b3527abc86ff7044f37fe4	45cf980dec241c83512281bcacb4cd20820dea9a1f04dcc1270a0f9d48fa7fda	1.7749190903971752	2.1084593988069904	0.6295659245850856	{'S1_O1': {'QM_A': 1.4797686522196152, 'MM_A': 1.453435125314878}, 'S1_O2': {'QM_A': 1.479510555609409, 'MM_A': 1.4544547811079667}, 'S1_O3': {'QM_A': 1.4838284749242003, 'MM_A': 1.4461793475623306}, 'S1_C2': {'QM_A': 1.8745745825730258, 'MM_A': 1.7749190903971752}, 'C1_C2': {'QM_A': 1.5533619761945159, 'MM_A': 1.4939198018703268}, 'C1_C3': {'QM_A': 1.5613241090337548, 'MM_A': 1.5296312221835584}, 'C3_C4': {'QM_A': 1.5468221538717974, 'MM_A': 1.488257431877563}}	1.010072551051425	0.9468383423618898	0.3335403084098152	PASS	PASS	ANGLE_ERROR_RECORDED_FOR_REVIEW	2.102888288539102	9.640272227533462	8.548160611854689	-7.53738393899436	2.102888288539102	9.640272227533462	8.548160611854689	-7.53738393899436
T_CC_120	T_CC	120.0	119.99983965803996	-1671.3364446559	415.611634	514.464912	415.611831	0.000198	-9.999999974752427e-07	119.99822881552397	62.521298917936804	61.818703040427316	-0.0016108425159870876	0.7025958775094807	7.18502062434913	PASS	PASS	9b1228421f6718adda407142ff5968101e38f9de560ac06eff62ed8487467a61	703b1af8fd53d30a74d3f4bf3a1f53070360f76270386005e08d7e6d5c6d10b8	cefe678a731275c28aa0922071ee4f527dffb5cdbec36e998df1d7bf4904eb1f	1.771188347461776	2.1053100648153165	0.6303315830015498	{'S1_O1': {'QM_A': 1.4813958331479917, 'MM_A': 1.4530195415131708}, 'S1_O2': {'QM_A': 1.48009846169628, 'MM_A': 1.45315259958616}, 'S1_O3': {'QM_A': 1.4851605754074928, 'MM_A': 1.4524727978163208}, 'S1_C2': {'QM_A': 1.869509899728342, 'MM_A': 1.771188347461776}, 'C1_C2': {'QM_A': 1.5697479690673941, 'MM_A': 1.515105292552783}, 'C1_C3': {'QM_A': 1.5551154856920042, 'MM_A': 1.522612759120833}, 'C3_C4': {'QM_A': 1.5502009815504882, 'MM_A': 1.4965290462971548}}	1.0102230769184102	0.9474078461521638	0.33412171735354046	PASS	PASS	ANGLE_ERROR_RECORDED_FOR_REVIEW	3.3814820145981415	6.945179254302102	5.182791826003836	-3.56369723970396	3.3814820145981415	6.945179254302102	5.182791826003836	-3.56369723970396
T_CC_150	T_CC	150.0	150.00011419393934	-1671.3372820054	405.915701	520.440814	405.917467	0.001766	0.0	150.00492942971454	54.836151873171325	51.04110755020851	0.0048152357751973796	3.7950443229628092	7.68129727193215	PASS	PASS	d3d741122c2cf0082ec5ed113082a75c86b7848878be350b1b7fc46c66bc3474	3625c62a0da1954c05f2c25a8ce89fd780c033322f4d07af01007123ad2086d7	c502bb4b7bcc66b996772b51493f602b1b12d564750408057cc15a89334bef18	1.770902481544164	2.1059681219620865	0.6818716004621721	{'S1_O1': {'QM_A': 1.4834913773025058, 'MM_A': 1.452915891463339}, 'S1_O2': {'QM_A': 1.4806187389587464, 'MM_A': 1.4533243092892798}, 'S1_O3': {'QM_A': 1.4806079993641321, 'MM_A': 1.453571127221588}, 'S1_C2': {'QM_A': 1.8737211071543936, 'MM_A': 1.770902481544164}, 'C1_C2': {'QM_A': 1.5479496652165752, 'MM_A': 1.5038204007685203}, 'C1_C3': {'QM_A': 1.5579141992165921, 'MM_A': 1.5259175786671395}, 'C3_C4': {'QM_A': 1.5627431381556391, 'MM_A': 1.502670067276839}}	1.008722893840196	0.9451259714065028	0.3350656404179224	PASS	PASS	ANGLE_ERROR_RECORDED_FOR_REVIEW	2.8560372702532297	4.627795650095608	6.6110666826003985	-1.7717583798423786	2.8560372702532297	4.627795650095608	6.6110666826003985	-1.7717583798423786
T_CC_180	T_CC	180.0	-179.99987411198484	-1671.340254797999	386.553004	495.660361	386.553504	0.000499	9.999999974752427e-07	-179.9973141107344	60.06524368537816	60.60521841479044	0.0025600012504298775	-0.539974729412279	8.67951851183204	PASS	PASS	2ef0c951bc087de0f4a35f873d018f484714376c7af7df997e807b2cf9a7bf6f	237d0de9329d2f7154e75e1b94b8d20dc99d256df491b1962585edd08ac5d56b	8a803aed18aafb56b43e25c2142edcee676b5b10f9ab56df2094af4aa673f123	1.7789205014642522	2.113659074322194	0.696566653845086	{'S1_O1': {'QM_A': 1.4813536528431506, 'MM_A': 1.4530963033600748}, 'S1_O2': {'QM_A': 1.4806940134547633, 'MM_A': 1.453961130046573}, 'S1_O3': {'QM_A': 1.4806777575045336, 'MM_A': 1.4532204586375248}, 'S1_C2': {'QM_A': 1.8801397840733096, 'MM_A': 1.7789205014642522}, 'C1_C2': {'QM_A': 1.5382337878732466, 'MM_A': 1.488793284194212}, 'C1_C3': {'QM_A': 1.560210058801717, 'MM_A': 1.524479177146108}, 'C3_C4': {'QM_A': 1.5475609497308327, 'MM_A': 1.4967927625702118}}	1.0057551064845975	0.9461639589425811	0.33473857285794173	PASS	PASS	ANGLE_ERROR_RECORDED_FOR_REVIEW	0.9905817499942648	0.0	0.6883962715105273	0.9905817499942648	0.9905817499942648	0.0	0.6883962715105273	0.9905817499942648
T_CC_210	T_CC	210.0	-150.00009928563182	-1671.3394867217	393.248307	492.780111	393.250976	0.002669	-5.684341886080802e-14	-150.00601981704656	66.00021893747831	70.81302379285327	-0.005920531414744801	-4.812804855374964	8.08765267573733	PASS	PASS	4eabaf3cedf832b6fa19108966b19bcabbd747ee2b686b4a682dbb384edf6c47	ff7ba181ddce36b5fec269c010000630a05fa87e61843c9cb6ae5b286660aa06	80bc8c11aed1825dfdd8415c6089ff5d3b9da2865fde518f082e311f5bc35d3e	1.7727403420548309	2.1181758329781424	0.6896026255355538	{'S1_O1': {'QM_A': 1.4800350161559623, 'MM_A': 1.4536349618185471}, 'S1_O2': {'QM_A': 1.4808814607653378, 'MM_A': 1.4536632745137854}, 'S1_O3': {'QM_A': 1.483635361018899, 'MM_A': 1.4530291305660903}, 'S1_C2': {'QM_A': 1.8764534199785263, 'MM_A': 1.7727403420548309}, 'C1_C2': {'QM_A': 1.550284343205039, 'MM_A': 1.4981330198139131}, 'C1_C3': {'QM_A': 1.5570268090176138, 'MM_A': 1.5226217848461343}, 'C3_C4': {'QM_A': 1.5451353633580431, 'MM_A': 1.4953230100475978}}	1.0064795534060986	0.9447292020044482	0.3454354909233115	PASS	PASS	ANGLE_ERROR_RECORDED_FOR_REVIEW	1.4725569044088693	1.600215822179738	0.0	-0.12765891777086869	1.4725569044088693	1.600215822179738	0.0	-0.12765891777086869
T_CC_240	T_CC	240.0	-120.00007620746388	-1671.3345959676	421.436305	520.712997	421.436745	0.00044	-5.684341886080802e-14	-120.00248020690864	59.04343158396963	59.869686340721955	-0.002403999444766214	-0.82625475675232	8.58989102038528	PASS	PASS	ee1dc9af52f31cb15375d30ede5ee24e7d71bf45c62d51ec4394639e11c75662	880de9f672087b3c73f343d26033dc31c7e6d04945e3ef56427c9859c467bda9	de76e7493c55e39f9cabe3a3fb0f67de996c2102148d5bf81acf686ac6172603	1.7729686665072266	2.1042889688513724	0.6787169756078069	{'S1_O1': {'QM_A': 1.4825117510528396, 'MM_A': 1.4533669215256753}, 'S1_O2': {'QM_A': 1.4807610758311127, 'MM_A': 1.4534565631339778}, 'S1_O3': {'QM_A': 1.4822836191917248, 'MM_A': 1.4530265118875076}, 'S1_C2': {'QM_A': 1.875246165547936, 'MM_A': 1.7729686665072266}, 'C1_C2': {'QM_A': 1.5698441207595815, 'MM_A': 1.5154901080921426}, 'C1_C3': {'QM_A': 1.5561435327731352, 'MM_A': 1.526708237418002}, 'C3_C4': {'QM_A': 1.5517677956549745, 'MM_A': 1.5001060384711344}}	1.0106312234908386	0.9454591610852198	0.3313203023441458	PASS	PASS	ANGLE_ERROR_RECORDED_FOR_REVIEW	4.541551437447195	8.33730903441683	6.67611998087954	-3.7957575969696347	4.541551437447195	8.33730903441683	6.67611998087954	-3.7957575969696347
T_CC_270	T_CC	270.0	-89.99993474284005	-1671.3365102911	416.036691	524.867176	416.038616	0.001924	9.999999974752427e-07	-89.99490808032715	59.41602786671233	52.73333725703061	0.005026662512904068	6.682690609681714	8.78656921815982	PASS	PASS	509643729971cd9086810e69ca04fb90d46af8e7391bf5886f86f137a209bb36	0bb8e714e59c30b159e44188b0df6faf6cdafd8794878db4b1f2197b15d282c8	6dd9be26efd7004379f58195d3da42e34280c24e9016f53e65fb531aef6a3b1d	1.7750943721017076	2.1083840179991684	0.6612213804664165	{'S1_O1': {'QM_A': 1.4846710996742238, 'MM_A': 1.4510322027060676}, 'S1_O2': {'QM_A': 1.4804734386277438, 'MM_A': 1.4539389380940129}, 'S1_O3': {'QM_A': 1.4796098910198565, 'MM_A': 1.4530449615146848}, 'S1_C2': {'QM_A': 1.872156745703233, 'MM_A': 1.7750943721017076}, 'C1_C2': {'QM_A': 1.5536854248048377, 'MM_A': 1.4999637281594795}, 'C1_C3': {'QM_A': 1.5619514009386721, 'MM_A': 1.530618805889952}, 'C3_C4': {'QM_A': 1.5539110499006348, 'MM_A': 1.4999569232125718}}	1.0083828656493783	0.9481547825392866	0.3332896458974608	PASS	PASS	ANGLE_ERROR_RECORDED_FOR_REVIEW	3.34029530481828	7.046770315487579	7.668992590822178	-3.7064750106692985	3.34029530481828	7.046770315487579	7.668992590822178	-3.7064750106692985
