term_id	field	source_exact	dump_printed	absolute_difference	printed_half_unit	status
OG2P1-SG3O1	b0A	0.14480000	1.44800e-01	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
OG2P1-SG3O1	cbA	451872.00	4.51872e+05	0.0	0.5	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-SG3O1	b0A	0.18070000	1.80700e-01	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-SG3O1	cbA	154808.00	1.54808e+05	0.0	0.5	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-FGA2	b0A	0.13530000	1.35300e-01	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-FGA2	cbA	292043.20	2.92043e+05	0.20000000001164153	0.5	PASS_WITH_DUMP_PRINTING_PRECISION
CG302-FGA3	b0A	0.13400000	1.34000e-01	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG302-FGA3	cbA	221752.00	2.21752e+05	0.0	0.5	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312	b0A	0.14563000	1.45630e-01	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312	cbA	227869.01	2.27869e+05	0.010000000009313226	0.5	PASS_WITH_DUMP_PRINTING_PRECISION
CG302-CG312	b0A	0.14563000	1.45630e-01	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG302-CG312	cbA	227869.01	2.27869e+05	0.010000000009313226	0.5	PASS_WITH_DUMP_PRINTING_PRECISION
OG2P1-SG3O1-OG2P1	thetaA	109.470000	1.09470000e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
OG2P1-SG3O1-OG2P1	kthetaA	1087.840000	1.08784000e+03	0.0	5e-06	PASS_WITH_DUMP_PRINTING_PRECISION
OG2P1-SG3O1-OG2P1	r13A	0.24500000	2.45000000e-01	0.0	5e-10	PASS_WITH_DUMP_PRINTING_PRECISION
OG2P1-SG3O1-OG2P1	kUBA	29288.00	2.92880000e+04	0.0	5e-05	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-SG3O1-OG2P1	thetaA	99.000000	9.90000000e+01	0.0	5e-08	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-SG3O1-OG2P1	kthetaA	669.440000	6.69440000e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-SG3O1-OG2P1	r13A	0.00000000	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-SG3O1-OG2P1	kUBA	0.00	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
FGA2-CG312-FGA2	thetaA	107.000000	1.07000000e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
FGA2-CG312-FGA2	kthetaA	1255.200000	1.25520000e+03	0.0	5e-06	PASS_WITH_DUMP_PRINTING_PRECISION
FGA2-CG312-FGA2	r13A	0.21700000	2.17000000e-01	0.0	5e-10	PASS_WITH_DUMP_PRINTING_PRECISION
FGA2-CG312-FGA2	kUBA	8368.00	8.36800000e+03	0.0	5e-06	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-FGA2	thetaA	120.931400	1.20931400e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-FGA2	kthetaA	418.902080	4.18902080e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-FGA2	r13A	0.00000000	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-FGA2	kUBA	0.00	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-CG312	thetaA	118.610000	1.18610000e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-CG312	kthetaA	390.701920	3.90701920e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-CG312	r13A	0.00000000	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
CG312-CG312-CG312	kUBA	0.00	0.00000000e+00	0.0	5e-09	PASS_WITH_DUMP_PRINTING_PRECISION
FGA2-CG312-SG3O1	thetaA	122.000000	1.22000000e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
FGA2-CG312-SG3O1	kthetaA	418.400000	4.18400000e+02	0.0	5e-07	PASS_WITH_DUMP_PRINTING_PRECISION
