coordinate	S1_x	S1_y	S1_z	F1_x	F1_y	F1_z	F2_x	F2_y	F2_z	F3_x	F3_y	F3_z	F4_x	F4_y	F4_z	F5_x	F5_y	F5_z	F6_x	F6_y	F6_z	F7_x	F7_y	F7_z	F8_x	F8_y	F8_z	F9_x	F9_y	F9_z	O1_x	O1_y	O1_z	O2_x	O2_y	O2_z	O3_x	O3_y	O3_z	C1_x	C1_y	C1_z	C2_x	C2_y	C2_z	C3_x	C3_y	C3_z	C4_x	C4_y	C4_z
S1_x	0.78171764	-0.17101348	-0.14289772	-0.00228646	0.00314270	-0.00342738	0.00187484	0.00422975	0.00142693	-0.00327583	-0.00084576	-0.00028892	-0.00561855	0.03318511	0.02206281	0.00207883	0.00236921	0.00099760	0.00333770	0.00270663	-0.00128725	0.00239425	0.00223410	-0.00040484	0.00257466	-0.00033483	-0.00076166	0.00177118	0.00101071	0.00177302	-0.25380662	0.20576050	0.04586438	-0.32644274	-0.06297578	0.21207137	-0.11510333	0.05949219	-0.09328678	-0.00848250	-0.01915386	-0.00055764	-0.06498770	-0.05137659	-0.04003588	-0.00764744	-0.00511158	-0.00065074	-0.00809794	-0.00331901	-0.00059731
S1_y	-0.17101348	0.73008850	-0.16092429	0.00428768	0.00018237	-0.00006821	0.00811520	0.00506832	0.00215952	0.01946858	-0.00131713	0.03105431	-0.00199465	-0.01885348	-0.01118134	-0.00301434	-0.00609938	-0.00137527	0.00137091	-0.00269082	-0.00083840	-0.00482460	-0.00553504	0.00006649	0.00001340	-0.00218833	0.00060236	-0.00102924	-0.00293979	-0.00192018	0.20543139	-0.33768751	-0.05710652	-0.06391175	-0.10015271	0.05652388	0.05922301	-0.20646859	0.18640322	-0.01855716	-0.00227068	0.00234112	-0.03810114	-0.07087375	-0.05023613	-0.00059517	0.00984670	0.00557075	0.00513140	0.01189132	-0.00107130
S1_z	-0.14289772	-0.16092429	0.80835864	-0.00479538	0.00294335	-0.00954773	0.00998585	0.00813529	-0.00188250	-0.01515613	-0.00609591	-0.02170171	-0.00267672	-0.00313819	-0.00360834	-0.00213478	-0.00282727	-0.00589640	0.00101547	-0.00120971	-0.00213851	-0.00115172	-0.00058997	-0.00109308	0.00082487	-0.00065101	-0.00088829	-0.00043469	-0.00087120	-0.00197853	0.04554729	-0.05934680	-0.09593634	0.21195531	0.05602006	-0.26838082	-0.09448931	0.18636988	-0.37049532	0.00279838	-0.00225622	0.03283543	-0.00915394	-0.02563661	-0.06963613	0.00159706	0.00801473	0.00897063	-0.00083385	0.00206386	0.00301900
F1_x	-0.00228646	0.00428768	-0.00479538	0.11190621	-0.06763529	0.08418486	-0.00753030	0.00390887	-0.03385680	-0.00145902	-0.00358307	0.00638740	0.00221622	-0.00334749	0.00134639	0.00137616	-0.00084959	0.00165448	0.00224815	0.00299406	-0.00202432	0.00082063	0.00163035	-0.00112011	-0.00312602	0.00272579	-0.00042418	-0.00015581	0.00029540	-0.00096030	0.00160527	-0.00130579	0.00039290	0.00019849	-0.00044232	0.00108743	-0.00246064	-0.00536059	0.00129922	-0.09152604	0.04754501	-0.04217910	0.00908624	-0.00770095	0.01035608	-0.01935450	0.03055846	-0.02899164	-0.00155857	-0.00372052	0.00764309
F1_y	0.00314270	0.00018237	0.00294335	-0.06763529	0.18285317	-0.13987070	-0.00219246	0.02452380	-0.00701241	-0.00540210	-0.00371469	0.00632600	-0.00208088	0.00452691	-0.00153065	-0.00017768	0.00187365	0.00047947	-0.00099197	0.00429804	-0.00282891	-0.00012001	-0.00079718	0.00066251	0.00386578	-0.00252720	0.00012878	0.00050029	0.00022566	0.00115491	-0.00109477	-0.00002152	-0.00085733	-0.00123907	-0.00018875	-0.00026890	-0.00261924	0.00000077	-0.00215139	0.03925981	-0.16694927	0.09692683	0.01900963	-0.01645114	0.01992875	0.01851212	-0.03061578	0.03342961	-0.00073685	0.00278114	-0.00745992
F1_z	-0.00342738	-0.00006821	-0.00954773	0.08418486	-0.13987070	0.24620169	-0.03361562	0.00656507	-0.05437234	0.00475690	0.00510373	-0.00477130	-0.00030712	0.00017732	0.00149632	0.00266219	-0.00145783	0.00538335	0.00118257	-0.00286931	0.00349051	0.00001232	0.00027113	0.00033237	-0.00114319	0.00068728	0.00078102	-0.00009527	0.00081544	0.00109080	0.00064361	0.00042039	0.00158984	0.00150640	0.00064421	0.00192968	-0.00047713	-0.00369355	0.00453710	-0.03787009	0.10679398	-0.16783729	-0.01308963	0.02115490	-0.01896657	-0.00599958	0.00740399	-0.01013235	0.00107613	-0.00207783	-0.00120512
F2_x	0.00187484	0.00811520	0.00998585	-0.00753030	-0.00219246	-0.03361562	0.12307594	0.07085100	0.08033986	0.00210003	0.00107186	0.00133719	0.00200406	-0.00325907	-0.00186150	-0.00113465	0.00338414	0.00505877	0.00188127	0.00548105	0.00453701	0.00096500	0.00147412	0.00002443	0.00022518	0.00033917	0.00066073	-0.00190845	0.00547579	0.00157375	0.00187083	-0.00280518	-0.00147276	-0.00366142	-0.00309596	-0.00026820	-0.00055642	-0.00028710	-0.00221226	-0.09569370	-0.05027688	-0.03922565	-0.02692761	-0.03345937	-0.02784994	0.00501146	0.00419192	0.00731540	-0.00159607	-0.00500825	-0.00432706
F2_y	0.00422975	0.00506832	0.00813529	0.00390887	0.02452380	0.00656507	0.07085100	0.17258462	0.11889677	-0.00101230	0.00126167	-0.00099012	0.00234706	0.00523436	0.00269757	0.00617748	-0.00473193	-0.00644909	0.00171747	0.00401459	0.00173894	0.00054378	0.00040462	0.00026050	0.00100622	-0.00031526	0.00024998	0.00358562	-0.00177264	0.00235277	0.00009656	-0.00150850	-0.00084287	-0.00374991	-0.00207378	0.00018632	-0.00087570	0.00062835	-0.00202574	-0.04300352	-0.15389970	-0.07841269	-0.02098639	-0.02852634	-0.02597290	-0.02234332	-0.02134861	-0.02409907	-0.00249267	0.00045643	-0.00229075
F2_z	0.00142693	0.00215952	-0.00188250	-0.03385680	-0.00701241	-0.05437234	0.08033986	0.11889677	0.21442854	0.00448841	0.00242523	0.00531868	0.00191915	0.00314220	0.00323517	0.00437141	-0.00505442	-0.00446849	0.00008960	-0.00128384	0.00020661	0.00042040	0.00009279	0.00083599	0.00108626	-0.00066051	0.00138533	0.00014821	0.00292007	0.00404069	-0.00022849	-0.00046095	0.00065589	-0.00091847	-0.00038769	0.00122285	-0.00065109	-0.00127255	0.00122638	-0.04006171	-0.08464733	-0.13583433	-0.00423257	-0.00436850	-0.00792768	-0.01285546	-0.02356254	-0.01996193	-0.00148563	-0.00092585	-0.00810886
F3_x	-0.00327583	0.01946858	-0.01515613	-0.00145902	-0.00540210	0.00475690	0.00210003	-0.00101230	0.00448841	0.09912830	-0.05267056	0.08006092	-0.01758632	0.03356337	-0.02109198	0.00040754	0.00021103	0.00104495	0.00053686	-0.00025262	0.00030718	-0.00426640	0.00220092	0.00324126	-0.00109765	0.00014697	0.00101663	-0.00115271	0.00017837	0.00133815	0.00355348	-0.00502129	0.00111225	0.00030186	-0.00177553	0.00099813	-0.00459684	-0.00263549	-0.00767331	0.00750125	-0.00715921	0.00997311	-0.08360107	0.01832564	-0.05739075	0.00014846	0.00127516	-0.00298631	0.00335806	0.00055906	-0.00403939
F3_y	-0.00084576	-0.00131713	-0.00609591	-0.00358307	-0.00371469	0.00510373	0.00107186	0.00126167	0.00242523	-0.05267056	0.13754921	-0.11559068	0.03383610	-0.03439115	0.02772627	-0.00002620	0.00055604	0.00016608	-0.00110956	0.00059328	0.00024289	0.00401419	-0.00000231	-0.00295822	0.00048544	0.00064299	-0.00078329	0.00022051	0.00060163	-0.00039964	-0.00281760	0.00285809	-0.00120097	0.00061619	0.00165185	-0.00124510	-0.00210574	0.00160999	-0.00302926	0.00641209	-0.01153163	0.02589635	0.01909710	-0.09027654	0.06725199	0.00027086	-0.00242562	-0.00066244	-0.00286584	-0.00366569	0.00315296
F3_z	-0.00028892	0.03105431	-0.02170171	0.00638740	0.00632600	-0.00477130	0.00133719	-0.00099012	0.00531868	0.08006092	-0.11559068	0.25773574	-0.01186670	0.01446290	0.01585449	0.00074383	-0.00008604	0.00083058	0.00135734	-0.00020950	0.00010128	0.00090236	-0.00206287	0.00115911	-0.00019139	-0.00029374	0.00112056	-0.00007049	0.00009041	0.00215772	0.00260572	-0.00615249	0.00198203	-0.00348227	-0.00469407	0.00753332	-0.00761406	-0.00507495	-0.00809284	-0.02168137	0.01500705	-0.03549586	-0.04780310	0.06639899	-0.21777035	-0.00198027	0.00089213	0.00007723	0.00158380	0.00092267	-0.00603867
F4_x	-0.00561855	-0.00199465	-0.00267672	0.00221622	-0.00208088	-0.00030712	0.00200406	0.00234706	0.00191915	-0.01758632	0.03383610	-0.01186670	0.17726133	-0.13235684	-0.05972848	0.00040537	0.00123930	0.00140823	-0.00446291	-0.00044039	0.00240092	-0.00028310	0.00062230	-0.00001949	-0.00104441	0.00067810	0.00011072	-0.00043375	0.00014831	-0.00027474	0.00282519	-0.00213197	-0.00023208	0.00450609	-0.00222878	-0.00349801	0.00194491	-0.00186525	0.00115014	-0.04017345	0.03735533	0.02373701	-0.12380963	0.07604382	0.04963795	0.00032825	-0.00769476	-0.00253071	0.00192070	-0.00147679	0.00076994
F4_y	0.03318511	-0.01885348	-0.00313819	-0.00334749	0.00452691	0.00017732	-0.00325907	0.00523436	0.00314220	0.03356337	-0.03439115	0.01446290	-0.13235684	0.22693757	0.06844349	0.00022420	0.00068697	0.00033399	0.00089773	0.00109010	-0.00046402	0.00122751	0.00096766	-0.00068732	0.00062351	0.00015930	-0.00036491	0.00051393	0.00059548	0.00022333	-0.00319550	-0.01073793	-0.00657123	-0.00481340	0.00206998	0.00198427	-0.00587419	0.00548880	-0.00516748	0.00801383	-0.01090475	-0.00399493	0.07906954	-0.17012117	-0.06990349	-0.00173977	-0.00075771	0.00052798	-0.00273246	-0.00199096	0.00099608
