coordinate	gradient_Eh_per_a0	negative_printed_force_Eh_per_a0	absolute_difference
S1_x	0.00000031	3.10E-7	0E-9
S1_y	-0.00000011	-1.08E-7	2E-9
S1_z	0.00000010	9.6E-8	4E-9
F1_x	-0.00000010	-9.6E-8	4E-9
F1_y	0.00000017	1.68E-7	2E-9
F1_z	-0.00000033	-3.32E-7	2E-9
F2_x	-0.00000010	-1.04E-7	4E-9
F2_y	0.00000002	1.8E-8	2E-9
F2_z	0.00000010	9.9E-8	1E-9
F3_x	0.00000020	2.01E-7	1E-9
F3_y	-0.00000012	-1.25E-7	5E-9
F3_z	0.00000034	3.40E-7	0E-9
F4_x	0.00000027	2.65E-7	5E-9
F4_y	-0.00000028	-2.84E-7	4E-9
F4_z	-0.00000013	-1.28E-7	2E-9
F5_x	0.00000001	1.4E-8	4E-9
F5_y	0.00000008	8.1E-8	1E-9
F5_z	0.00000013	1.26E-7	4E-9
F6_x	-0.00000023	-2.34E-7	4E-9
F6_y	-0.00000014	-1.41E-7	1E-9
F6_z	0.00000021	2.15E-7	5E-9
F7_x	-0.00000003	-2.8E-8	2E-9
F7_y	-0.00000014	-1.42E-7	2E-9
F7_z	0.	1E-9	1E-9
F8_x	0.00000010	9.9E-8	1E-9
F8_y	-0.00000008	-7.7E-8	3E-9
F8_z	-0.00000004	-3.6E-8	4E-9
F9_x	-0.00000018	-1.78E-7	2E-9
F9_y	-0.00000020	-1.95E-7	5E-9
F9_z	-0.00000039	-3.95E-7	5E-9
O1_x	-0.00000004	-4.3E-8	3E-9
O1_y	-0.00000006	-5.6E-8	4E-9
O1_z	0.00000011	1.06E-7	4E-9
O2_x	-0.00000014	-1.37E-7	3E-9
O2_y	-0.00000013	-1.33E-7	3E-9
O2_z	0.00000010	1.01E-7	1E-9
O3_x	-0.00000014	-1.40E-7	0E-9
O3_y	0.00000029	2.89E-7	1E-9
O3_z	-0.00000025	-2.47E-7	3E-9
C1_x	0.00000013	1.25E-7	5E-9
C1_y	-0.00000038	-3.81E-7	1E-9
C1_z	0.00000030	2.97E-7	3E-9
C2_x	-0.00000012	-1.23E-7	3E-9
C2_y	0.00000059	5.91E-7	1E-9
C2_z	-0.00000035	-3.50E-7	0E-9
C3_x	-0.00000010	-9.6E-8	4E-9
C3_y	0.00000023	2.26E-7	4E-9
C3_z	-0.00000044	-4.36E-7	4E-9
C4_x	0.00000016	1.63E-7	3E-9
C4_y	0.00000027	2.69E-7	1E-9
C4_z	0.00000054	5.44E-7	4E-9
