variable_id	source_value	unit	MM_stencil_lower	MM_stencil_upper	prospective_fit_lower	prospective_fit_upper	prior_scale	current_release_status	criterion_label
R_OG2P1-SG3O1	0.1448	nm	0.1428	0.1468	0.12480000000000001	0.1648	0.01	PENDING_NUMERICAL_REVIEW	NEW_PREREGISTERED_CRITERION
R_CG312-SG3O1	0.1807	nm	0.1787	0.1827	0.1607	0.2007	0.01	PENDING_NUMERICAL_REVIEW	NEW_PREREGISTERED_CRITERION
R_CG312-CG312	0.14563	nm	0.14363	0.14763	0.12563000000000002	0.16563	0.01	PENDING_NUMERICAL_REVIEW	NEW_PREREGISTERED_CRITERION
R_CG302-CG312	0.14563	nm	0.14363	0.14763	0.12563000000000002	0.16563	0.01	PENDING_NUMERICAL_REVIEW	NEW_PREREGISTERED_CRITERION
TH_OG2P1-SG3O1-OG2P1	109.47	degree	107.47	111.47	99.47	119.47	5.0	PENDING_NUMERICAL_REVIEW	NEW_PREREGISTERED_CRITERION
TH_FGA2-CG312-FGA2	107.0	degree	105.0	109.0	97.0	117.0	5.0	PENDING_NUMERICAL_REVIEW	NEW_PREREGISTERED_CRITERION
TH_CG312-CG312-SG3O1	122.0	degree	120.0	124.0	112.0	132.0	5.0	PENDING_NUMERICAL_REVIEW	NEW_PREREGISTERED_CRITERION
TH_FGA3-CG302-FGA3	107.0	degree	105.0	109.0	97.0	117.0	5.0	PENDING_NUMERICAL_REVIEW	NEW_PREREGISTERED_CRITERION
LAMBDA_CS	1.0	dimensionless	0.9	1.1	0	2	0.5	DIAGNOSTIC_ONLY_NOT_RELEASED	NEW_PREREGISTERED_CRITERION
LAMBDA_CC	1.0	dimensionless	0.9	1.1	0	2	0.5	DIAGNOSTIC_ONLY_NOT_RELEASED	NEW_PREREGISTERED_CRITERION
