matrix_id	n_rows	n_columns	singular_index_1based	singular_value	effective_threshold	supported	effective_supported_rank	spectral_uncertainty_delta	machine_only_tolerance	condition_number_2
FULL_PRIMARY_118	118	10	1	1.4931279392051542	0.13790795548285145	True	9	0.027581591096570292	3.9121838396873484e-14	14.711213111207716
FULL_PRIMARY_118	118	10	2	1.371801968169494	0.13790795548285145	True	9	0.027581591096570292	3.9121838396873484e-14	14.711213111207716
FULL_PRIMARY_118	118	10	3	1.2654832305806696	0.13790795548285145	True	9	0.027581591096570292	3.9121838396873484e-14	14.711213111207716
FULL_PRIMARY_118	118	10	4	1.1681249294099985	0.13790795548285145	True	9	0.027581591096570292	3.9121838396873484e-14	14.711213111207716
FULL_PRIMARY_118	118	10	5	1.1230701288312246	0.13790795548285145	True	9	0.027581591096570292	3.9121838396873484e-14	14.711213111207716
FULL_PRIMARY_118	118	10	6	0.7412126070746746	0.13790795548285145	True	9	0.027581591096570292	3.9121838396873484e-14	14.711213111207716
FULL_PRIMARY_118	118	10	7	0.450738459286046	0.13790795548285145	True	9	0.027581591096570292	3.9121838396873484e-14	14.711213111207716
FULL_PRIMARY_118	118	10	8	0.34621128511790594	0.13790795548285145	True	9	0.027581591096570292	3.9121838396873484e-14	14.711213111207716
FULL_PRIMARY_118	118	10	9	0.28391552589952296	0.13790795548285145	True	9	0.027581591096570292	3.9121838396873484e-14	14.711213111207716
FULL_PRIMARY_118	118	10	10	0.10149590845554517	0.13790795548285145	False	9	0.027581591096570292	3.9121838396873484e-14	14.711213111207716
LOW_TIER_FULL_99	99	10	1	1.3723553071306254	0.1378145913346972	True	8	0.02756291826693944	3.016768510687038e-14	119.69280056516575
LOW_TIER_FULL_99	99	10	2	1.2728621615417683	0.1378145913346972	True	8	0.02756291826693944	3.016768510687038e-14	119.69280056516575
LOW_TIER_FULL_99	99	10	3	1.178424073127145	0.1378145913346972	True	8	0.02756291826693944	3.016768510687038e-14	119.69280056516575
LOW_TIER_FULL_99	99	10	4	1.1099054292312012	0.1378145913346972	True	8	0.02756291826693944	3.016768510687038e-14	119.69280056516575
LOW_TIER_FULL_99	99	10	5	0.8318015343150981	0.1378145913346972	True	8	0.02756291826693944	3.016768510687038e-14	119.69280056516575
LOW_TIER_FULL_99	99	10	6	0.4168806557580443	0.1378145913346972	True	8	0.02756291826693944	3.016768510687038e-14	119.69280056516575
LOW_TIER_FULL_99	99	10	7	0.3791548174956153	0.1378145913346972	True	8	0.02756291826693944	3.016768510687038e-14	119.69280056516575
LOW_TIER_FULL_99	99	10	8	0.18323177053601225	0.1378145913346972	True	8	0.02756291826693944	3.016768510687038e-14	119.69280056516575
LOW_TIER_FULL_99	99	10	9	0.06532486030409705	0.1378145913346972	False	8	0.02756291826693944	3.016768510687038e-14	119.69280056516575
LOW_TIER_FULL_99	99	10	10	0.01146564622642828	0.1378145913346972	False	8	0.02756291826693944	3.016768510687038e-14	119.69280056516575
