CC_a	CS_a	comparison	CC_b	CS_b	proper_symmetry_RMSD_A	proper_max_atom_A	mirror_symmetry_RMSD_A	mirror_max_atom_A	proper_atom_map	mirror_atom_map	interpretation
90	60	DEVELOPMENT	60	30	1.0056067817581036	1.9020042548513048	1.32153417173001	3.5791335887326348	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[1, 2, 3, 5, 4, 7, 6, 8, 10, 9, 13, 12, 11, 14, 15, 16, 17]	DIAGNOSTIC_COORDINATE_SEPARATION_NOT_QM_BASIN_OR_ENERGY_EQUIVALENCE
90	60	DEVELOPMENT	60	90	0.8540375980173086	1.7184437911317616	1.3276999121183994	3.544651347396728	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[1, 2, 3, 5, 4, 7, 6, 8, 10, 9, 12, 11, 13, 14, 15, 16, 17]	DIAGNOSTIC_COORDINATE_SEPARATION_NOT_QM_BASIN_OR_ENERGY_EQUIVALENCE
90	60	DEVELOPMENT	180	30	1.1584274212717112	2.187584156071964	1.625106084088879	3.578167892165291	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[1, 3, 2, 4, 5, 7, 6, 10, 9, 8, 11, 13, 12, 14, 15, 16, 17]	DIAGNOSTIC_COORDINATE_SEPARATION_NOT_QM_BASIN_OR_ENERGY_EQUIVALENCE
90	60	DEVELOPMENT	180	90	1.1983344760320689	2.3809291651608313	1.5705578415365908	3.4075775575268357	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 11, 12, 14, 15, 16, 17]	[1, 3, 2, 4, 5, 7, 6, 10, 9, 8, 11, 13, 12, 14, 15, 16, 17]	DIAGNOSTIC_COORDINATE_SEPARATION_NOT_QM_BASIN_OR_ENERGY_EQUIVALENCE
90	60	DEVELOPMENT	300	30	1.4712460915738665	3.42098628310783	1.1844051972197402	2.3264998856336234	[1, 2, 3, 5, 4, 6, 7, 8, 9, 10, 12, 13, 11, 14, 15, 16, 17]	[1, 3, 2, 5, 4, 7, 6, 8, 10, 9, 13, 12, 11, 14, 15, 16, 17]	DIAGNOSTIC_COORDINATE_SEPARATION_NOT_QM_BASIN_OR_ENERGY_EQUIVALENCE
90	60	DEVELOPMENT	300	90	1.4486993170493425	3.45886817238025	1.1402869380929133	2.3402295948700598	[1, 2, 3, 5, 4, 6, 7, 8, 9, 10, 12, 13, 11, 14, 15, 16, 17]	[1, 3, 2, 5, 4, 7, 6, 8, 10, 9, 13, 12, 11, 14, 15, 16, 17]	DIAGNOSTIC_COORDINATE_SEPARATION_NOT_QM_BASIN_OR_ENERGY_EQUIVALENCE
90	60	HELDOUT	210	0	1.408432451307822	3.679035056183227	1.6695403061688059	3.7192117021565623	[1, 2, 3, 5, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]	[1, 3, 2, 4, 5, 7, 6, 10, 9, 8, 11, 13, 12, 14, 15, 16, 17]	DIAGNOSTIC_COORDINATE_SEPARATION_NOT_QM_BASIN_OR_ENERGY_EQUIVALENCE
90	60	HELDOUT	330	60	1.432279498700859	3.6370457353089507	1.0977941738634325	2.38717866029538	[1, 2, 3, 5, 4, 6, 7, 9, 10, 8, 12, 13, 11, 14, 15, 16, 17]	[1, 3, 2, 5, 4, 7, 6, 8, 10, 9, 13, 12, 11, 14, 15, 16, 17]	DIAGNOSTIC_COORDINATE_SEPARATION_NOT_QM_BASIN_OR_ENERGY_EQUIVALENCE
90	60	HELDOUT	270	0	1.5035422156920988	3.107719206966048	1.2687580567205772	2.0899502062200233	[1, 2, 3, 5, 4, 6, 7, 8, 9, 10, 13, 11, 12, 14, 15, 16, 17]	[1, 3, 2, 5, 4, 7, 6, 10, 9, 8, 11, 13, 12, 14, 15, 16, 17]	DIAGNOSTIC_COORDINATE_SEPARATION_NOT_QM_BASIN_OR_ENERGY_EQUIVALENCE
210	0	DEVELOPMENT	60	30	1.5076880380628812	3.1622102411470627	1.8558333647906222	3.5637011803201766	[1, 2, 3, 5, 4, 6, 7, 8, 9, 10, 12, 13, 11, 14, 15, 16, 17]	[1, 3, 2, 4, 5, 6, 7, 8, 10, 9, 12, 11, 13, 14, 15, 16, 17]	DIAGNOSTIC_COORDINATE_SEPARATION_NOT_QM_BASIN_OR_ENERGY_EQUIVALENCE
