CC	CS	actual_O1_CS_deg	actual_O2_CS_deg	actual_O3_CS_deg	note
90	60	59.99999999999721	-179.466632883867	-59.67175144490434	ActualOangularoffsets;120nominalfoldisnotassumedexact
210	0	1.433437495676466e-13	119.89384494046361	-120.30930587250836	ActualOangularoffsets;120nominalfoldisnotassumedexact
330	60	59.99999999999989	179.6746304655575	-60.10531723614902	ActualOangularoffsets;120nominalfoldisnotassumedexact
270	0	-1.0356149228615742e-11	119.62699400559741	-120.14527662038915	ActualOangularoffsets;120nominalfoldisnotassumedexact
60	30	29.999999999987338	149.8613257848187	-90.32373669650633	ActualOangularoffsets;120nominalfoldisnotassumedexact
60	90	89.99999999999244	-150.13867421517656	-30.323736696501168	ActualOangularoffsets;120nominalfoldisnotassumedexact
180	30	30.00000000000517	149.7931423072272	-90.46889317407471	ActualOangularoffsets;120nominalfoldisnotassumedexact
180	90	89.99999999999497	-150.20685769278361	-30.46889317408491	ActualOangularoffsets;120nominalfoldisnotassumedexact
300	30	29.99999999999441	149.70841397342303	-89.96005261682966	ActualOangularoffsets;120nominalfoldisnotassumedexact
300	90	90.00000000000342	-150.29158602656864	-29.96005261682132	ActualOangularoffsets;120nominalfoldisnotassumedexact
