variable_id	class	base	physical_unit	h	2h	parameter_normalization_scale	term_ids	source_instance_sets	purpose
R_OG2P1-SG3O1	BOND_EQUILIBRIUM	0.1448	nm	0.001	0.002	0.01	OG2P1-SG3O1	1-11;1-12;1-13	EQUILIBRIUM_DIAGNOSTIC_NOT_RELEASED
R_CG312-SG3O1	BOND_EQUILIBRIUM	0.1807	nm	0.001	0.002	0.01	CG312-SG3O1	1-15	EQUILIBRIUM_DIAGNOSTIC_NOT_RELEASED
R_CG312-CG312	BOND_EQUILIBRIUM	0.14563	nm	0.001	0.002	0.01	CG312-CG312	14-15;14-16	EQUILIBRIUM_DIAGNOSTIC_NOT_RELEASED
R_CG302-CG312	BOND_EQUILIBRIUM	0.14563	nm	0.001	0.002	0.01	CG302-CG312	16-17	EQUILIBRIUM_DIAGNOSTIC_NOT_RELEASED
TH_OG2P1-SG3O1-OG2P1	ANGLE_EQUILIBRIUM	109.47	degree	1.0	2.0	5.0	OG2P1-SG3O1-OG2P1	11-1-12;11-1-13;12-1-13	EQUILIBRIUM_DIAGNOSTIC_NOT_RELEASED
TH_FGA2-CG312-FGA2	ANGLE_EQUILIBRIUM	107.0	degree	1.0	2.0	5.0	FGA2-CG312-FGA2	2-14-3;4-15-5;6-16-7	EQUILIBRIUM_DIAGNOSTIC_NOT_RELEASED
TH_CG312-CG312-SG3O1	ANGLE_EQUILIBRIUM	122.0	degree	1.0	2.0	5.0	CG312-CG312-SG3O1	1-15-14	EQUILIBRIUM_DIAGNOSTIC_NOT_RELEASED
TH_FGA3-CG302-FGA3	ANGLE_EQUILIBRIUM	107.0	degree	1.0	2.0	5.0	FGA3-CG302-FGA3	8-17-9;8-17-10;9-17-10	EQUILIBRIUM_DIAGNOSTIC_NOT_RELEASED
LAMBDA_CS	GROUPED_TORSION_DIAGNOSTIC_ONLY	1.0	dimensionless	0.05	0.1	0.5	FGA2-CG312-SG3O1-OG2P1:n3;CG312-CG312-SG3O1-OG2P1:n3	11-1-15-4;11-1-15-5;12-1-15-4;12-1-15-5;13-1-15-4;13-1-15-5;11-1-15-14;12-1-15-14;13-1-15-14	False
LAMBDA_CC	GROUPED_TORSION_DIAGNOSTIC_ONLY	1.0	dimensionless	0.05	0.1	0.5	FGA2-CG312-CG312-SG3O1:n1;CG312-CG312-CG312-SG3O1:n1;CG312-CG312-CG312-SG3O1:n2;CG312-CG312-CG312-SG3O1:n3	2-14-15-1;3-14-15-1;16-14-15-1;16-14-15-1;16-14-15-1	False
