atom_id	atom_name	element	x_A	y_A	z_A	isotope_mass_amu
1	S1	S	-2.2232398296	-0.804615756	-0.3097160649	31.9720718
2	F1	F	-0.4114461799	1.8946117712	-1.0224167803	18.9984032
3	F2	F	0.6197603718	1.9030961332	0.9267991218	18.9984032
4	F3	F	-0.6479001916	-0.2346863932	1.771610068	18.9984032
5	F4	F	-1.9451262051	1.4269320379	1.1059421602	18.9984032
6	F5	F	0.7841864831	-0.3805389614	-1.7480710689	18.9984032
7	F6	F	2.133273276	1.2095635708	-1.0393354488	18.9984032
8	F7	F	1.2723790062	-1.7849210804	0.5977137453	18.9984032
9	F8	F	3.0613205218	-1.1566160715	-0.4726166233	18.9984032
10	F9	F	2.4580202382	-0.1080781951	1.34886976	18.9984032
11	O1	O	-1.2750644665	-1.9179277174	-0.5526645366	15.9949146
12	O2	O	-3.3073331198	-1.0795289763	0.6588868029	15.9949146
13	O3	O	-2.5938573832	-0.0024071552	-1.4986047511	15.9949146
14	C1	C	0.0395680856	1.0911289971	-0.0227209475	12.0000000
15	C2	C	-1.159934306	0.3946115631	0.6608036265	12.0000000
16	C3	C	1.2046440458	0.2731529814	-0.6450266101	12.0000000
17	C4	C	1.9907496531	-0.723876748	0.2406475468	12.0000000
