state_key	source_id	phase	atom_i_1based	atom_i_name	atom_i_xyz_raw_nm	atom_j_1based	atom_j_name	atom_j_xyz_raw_nm	distance_nm	coordinate_g96_sha256
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	2	F1	"[""4.958855382"",""5.189461177"",""4.897758322""]"	0.33281177571081794	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	3	F2	"[""5.061976037"",""5.190309613"",""5.092679912""]"	0.41162268653243422	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	4	F3	"[""4.935209981"",""4.976531361"",""5.177161007""]"	0.26717845960265335	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	5	F4	"[""4.805487379"",""5.142693204"",""5.110594216""]"	0.26572995625574336	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	6	F5	"[""5.078418648"",""4.961946104"",""4.825192893""]"	0.33605534182885116	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	7	F6	"[""5.213327328"",""5.120956357"",""4.896066455""]"	0.4854736790523777	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	8	F7	"[""5.127237901"",""4.821507892"",""5.059771375""]"	0.37421622700064572	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	9	F8	"[""5.306132052"",""4.884338393"",""4.952738338""]"	0.52987752267368815	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	10	F9	"[""5.245802024"",""4.989192180"",""5.134886976""]"	0.50150042211120982	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	11	O1	"[""4.872493553"",""4.808207228"",""4.944733546""]"	0.14824048021793784	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	12	O2	"[""4.669266688"",""4.892047102"",""5.065888680""]"	0.14795360895746837	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	13	O3	"[""4.740614262"",""4.999759284"",""4.850139525""]"	0.14813346426421939	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	14	C1	"[""5.003956809"",""5.109112900"",""4.997727905""]"	0.29658917834348086	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	15	C2	"[""4.884006569"",""5.039461156"",""5.066080363""]"	0.18736790713925772	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	16	C3	"[""5.120464405"",""5.027315298"",""4.935497339""]"	0.36089342632730709	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	1	S1	"[""4.777676017"",""4.919538424"",""4.969028394""]"	17	C4	"[""5.199074965"",""4.927612325"",""5.024064755""]"	0.42505442273312133	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	2	F1	"[""4.958855382"",""5.189461177"",""4.897758322""]"	3	F2	"[""5.061976037"",""5.190309613"",""5.092679912""]"	0.22051987570149648	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	2	F1	"[""4.958855382"",""5.189461177"",""4.897758322""]"	4	F3	"[""4.935209981"",""4.976531361"",""5.177161007""]"	0.35208531908537999	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	2	F1	"[""4.958855382"",""5.189461177"",""4.897758322""]"	5	F4	"[""4.805487379"",""5.142693204"",""5.110594216""]"	0.26647346100037106	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
primary__BASE	GEO_A	START	2	F1	"[""4.958855382"",""5.189461177"",""4.897758322""]"	6	F5	"[""5.078418648"",""4.961946104"",""4.825192893""]"	0.2670659553457464	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442
