observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_2h_normalized__R_OG2P1-SG3O1	J_2h_normalized__R_CG312-SG3O1	J_2h_normalized__R_CG312-CG312	J_2h_normalized__R_CG302-CG312	J_2h_normalized__TH_OG2P1-SG3O1-OG2P1	J_2h_normalized__TH_FGA2-CG312-FGA2	J_2h_normalized__TH_CG312-CG312-SG3O1	J_2h_normalized__TH_FGA3-CG302-FGA3	J_2h_normalized__LAMBDA_CS	J_2h_normalized__LAMBDA_CC
BOND|A|S1-O1	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.47703217652968355	-0.0016373884771782154	-0.0012167974172663488	0.00032984786870687225	-0.01855735621683464	0.0004151957281487181	0.0002550485079768874	-0.000301460414361348	-0.0010385419481494394	1.2372042822327166e-05
BOND|A|S1-O2	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.4764292216543866	-0.003756253310798084	-0.0005858586391355786	-0.00029250151942525647	-0.0156949890577336	0.0011204716875851115	-0.0002883761603600993	0.00041106475788070063	0.0002538865138833489	7.01373032645996e-05
BOND|A|S1-O3	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.4764336883921687	-0.002601852733189839	-0.0002638973884108411	-0.00031231313539030003	-0.01748165800234834	0.0006854550240033131	-0.0002824842168467715	0.00023348349346357592	-8.023195205739439e-05	-9.178109700025416e-05
BOND|A|S1-C2	bond	bond	CG312-SG3O1	A	GEO_A	angstrom	0.2886751345948129	0.03	-0.039578571562110046	0.6886239817332465	-0.10758520249299093	-0.00412376922802068	0.05348452167828979	0.0440263817768641	-0.03799166171990978	0.003896803378853679	-0.004274809769541137	5.064784064932139e-06
BOND|A|F1-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.0013011350345941718	-0.0024864279405631172	-0.012915799065957224	-0.0010547921494701636	-0.00012393438778718753	-0.0025080332465834835	-0.000497743635884315	0.0005408190347659303	-1.9938402382486375e-05	-5.1839277954452386e-05
BOND|A|F2-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.0009868204918757402	-0.0015364178619755565	-0.01571186872566817	-0.0028784123482379718	0.0012677393892970483	-0.0012244018265659279	0.00011014431346864348	-0.0002332420399869088	0.0004308714367912493	-0.00021890100784377936
BOND|A|F3-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.002563320794530567	-0.01503710097576125	-0.007037994837182682	-8.24331831130474e-05	0.0017404069357488934	-0.00038118004913429256	0.0028727940281535365	-0.000571870435417939	-4.659754027863421e-05	-0.00032179633942374037
BOND|A|F4-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.002284174133431971	-0.014798075597654276	-0.012031588985154617	-0.0007170388533215985	0.0018138399477912015	-0.0001763577545364169	0.003374383710851156	0.0006552346052207179	0.00048233657214955087	0.0002138518166139539
BOND|A|F5-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.0015033303941547284	-0.0009531369584651096	-0.005439755740094938	-0.0038433362785316705	0.0007392725936002633	-0.004959765894047489	0.00015233640925401163	0.001959042569942095	-8.795501230624446e-05	7.1945615376476645e-06
BOND|A|F6-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.0005317937320418709	-0.00020080398979529246	-0.010294069448890981	-0.0053260745417536125	0.000735675570334235	-0.0025092206003664405	-0.00029564964078416904	0.0031877407818077697	0.00016004179277886015	0.00021168547084128805
