observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_normalized__R_OG2P1-SG3O1	J_h_normalized__R_CG312-SG3O1	J_h_normalized__R_CG312-CG312	J_h_normalized__R_CG302-CG312	J_h_normalized__TH_OG2P1-SG3O1-OG2P1	J_h_normalized__TH_FGA2-CG312-FGA2	J_h_normalized__TH_CG312-CG312-SG3O1	J_h_normalized__TH_FGA3-CG302-FGA3	J_h_normalized__LAMBDA_CS	J_h_normalized__LAMBDA_CC
BOND|A|S1-O1	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.4772925585153445	-0.0014972097554768716	-0.0013803639410084024	0.0009977821991660443	-0.018608178350273025	0.0003450029385972571	0.0002300174753136177	-0.0005262056569797933	-0.0011295022522037376	-5.167714002397695e-05
BOND|A|S1-O2	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.47652192489516176	-0.003923567471931911	-0.00022201995955286848	-0.00021649317383243272	-0.015623512450256713	0.001010412013428367	-9.3099270527376e-05	0.0006102764115753809	7.301102211081872e-05	-0.0002588078038483981
BOND|A|S1-O3	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.476273329572125	-0.002278294497627521	-0.00038691029324855464	-0.000669491418630535	-0.017560906758936252	0.0008933631972672815	-0.0004715223830831227	0.0003477999811978765	6.530511401401126e-05	0.0003717785030758295
BOND|A|S1-C2	bond	bond	CG312-SG3O1	A	GEO_A	angstrom	0.2886751345948129	0.03	-0.03923494695617427	0.6881396631792966	-0.10821762931813293	-0.004148899714986133	0.05342695212539042	0.04418224072708848	-0.03790605093243375	0.0038565279807440175	-0.004866466145055991	0.000438444234123578
BOND|A|F1-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.0013186642131348923	-0.00269585044637454	-0.013149322132845186	-0.0011351053681660733	-0.00012553710169707253	-0.0024129945643225985	-0.0004255232118903683	0.0005041098576299874	-0.0001961802434551356	-2.161334111681002e-06
BOND|A|F2-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.00091228451386655	-0.0014927770481622017	-0.015711143608939004	-0.0031128932115936166	0.0012873735704502542	-0.0012608423628895095	0.00014754271682902357	-0.000245657618558266	0.00027836780637621744	-8.61178897243613e-05
BOND|A|F3-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.002429041996766166	-0.015126972140197835	-0.0070311593372915935	-6.206773650982311e-05	0.001725145250494814	-0.0002829197765611205	0.002921346725719618	-0.0004898773523219934	-0.00011746166548702163	-0.0003557757726270473
BOND|A|F4-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.002259036317313708	-0.014882237644244274	-0.012126397788700121	-0.0006354566773065052	0.0019271434197905264	-0.0001033960451167416	0.0033873491218015532	0.0005300055737637162	0.0005901793838246928	0.00023002820033246125
BOND|A|F5-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.0013081444639895193	-0.0009119324800694125	-0.005329073996564595	-0.003728420242476237	0.0006816429542524888	-0.0051102516735271235	0.0002638974465535585	0.0019271173276124284	-0.00012778932473221717	-8.977552728748231e-08
BOND|A|F6-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.0007843633877665023	-0.0003676281247149607	-0.010296791865368936	-0.0051844504804328334	0.0007691345830277896	-0.0024933765138202483	-0.00021851484941945023	0.0031346539715655136	0.00031345709354202304	8.181424276552903e-05
