observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_tight_normalized__R_OG2P1-SG3O1	J_h_tight_normalized__R_CG312-SG3O1	J_h_tight_normalized__R_CG312-CG312	J_h_tight_normalized__R_CG302-CG312	J_h_tight_normalized__TH_OG2P1-SG3O1-OG2P1	J_h_tight_normalized__TH_FGA2-CG312-FGA2	J_h_tight_normalized__TH_CG312-CG312-SG3O1	J_h_tight_normalized__TH_FGA3-CG302-FGA3	J_h_tight_normalized__LAMBDA_CS	J_h_tight_normalized__LAMBDA_CC
BOND|A|S1-O1	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.4772075392960132	-0.0016956745911104556	-0.001268277377853967	0.000571502715756505	-0.018527619972906008	0.00044774509794232026	0.00019821716517845166	-0.0003775836717210021	-0.0009435061958261591	5.231648604454698e-05
BOND|A|S1-O2	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.4764936473958197	-0.003520467196303932	-0.0004074214909518166	-0.00032145771334936133	-0.015656161796807126	0.0010152375512402962	-0.00021454731020479714	0.00047326525714732855	4.6298206712869217e-05	3.7906157984096074e-05
BOND|A|S1-O3	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.476341977085669	-0.002569090021522749	-0.0005095154304024518	-0.00022244337724883518	-0.017599643566364637	0.0007197526753796898	-0.00031469216018844805	0.0002811457020924902	-7.883500826835445e-05	-1.0322294469795108e-05
BOND|A|S1-C2	bond	bond	CG312-SG3O1	A	GEO_A	angstrom	0.2886751345948129	0.03	-0.03927742236284369	0.6880519886600823	-0.10827477890777043	-0.004747024995265118	0.053591578637202264	0.043945566152341534	-0.03795184870509271	0.0037974610176874524	-0.004542755114733318	0.0005857279074272654
BOND|A|F1-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.001258432887870022	-0.002502960971139066	-0.01296720563107056	-0.0009811475890447352	-6.851328178959071e-05	-0.002487275847980178	-0.0005089334629080562	0.0005817729354408855	-9.574453731601599e-05	-3.158333282888966e-05
BOND|A|F2-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.0009919865939825615	-0.0015348050951430976	-0.015724736977920123	-0.002938971768944187	0.0012855829724773905	-0.0012007658098114951	0.00011392201282918484	-0.000238066238542949	0.00029226177801524206	-6.93831153014197e-05
BOND|A|F3-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.002513073238388634	-0.015084934185689288	-0.007090093192508698	2.124880293759954e-06	0.0017908815934997181	-0.00038174410487406223	0.002840034563132056	-0.0005079205512950752	-9.446347509207514e-05	-0.00034856036722665293
BOND|A|F4-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.002242712673402318	-0.014846138830085452	-0.012009390759220327	-0.0006922050371488007	0.0018228894141269852	-0.00019771198695940973	0.0033896436463375017	0.0006096788013896792	0.0004235348662305854	0.00017577691798754518
BOND|A|F5-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.001331080897423147	-0.0009008355206290905	-0.005385961978605881	-0.0038217542116460467	0.0007573677128269057	-0.0049438039455342525	0.00014545858879967016	0.0019805813776817304	-9.99102924485886e-05	6.689567696363763e-05
BOND|A|F6-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.0005630162585570878	-0.0003515025650856025	-0.010392500322296076	-0.005317089992197853	0.0007470707336070441	-0.002535246814643284	-0.0003128108747003391	0.0031435068637614503	0.00020307433030613393	4.711697911097405e-05
BOND|A|F7-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.0008591474250918552	0.0004506835404008116	-0.0033463252985008493	-0.004477012610890371	-0.0006624110113638713	0.0005221503897034907	0.00021995369243866923	-0.03633883146180677	0.000278769611832757	0.00021420133436731188
BOND|A|F8-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.0005687627556026796	-0.00018960159977228958	-0.0028848261886044784	-0.012757150442509343	0.0007278819703822788	0.0013832288429629603	-4.078605272036147e-05	-0.02972188103575468	-0.00014007712598493625	2.6556390469383787e-05
BOND|A|F9-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.00016624210711727963	-0.00022842002006528972	-0.0028300820181545758	-0.008278105756943778	0.0007001789899171069	0.0014087219738100217	-0.00020287158165414412	-0.03294674793206479	2.3016200069293626e-05	-0.00013043197024911437
BOND|A|C1-C2	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	-0.00393249474837147	-0.045609769383665004	0.5483637920077556	-0.007269016304764291	0.004683236060362494	0.023535686757792502	-0.029726067023483443	0.0003815339843127129	0.0013348239614525239	0.00027017713142171615
