observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_2h_raw__R_OG2P1-SG3O1	J_2h_raw__R_CG312-SG3O1	J_2h_raw__R_CG312-CG312	J_2h_raw__R_CG302-CG312	J_2h_raw__TH_OG2P1-SG3O1-OG2P1	J_2h_raw__TH_FGA2-CG312-FGA2	J_2h_raw__TH_CG312-CG312-SG3O1	J_2h_raw__TH_FGA3-CG302-FGA3	J_2h_raw__LAMBDA_CS	J_2h_raw__LAMBDA_CC
BOND|A|S1-O1	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	8.586579177534304	-0.02947299258920788	-0.02190235351079428	0.005937261636723701	-0.0006680648238060471	1.4947046213353854e-05	9.181746287167947e-06	-1.0852574917008528e-05	-0.0003738751013337982	4.45393541603778e-06
BOND|A|S1-O2	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	8.57572598977896	-0.06761255959436552	-0.010545455504440415	-0.005265027349654616	-0.0005650196060784096	4.033698075306402e-05	-1.0381541772963576e-05	1.4798331283705224e-05	9.139914499800561e-05	2.5249429175255855e-05
BOND|A|S1-O3	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	8.575806391059038	-0.04683334919741711	-0.00475015299139514	-0.005621636437025401	-0.0006293396880845403	2.4676380864119274e-05	-1.0169431806483775e-05	8.405405764688734e-06	-2.888350274066198e-05	-3.30411949200915e-05
BOND|A|S1-C2	bond	bond	CG312-SG3O1	A	GEO_A	angstrom	0.2886751345948129	0.03	-0.4113125810194518	7.156390342034191	-1.1180582211626766	-0.042855466929725416	0.0011116549075838034	0.0009150711613314377	-0.0007896418603542399	8.099353727136771e-05	-0.0008885025256244461	1.052695599579323e-06
BOND|A|F1-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.03312149062323355	-0.06329412207733975	-0.32878256774332426	-0.026850624538776735	-6.309708913909695e-06	-0.00012768820675923553	-2.5340968816289777e-05	2.753401009519818e-05	-1.0150977262091132e-05	-2.6392251580853454e-05
BOND|A|F2-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.02512034861829049	-0.039110813601805905	-0.3999588811571808	-0.0732724160576459	6.454275256434494e-05	-6.233636408126131e-05	5.6076329493226496e-06	-1.1874746025541949e-05	0.00021936392263777194	-0.00011144619867953232
BOND|A|F3-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.0652514945820859	-0.3827820984965147	-0.17915809951180028	-0.0020984062598650155	8.860705533303426e-05	-1.9406519826903335e-05	0.00014625879395469	-2.9114889324777238e-05	-2.372359443669758e-05	-0.000163831949112625
BOND|A|F4-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.05814558068978348	-0.37669750573005034	-0.3062742537546792	-0.018252829280085425	9.234565394905525e-05	-8.978671018622375e-06	0.00017179557150731606	3.335909994861552e-05	0.0002455656919064797	0.00010887557018168792
BOND|A|F5-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.03826854417854353	-0.024262905842287186	-0.13847357418550477	-0.09783536921748048	3.763761581376812e-05	-0.0002525100549680692	7.755703776368694e-06	9.973816458042073e-05	-4.4779381661586015e-05	3.6628727406728956e-06
BOND|A|F6-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.013537258348295111	-0.005111635063448361	-0.2620442272793788	-0.13557972332084445	3.745448528663653e-05	-0.00012774865694487048	-1.50520223414774e-05	0.000162293264890645	8.147997860197265e-05	0.00010777264697559019
BOND|A|F7-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.014947861108616234	0.011808628249510011	-0.05564303669303161	-0.07939007218660254	-2.6270218074830876e-05	1.6986904381788293e-05	8.947722138274994e-06	-0.001307300128058464	5.21119769758549e-05	0.00010895201303817714
BOND|A|F8-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.008523053488806998	-0.00505761571784058	-0.051196211100557054	-0.22986173386502218	3.152242155513019e-05	5.240734357070398e-05	-4.402001826220303e-06	-0.0010679045555774258	9.734084454038339e-06	-3.6493085668887204e-05
BOND|A|F9-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.0033789368557579635	-0.004723528042871461	-0.05292829272712796	-0.1478510064478189	2.295190533707636e-05	4.9986355802889015e-05	-4.841685192769063e-06	-0.001187829541989316	-2.674255149770488e-05	-4.3429086524771066e-05
BOND|A|C1-C2	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	-0.06744498077743133	-0.6749678267454207	8.062361278740216	-0.10473771059016368	0.00014022036870187105	0.000695282014273213	-0.0008762132232995046	1.0488044534406882e-05	0.0003395659503624415	9.873645919200591e-05
BOND|A|C1-C3	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	-0.020032156094695885	-0.09471449672182608	8.196173536764938	-0.4725592975531323	-8.138740474006312e-06	0.0007491162012290831	-0.0001774120281033964	0.00033057934602387373	-0.000182312786571881	1.8697312641480224e-05
BOND|A|C3-C4	bond	bond	CG302-CG312	A	GEO_A	angstrom	0.2886751345948129	0.03	0.002234065703543564	-0.038406649792599445	-0.581414413229786	9.068661233885223	0.00010849136567753215	0.0003100330141387331	-2.32881789477557e-05	0.000998403315058627	-0.0002731371545294792	-0.0001951936734156945
ANGLE|A|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	-14.138070951336346	-59.12824190645338	96.02048497009719	-5.755951970467521	-0.002153103150277502	-0.20372406101364504	-0.06958271120419468	0.01152870238496817	0.05663189258257262	0.06497790384479174
ANGLE|A|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	-20.72439146275329	-64.29815459983246	121.65294192730869	11.11231578595806	0.016321447687932533	-0.18163811044611933	-0.07342591080418615	-0.017123159967351143	-0.13454472175972398	-0.0902391740017805
ANGLE|A|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	A	GEO_A	degree	0.21320071635561041	3.0	-3.492469898130679	-95.81416101758222	-188.25789348246147	-4.078008683887191	0.09776961403969153	0.034093014691436	0.3306117893389846	0.006767545019194188	0.08822701599996208	0.040574360829168654
ANGLE|A|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	1.1485480452861907	8.843299793117154	25.110572191138658	11.580224345532741	-0.01502284446631208	0.8328608484214648	0.023184440863268208	-0.008273975604392803	0.05642283401350312	0.07328868224291796
ANGLE|A|F1-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	-9.353292315555706	-16.09662099810194	62.45916458175671	17.092865189749062	0.02649209100303196	-0.11836187934870779	-0.07166176517394618	-0.012214861550198464	-0.024593987056817923	0.08177771998830963
ANGLE|A|F1-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	5.910763648063977	14.357138109978962	29.995812414675527	10.735728301543901	-0.01520215605774311	-0.2597872819982747	-0.014066319053206655	-0.0009284210634241674	-0.14082203572172602	-0.19366267603842857
