observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	J_h_raw__R_OG2P1-SG3O1	J_h_raw__R_CG312-SG3O1	J_h_raw__R_CG312-CG312	J_h_raw__R_CG302-CG312	J_h_raw__TH_OG2P1-SG3O1-OG2P1	J_h_raw__TH_FGA2-CG312-FGA2	J_h_raw__TH_CG312-CG312-SG3O1	J_h_raw__TH_FGA3-CG302-FGA3	J_h_raw__LAMBDA_CS	J_h_raw__LAMBDA_CC
BOND|A|S1-O1	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	8.591266053276202	-0.026949775598583692	-0.024846550938151246	0.017960079584988797	-0.000669894420609829	1.2420105789501257e-05	8.280629111290239e-06	-1.894340365127256e-05	-0.00040662081079334556	-1.8603770408631704e-05
BOND|A|S1-O2	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	8.577394648112913	-0.0706242144947744	-0.003996359271951633	-0.003896877128983789	-0.0005624464482092417	3.6374832483421216e-05	-3.351573738985536e-06	2.1969950816713713e-05	2.628396795989474e-05	-9.317080938542333e-05
BOND|A|S1-O3	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	8.57291993229825	-0.04100930095729538	-0.0069643852784739835	-0.01205084553534963	-0.0006321926433217051	3.216107510162214e-05	-1.697480579099242e-05	1.2520799323123555e-05	2.3509841045044055e-05	0.00013384026110729863
BOND|A|S1-C2	bond	bond	CG312-SG3O1	A	GEO_A	angstrom	0.2886751345948129	0.03	-0.4077415293621822	7.151357155979254	-1.1246305935219691	-0.04311663061118409	0.0011104583468967144	0.0009183106287786735	-0.0007878624735512263	8.015642884151575e-05	-0.0010114759939860996	9.112892277451934e-05
BOND|A|F1-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.03356771065976538	-0.06862514874106385	-0.3347270945330827	-0.028895065314893387	-6.391305784836376e-06	-0.00012284962699671276	-2.1664105104957088e-05	2.5665083913106734e-05	-9.9878673947007e-05	-1.1003716848811962e-06
BOND|A|F2-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.023222972380554374	-0.037999899847984686	-0.3999404226987524	-0.07924132436498699	6.554236187417128e-05	-6.419161330606382e-05	7.511648802083215e-06	-1.2506844091153546e-05	0.00014172174975790597	-4.384407154001124e-05
BOND|A|F3-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.06183331443720963	-0.3850698448495393	-0.1789840960920719	-0.0015799866256438477	8.783005717127867e-05	-1.4403923462746882e-05	0.00014873069375664905	-2.4940483039914696e-05	-5.9801716940643956e-05	-0.00018113145221265725
BOND|A|F4-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.057505676361091496	-0.3788399216690941	-0.30868769187919476	-0.016176086124253253	9.811412499260985e-05	-5.26406721479411e-06	0.00017245566246759658	2.698347853979932e-05	0.00030047028798163566	0.0001171112402298391
BOND|A|F5-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.0332999215653107	-0.023214011063088513	-0.13565607697496596	-0.094910084516453	3.470359358159758e-05	-0.0002601715400583071	1.343546452770017e-05	9.811279659577288e-05	-6.505970261860838e-05	-4.57062365732952e-08
BOND|A|F6-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	-0.0199666321345493	-0.009358284237870329	-0.2621135286888787	-0.13197456329183677	3.915794010989071e-05	-0.00012694200775009712	-1.112495989064044e-05	0.00015959052575764687	0.00015958629824730508	4.165301221714657e-05
BOND|A|F7-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.01826171136198873	0.011351589728869627	-0.058259354292045096	-0.07492263703667845	-2.4076920235982513e-05	2.093166788397216e-05	1.0090298152465316e-05	-0.0013109122125237738	0.00013599987640500188	0.00018681840163736751
BOND|A|F8-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	-0.01246770315832535	-0.005825750500565441	-0.04919483352128218	-0.23467171460322955	3.5457491096457794e-05	6.0061982865122765e-05	-1.1750532054044527e-06	-0.001065359458156001	8.523226529000283e-05	1.674971113807544e-05
BOND|A|F9-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	2.7386838685750092e-05	-0.006082788838401854	-0.050775803338343195	-0.1494836699187374	2.0968587791103666e-05	4.128810922077175e-05	-6.554906139766281e-06	-0.0011910381444329987	-2.196113419117296e-05	-0.0001513603743119596
BOND|A|C1-C2	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	-0.0602948583218188	-0.6723915602604436	8.063361910135457	-0.09576856863324767	0.00012651455810908097	0.0006875689533621943	-0.0008726426635009554	2.0308563926541012e-05	0.00038764988151251956	8.968935201192352e-06
BOND|A|C1-C3	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	-0.014639146939110503	-0.09241272321225402	8.196260396536758	-0.4729807041947698	-1.0597199077477804e-05	0.0007504689298193368	-0.0001768482559806328	0.0003365576154744643	-0.00011428444001149174	-1.1648878113224015e-05
BOND|A|C3-C4	bond	bond	CG302-CG312	A	GEO_A	angstrom	0.2886751345948129	0.03	-0.0011420506035308975	-0.04129496472549121	-0.5883101229046117	9.065403744775157	0.00011080873218183296	0.0003105643966386795	-2.2154780203287316e-05	0.0009908519428830642	-0.0002625351629270689	-0.000245464310770771
ANGLE|A|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	-14.294697347693841	-58.7005617801708	96.06675486321592	-4.798955256880788	-0.0020880024653422424	-0.2044858745338658	-0.06942740436142714	0.012056918803054373	0.05688265023380268	0.07675480671977652
ANGLE|A|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	-20.967624148930497	-65.66388532721135	121.16929455356029	11.697922270563765	0.01667695430570859	-0.1810986784041475	-0.07225409025536322	-0.017261179609015187	-0.14390032050087598	-0.08454687550056406
ANGLE|A|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	A	GEO_A	degree	0.21320071635561041	3.0	-3.5565003676580886	-95.09755999984293	-187.5191844451507	-4.7843581209008335	0.09877789934684245	0.034430226084658955	0.3283696212175826	0.005448170558722154	0.10135432240971909	0.01973708425069276
ANGLE|A|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.9286161518176073	8.65206766291493	25.549274857880278	12.219742729108418	-0.0145226439697268	0.8329537890979566	0.02291350297917205	-0.008635597562225428	0.07009606356689346	0.07009444246520502
ANGLE|A|F1-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	-8.932987087639788	-16.652994663374443	61.22357245087784	17.01192336449253	0.025592091686640117	-0.11803258813065298	-0.07136784954636965	-0.011515453925149188	-0.03541214981012786	0.08558767455795646
ANGLE|A|F1-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	5.29609110580509	14.665581409339268	28.955597621532547	10.507761375841085	-0.015612791913184765	-0.2604371987119407	-0.014855514956543914	-0.001139721265239757	-0.14772847970689895	-0.20486714409756246
ANGLE|A|F2-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.6851913038019575	-10.509633380962669	1.0028556098546915	10.0483570428338	-0.006301484000509561	-0.2540323918093179	0.11601367738852986	-0.007330863598085102	-0.12140841555634552	0.11434160877954014
ANGLE|A|F2-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	4.8393856055284346	17.254011192548546	18.018973355978574	-28.744919554107184	-0.021854996401096116	-0.11819924018266903	0.050595903148867194	0.0076036244872668135	-0.11825032211874031	0.08833679270566108
ANGLE|A|F3-C2-F4	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	4.632094646304097	27.737219302309768	32.98333054030422	1.5004002932812455	-0.004574770926723204	0.8343364198316152	-0.023721515430118245	-0.004704531471553253	0.10252351685664962	-0.020539035511148995
ANGLE|A|F3-C2-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	19.6304702631096	104.03068755887546	-14.599124530015217	-2.2809780832560023	-0.056164643256927604	-0.18452974321878202	-0.10383313258195415	0.006905634659453597	-0.014313130714356248	0.06704439905021786
ANGLE|A|F4-C2-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	13.148937769557278	91.21217781039803	-17.77909455046256	0.10983498680161574	-0.05969000253421797	-0.23152589466815243	-0.09483813013520148	-0.004809354612739014	-0.112296953354587	-0.07078535340198755
ANGLE|A|F5-C3-F6	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	3.915351286082114	1.1725184540551936	27.86100850015316	5.226211818111892	-0.008898049728237822	0.8293312372679864	0.01139145286613541	-0.006535290062281263	-0.0638961028714391	0.013590962053910971
ANGLE|A|F5-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	-10.598719683372337	5.494580938375293	-7.9199326766712375	56.31591315384554	0.002930062883535811	-0.15468244836308997	-0.021187908192970895	-0.057182046314459	9.109859036016132e-06	0.020493770328755545
ANGLE|A|F5-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	3.4757382690813188	-5.788004662157675	81.95722274140849	3.965436965842173	0.022311888914231304	-0.23318126558639563	-0.00903419359714519	-0.000504537573540631	0.10037061632758082	-0.06837838703432908
ANGLE|A|F6-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	3.2026105685503126	-4.709069580165703	-47.74410909326576	52.40180275621498	-0.0038536622996971914	-0.19513157055104813	0.004491769412638291	-0.061629278635869866	-0.038046557102546785	-0.030585246031620272
ANGLE|A|F6-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	1.4887823518989762	6.775152151909936	94.6474068969323	-29.509208151452526	-0.027205185470073445	-0.1931006753602773	0.010169760867988487	0.03351753347773467	-0.024915996880423563	0.023625154136084348
