observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	E_normalized__R_OG2P1-SG3O1	E_normalized__R_CG312-SG3O1	E_normalized__R_CG312-CG312	E_normalized__R_CG302-CG312	E_normalized__TH_OG2P1-SG3O1-OG2P1	E_normalized__TH_FGA2-CG312-FGA2	E_normalized__TH_CG312-CG312-SG3O1	E_normalized__TH_FGA3-CG302-FGA3	E_normalized__LAMBDA_CS	E_normalized__LAMBDA_CC
BOND|A|S1-O1	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.000348769083568235	0.00034201143591080287	0.00027902096547236004	0.0010975816924445846	0.00013306445009334775	0.0001746188881844602	5.851528208637382e-05	0.0003750511671651714	0.00028032423900774755	0.0001714106874907008
BOND|A|S1-O2	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.00012434861869565895	0.000573782315340203	0.0005526080895600544	0.00018434076368815274	0.00010580989331651113	0.00011656915125787321	0.000318408868799343	0.0003379067474119315	0.0002109561857488746	0.0006290269475238881
BOND|A|S1-O3	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.00023237421216456048	0.0006177216380342855	0.0002489859205683536	0.0008075942031986749	0.00011966950330467557	0.0003832026344399304	0.00034755232841939557	0.0001826547061280581	0.0002930450669305141	0.0008490282761984491
BOND|A|S1-C2	bond	bond	CG312-SG3O1	A	GEO_A	angstrom	0.2886751345948129	0.03	0.0003919333501723875	0.0005778264107313753	0.0006954097523466927	0.0006290891048116147	0.00022511273349483824	0.0003954501937549207	0.00013432522891858946	0.00010225902994980561	0.0009212007434046946	0.0005864964609295192
BOND|A|F1-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	8.014195350073162e-05	0.0004046934307420368	0.0004180210183577349	0.00023665244751238423	5.981725866493738e-05	0.00017051069076603543	0.00015682139985920474	0.00011556297979440994	0.00027905899690690983	8.148139225512012e-05
BOND|A|F2-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	0.00015661950782296316	8.805031049201215e-05	1.669993540805365e-05	0.00041078375570283864	2.2615503974951733e-05	9.770781425047911e-05	7.220983220909967e-05	2.1197683435554857e-05	0.0001687790517518204	0.00015189934224012574
BOND|A|F3-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	0.00022069148906826559	0.00013429056862652983	6.815080478959491e-05	8.693951308820214e-05	8.218875309968193e-05	0.00019827532572681592	0.0001310555849943411	0.00010122700690972568	9.624376528473006e-05	4.357628828509853e-05
BOND|A|F4-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	4.384290971606478e-05	0.0001226423104352354	0.0002141972827117196	0.00014071198554380264	0.00021874820250607452	0.0001684683761055502	1.645066032955465e-05	0.00020609298392617183	0.0002768687789556642	7.280911574983647e-05
BOND|A|F5-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	0.00022050381328858647	5.4682887525770395e-05	0.00016995117526138415	0.00021063145491499686	0.00013454512276706647	0.00031812423231738325	0.00023119061989830973	8.658001724384516e-05	7.009479439935353e-05	7.665123924561049e-05
BOND|A|F6-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	0.00047629823463152027	0.00018533114424649767	0.00010081232310256446	0.0002766450227832728	5.6713586963035756e-05	5.890511221796335e-05	0.00017262154149434467	6.31304272869315e-05	0.0002661795136965256	0.0001669499414277854
BOND|A|F7-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	0.00034286276530342354	0.00020871924078050543	0.00025841336065207546	0.0005662026067236749	6.900120770792458e-05	0.0001705455324606732	9.37545291838142e-05	0.00017741628266093915	0.0003353976439150908	0.0005244020724983365
