observable_id	kind	block	family	geometry	source_id	unit	row_weight	observable_scale	E_raw__R_OG2P1-SG3O1	E_raw__R_CG312-SG3O1	E_raw__R_CG312-CG312	E_raw__R_CG302-CG312	E_raw__TH_OG2P1-SG3O1-OG2P1	E_raw__TH_FGA2-CG312-FGA2	E_raw__TH_CG312-CG312-SG3O1	E_raw__TH_FGA3-CG302-FGA3	E_raw__LAMBDA_CS	E_raw__LAMBDA_CC
BOND|A|S1-O1	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.00627784350422823	0.0061562058463944525	0.005022377378502481	0.019756470464002522	4.7903202033605195e-06	6.286279974640568e-06	2.106550155109458e-06	1.3501842017946172e-05	0.00010091672604278913	6.17078474966523e-05
BOND|A|S1-O2	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.002238275136521861	0.010328081676123653	0.00994694561208098	0.0033181337463867493	3.8091561593944008e-06	4.196489445283436e-06	1.146271927677635e-05	1.2164642906829535e-05	7.594422686959486e-05	0.0002264497011085997
BOND|A|S1-O3	bond	bond	OG2P1-SG3O1	A	GEO_A	angstrom	0.16666666666666666	0.03	0.004182735818962089	0.011118989484617139	0.004481746570230365	0.01453669565757615	4.308102118968321e-06	1.3795294839837496e-05	1.2511883823098242e-05	6.575569420610092e-06	0.00010549622409498509	0.0003056501794314417
BOND|A|S1-C2	bond	bond	CG312-SG3O1	A	GEO_A	angstrom	0.2886751345948129	0.03	0.004073090854075556	0.006004948208051425	0.007226910138860171	0.006537685752130434	4.678880302125264e-06	8.219277929357751e-06	2.791897454703806e-06	2.1254140248692494e-06	0.00019146797898565815	0.00012190100025471146
BOND|A|F1-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	0.0020400810760045547	0.010301812890456334	0.010641077883333381	0.006024187815134413	3.0453976248456234e-06	8.680987130793557e-06	7.984042219843974e-06	5.883506400006089e-06	0.00014207364652607402	4.1483552402963855e-05
BOND|A|F2-C1	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	0.003986881777717804	0.0022413949788413806	0.0004251109526068345	0.01045684725331519	1.1513934878860578e-06	4.974469778262914e-06	3.6763244656845953e-06	1.0792098505963145e-06	8.592826465148215e-05	7.733451956815373e-05
BOND|A|F3-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	0.005617888144931787	0.0034184797821078	0.0017348362635615552	0.0022131186932780756	4.184368175091742e-06	1.009453157016502e-05	6.672261086054534e-06	5.153637817806086e-06	4.899932573742651e-05	2.2185424040639812e-05
BOND|A|F4-C2	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	0.001116058275618443	0.0031219635372890624	0.005452572640218803	0.003581942370200866	1.1136840290237766e-05	8.57700944349986e-06	8.375308901297725e-07	1.049254174721997e-05	0.00014095856959084037	3.706835002481205e-05
BOND|A|F5-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	0.005613110699538666	0.0013919990610360064	0.004326250625926133	0.005361801483656982	6.849919345260185e-06	1.6196241739059816e-05	1.1770304765530779e-05	4.407934846202721e-06	3.568644320087499e-05	3.9024439960984986e-05
BOND|A|F6-C3	bond	bond	CG312-FGA2	A	GEO_A	angstrom	0.11785113019775793	0.03	0.012124573616704652	0.004717760719023385	0.0025662627825477325	0.007042232577296127	2.88738445874224e-06	2.998958709303103e-06	8.78845410500588e-06	3.2140766328331338e-06	0.00013551648418638052	8.499703370564445e-05
BOND|A|F7-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	0.006171529775461624	0.003756946334049098	0.004651440491737358	0.01019164692102615	2.484043477485285e-06	6.139639168584236e-06	3.3751630506173116e-06	6.38698617579381e-06	0.00012074315180943269	0.00018878474609940115
BOND|A|F8-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	0.006235245038928182	0.0032416782993218577	0.004794037264806173	0.00991360918820167	1.3249431515956136e-05	1.7981005624807677e-05	3.580815125277155e-06	7.2339783645254175e-06	0.0002123706477192005	6.164464361471428e-05
BOND|A|F9-C4	bond	bond	CG302-FGA3	A	GEO_A	angstrom	0.16666666666666666	0.03	0.006486690273122292	0.0033911110846388485	0.0023787841891056323	0.0021710515765496117	6.281795203766562e-06	1.8184750230388055e-05	2.5223135586619103e-06	8.224443134230919e-06	3.624081976028504e-05	0.00021354858904710063
BOND|A|C1-C2	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	0.009709969294562108	0.0047044749046971516	0.005154260325826064	0.0200934804107694	2.491033861363041e-05	1.2009808994910275e-05	4.752873320527767e-06	1.8974942160747265e-05	5.400299818222169e-05	0.0001614265585526355
BOND|A|C1-C3	bond	bond	CG312-CG312	A	GEO_A	angstrom	0.20412414523193154	0.03	0.00878263396318145	0.004228595127701142	0.0008085593401306438	0.0006114958219040451	2.758260453798175e-06	4.144239929208289e-06	4.730783822219015e-06	1.3812219647117236e-05	0.0001022095725341068	8.135462434018046e-05
BOND|A|C3-C4	bond	bond	CG302-CG312	A	GEO_A	angstrom	0.2886751345948129	0.03	0.005354369165928235	0.009799133344530107	0.01724929948309747	0.008722770453770583	3.487947816178493e-06	2.9407111465327016e-06	1.6062931218983855e-06	1.5100554464404677e-05	1.725708636647874e-05	0.00010540839140861655
ANGLE|A|S1-C2-F3	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	0.8063456015257516	0.9224064603145015	0.06792901577121531	1.7304823614091704	0.00021093341866393212	0.0012154549613859653	0.00035295419915956953	0.000908312594557824	0.0018901766862114487	0.0208969448985523
ANGLE|A|S1-C2-F4	angle	angle	FGA2-CG312-SG3O1	A	GEO_A	degree	0.15075567228888181	3.0	0.5110513444313785	2.2326914696945845	0.7259489168815949	1.7767586052779252	0.00048168955043215075	0.0008267709277103326	0.0020076483932045274	0.0003543948127025818	0.023599022344072303	0.015898872914031758
ANGLE|A|S1-C2-C1	angle	angle	CG312-CG312-SG3O1	A	GEO_A	degree	0.21320071635561041	3.0	0.7059531789434508	1.5071387540504324	0.7563215028808937	1.7159703268862458	0.0016167200180516436	0.0004744189889443662	0.004089638112492926	0.0024816617402108215	0.03927310181552269	0.046464017054277315
ANGLE|A|F1-C1-F2	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.4562646160392063	0.24685260785640503	0.4937342259218923	1.44032935814951	0.001064505388783988	0.0003517125208402198	0.0005771350006316898	0.0006090103820128154	0.02694203984355411	0.007370361759776664
ANGLE|A|F1-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.6709054704416934	0.8763979660095247	1.3357152247002928	0.16318801863680127	0.002259337270022342	0.0004788269989944479	0.001098123914695954	0.0009737307402888255	0.018876968747146318	0.00958435409750757
ANGLE|A|F1-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.8725752802010109	0.46211959095428634	1.6275751807523557	0.8840238590962657	0.0009395775704823691	0.0018237274636590912	0.00136097326510137	0.0006842338067484052	0.030185185026720206	0.02496952116882214
ANGLE|A|F2-C1-C2	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.8570401245994449	0.9792916703439021	1.2496710265519857	0.6160586263743963	0.0005198633077453782	0.0003760188931913785	0.0017622051471665164	0.0005595251364145483	0.016081672405705832	0.018015054974036465
ANGLE|A|F2-C1-C3	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	1.4658512110045878	1.1814140984342665	0.26992607688240344	1.592859938247336	0.0006230555065745419	0.0010697900788419357	4.906920269825952e-05	0.0019538076418188196	0.0010466126721315019	0.010741296165131661
ANGLE|A|F3-C2-F4	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.21685780478300148	0.8217664991446023	0.8744800532403744	0.2120912504232486	0.0013336262882790231	0.00021958744397426359	0.0016519340292960852	0.0004893200710708517	0.02790103479730507	0.014572966636203149
ANGLE|A|F3-C2-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	1.5792071605755753	0.6521588866674833	1.20507190268137	4.485838122161408	0.0038427176083731954	0.0007169695734668892	0.0024575400724148925	0.0041996796930404805	0.039391789101545734	0.01463991063882935
ANGLE|A|F4-C2-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	1.2063650827927732	1.3125406692172357	2.1516800642511322	3.0159514933357454	0.0006732834065060426	0.0007009227652259365	0.00121512257212443	0.0022055804485824294	0.007243593847212652	0.024494480858921718
ANGLE|A|F5-C3-F6	angle	angle	FGA2-CG312-FGA2	A	GEO_A	degree	0.12309149097933272	3.0	0.3082469325211431	0.6176877461027235	0.5126810517505245	1.5730718492572007	0.0009946490008534063	0.0021058722397755713	0.0005135048452145823	0.00039987664858411563	0.01779371781458275	0.018188055921551243
ANGLE|A|F5-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	2.258099809691021	1.2224078766842237	1.7021822776376807	0.9916969637454613	0.0017445261652386098	0.0007280775820019441	0.0002563486322389512	0.00454975653355284	0.0362072083901926	0.0057787631816522194
ANGLE|A|F5-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	0.6073639715637643	0.8658525973026566	1.1598268369252285	0.700438173052335	0.001428040715588927	0.005230467177044983	0.001645981079741514	0.0020807726147703464	0.009051917544357361	0.07511132510307234
ANGLE|A|F6-C3-C1	angle	angle	CG312-CG312-FGA2	A	GEO_A	degree	0.07537783614444091	3.0	0.9416682533299647	1.105268535053664	1.7731580719390958	1.5024842784388894	0.00226811977500691	0.004634363634272526	0.00013188227349737096	0.002605141993348284	0.04407889471052202	0.05212202211191304
ANGLE|A|F6-C3-C4	angle	angle	CG302-CG312-FGA2	A	GEO_A	degree	0.15075567228888181	3.0	0.5505960203894137	2.353911926947404	1.7243978987343274	1.213996429395065	0.00017558698622665685	0.00157573105067443	0.0018010558004191164	0.0014386792842294308	0.02695973848083022	0.019939484555028805
ANGLE|A|F7-C4-F8	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	1.2320491889386591	0.6363093837172453	0.8234956733749528	0.21768189640150465	0.00025162605847048417	0.001048515637401911	0.0005376240104423696	0.00035153199601747225	0.006268019086038503	0.015706847865657094
ANGLE|A|F7-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	1.40503448814436	1.4493629095446192	0.9221862997406081	0.5725063901660247	0.00024301416457960271	0.0007758495331238716	0.00018679387991140197	0.0013010828620123277	0.005644758905260192	0.01625181698851454
ANGLE|A|F7-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	2.2777273150554644	0.36943601205001764	0.6643076840506443	3.596806500902634	0.0010232606185269237	0.0013073074294529348	0.0011356719545296092	0.0033056775514151613	0.008328347168964354	0.05994678905155253
ANGLE|A|F8-C4-F9	angle	angle	FGA3-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	1.6642760962626275	1.2673375872465655	0.7000591085137196	0.29811077237454675	0.0009202724301303028	0.0007592011124365438	0.001307845087781222	0.0002292322431843343	0.008188935533458449	0.008293933440053825
ANGLE|A|F8-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	0.5833277322628182	0.281729178882358	1.377813397428586	5.215794434275596	0.0011965605116022971	0.0018794616594102185	0.001427546437235092	0.004640963839808199	0.024072471700334375	0.01785868231160716
ANGLE|A|F9-C4-C3	angle	angle	CG312-CG302-FGA3	A	GEO_A	degree	0.12309149097933272	3.0	1.98428000177517	0.2357364735591816	1.4403000209426653	2.03845070509186	0.0013770638890139542	0.003567715204763804	0.0030072415110889	0.001984887931662586	0.02105090632000181	0.06626619780319191
ANGLE|A|O1-S1-O2	angle	angle	OG2P1-SG3O1-OG2P1	A	GEO_A	degree	0.12309149097933272	3.0	0.3697486351214787	0.5221980329803037	0.6599818621896967	2.552240995479421	0.0005546095992902589	0.00022695554400828963	0.0004806876075789969	0.0004121022502612119	0.005837903614873699	0.015182228295085346
