state_key	source_id	observable_id	kind	block	family	unit	raw_value	raw_input_numeric_strings	serialized_input_sha256	source_geometry_sha256	row_weight	observable_scale
primary__BASE	GEO_A	BOND|A|S1-O1	bond	bond	OG2P1-SG3O1	angstrom	1.4516320436507166	S1:4.792282305,4.931558820,4.970037174;O1:4.876091793,4.817237275,4.938749637	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.16666666666666666	0.03
primary__BASE	GEO_A	BOND|A|S1-O2	bond	bond	OG2P1-SG3O1	angstrom	1.4534764476825717	S1:4.792282305,4.931558820,4.970037174;O2:4.677345998,4.895003479,5.051149998	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.16666666666666666	0.03
primary__BASE	GEO_A	BOND|A|S1-O3	bond	bond	OG2P1-SG3O1	angstrom	1.4522645127362459	S1:4.792282305,4.931558820,4.970037174;O3:4.755620409,5.008395423,4.852381898	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.16666666666666666	0.03
primary__BASE	GEO_A	BOND|A|S1-C2	bond	bond	CG312-SG3O1	angstrom	1.7692492787801744	S1:4.792282305,4.931558820,4.970037174;C2:4.891065922,5.037653790,5.071467369	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.2886751345948129	0.03
primary__BASE	GEO_A	BOND|A|F1-C1	bond	bond	CG312-FGA2	angstrom	1.365587597912197	F1:4.951565638,5.189398808,4.903435252;C1:5.001652755,5.103754337,4.997268083	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.11785113019775793	0.03
primary__BASE	GEO_A	BOND|A|F2-C1	bond	bond	CG312-FGA2	angstrom	1.3682676253270867	F2:5.059472725,5.190289736,5.086093973;C1:5.001652755,5.103754337,4.997268083	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.11785113019775793	0.03
primary__BASE	GEO_A	BOND|A|F3-C2	bond	bond	CG312-FGA2	angstrom	1.3515215662007083	F3:4.932902299,4.968268912,5.179641126;C2:4.891065922,5.037653790,5.071467369	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.11785113019775793	0.03
primary__BASE	GEO_A	BOND|A|F4-C2	bond	bond	CG312-FGA2	angstrom	1.3566432294320676	F4:4.808362757,5.130693615,5.125398677;C2:4.891065922,5.037653790,5.071467369	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.11785113019775793	0.03
primary__BASE	GEO_A	BOND|A|F5-C3	bond	bond	CG312-FGA2	angstrom	1.3600709072753949	F5:5.073761636,4.954207488,4.821946484;C3:5.113831672,5.023631296,4.931822122	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.11785113019775793	0.03
primary__BASE	GEO_A	BOND|A|F6-C3	bond	bond	CG312-FGA2	angstrom	1.3679640484176525	F6:5.203089277,5.112317152,4.878145728;C3:5.113831672,5.023631296,4.931822122	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.11785113019775793	0.03
primary__BASE	GEO_A	BOND|A|F7-C4	bond	bond	CG302-FGA3	angstrom	1.3466085529198728	F7:5.127623070,4.826646576,5.071308900;C4:5.192074191,4.934523524,5.022913001	fbd6dc7a9ba67d49effda9c5a574c9e1576d2ae8ff32508192c53ccf064af681	bf6d3b621559c8a9eab217fdb97f1679c9dff8be0a8702542092e3f650516442	0.16666666666666666	0.03
