observable_id	kind	family	variable_id	J_h_raw	J_2h_raw	J_h_tight_raw	endpoint_rounding_raw	binary_arithmetic_bound_raw	uncertainty_envelope_raw	J_h_normalized	J_2h_normalized	J_h_tight_normalized	uncertainty_envelope_normalized	step_disagreement_normalized	convergence_disagreement_normalized
BOND|A|S1-O1	bond	OG2P1-SG3O1	R_OG2P1-SG3O1	8.591266053276202	8.586579177534304	8.589735707328238	6.0621814365845566e-05	1.213385818642916e-11	0.00627784350422823	0.4772925585153445	0.47703217652968355	0.4772075392960132	0.000348769083568235	0.0002603819856609735	8.501921933135037e-05
BOND|A|S1-O1	bond	OG2P1-SG3O1	R_CG312-SG3O1	-0.026949775598583692	-0.02947299258920788	-0.030522142639988203	6.062181436575211e-05	1.2133834819871051e-11	0.0061562058463944525	-0.0014972097554768716	-0.0016373884771782154	-0.0016956745911104556	0.00034201143591080287	0.00014017872170134379	0.000198464835633584
BOND|A|S1-O1	bond	OG2P1-SG3O1	R_CG312-CG312	-0.024846550938151246	-0.02190235351079428	-0.022828992801371406	6.062181436567609e-05	1.2133815818201838e-11	0.005022377378502481	-0.0013803639410084024	-0.0012167974172663488	-0.001268277377853967	0.00027902096547236004	0.0001635665237420536	0.00011208656315443537
BOND|A|S1-O1	bond	OG2P1-SG3O1	R_CG302-CG312	0.017960079584988797	0.005937261636723701	0.01028704888361709	6.06218143657178e-05	1.2133826242861678e-11	0.019756470464002522	0.0009977821991660443	0.00032984786870687225	0.000571502715756505	0.0010975816924445846	0.0006679343304591721	0.0004262794834095394
BOND|A|S1-O1	bond	OG2P1-SG3O1	TH_OG2P1-SG3O1-OG2P1	-0.000669894420609829	-0.0006680648238060471	-0.0006669943190246164	6.062181436612299e-08	1.2133927540023528e-14	4.7903202033605195e-06	-0.018608178350273025	-0.01855735621683464	-0.018527619972906008	0.00013306445009334775	5.082213343838432e-05	8.055837736701751e-05
BOND|A|S1-O1	bond	OG2P1-SG3O1	TH_FGA2-CG312-FGA2	1.2420105789501257e-05	1.4947046213353854e-05	1.611882352592353e-05	6.06218143656963e-08	1.2133820869815974e-14	6.286279974640568e-06	0.0003450029385972571	0.0004151957281487181	0.00044774509794232026	0.0001746188881844602	7.0192789551461e-05	0.00010274215934506315
BOND|A|S1-O1	bond	OG2P1-SG3O1	TH_CG312-CG312-SG3O1	8.280629111290239e-06	9.181746287167947e-06	7.135817946424261e-06	6.062181436577218e-08	1.2133839838094042e-14	2.106550155109458e-06	0.0002300174753136177	0.0002550485079768874	0.00019821716517845166	5.851528208637382e-05	2.5031032663269697e-05	3.180031013516604e-05
BOND|A|S1-O1	bond	OG2P1-SG3O1	TH_FGA3-CG302-FGA3	-1.894340365127256e-05	-1.0852574917008528e-05	-1.3593012181956077e-05	6.062181436565475e-08	1.2133810481531144e-14	1.3501842017946172e-05	-0.0005262056569797933	-0.000301460414361348	-0.0003775836717210021	0.0003750511671651714	0.00022474524261844534	0.00014862198525879126
BOND|A|S1-O1	bond	OG2P1-SG3O1	LAMBDA_CS	-0.00040662081079334556	-0.0003738751013337982	-0.0003396622304974173	1.2124362873134982e-06	2.4267631042202226e-13	0.00010091672604278913	-0.0011295022522037376	-0.0010385419481494394	-0.0009435061958261591	0.00028032423900774755	9.096030405429819e-05	0.0001859960563775785
BOND|A|S1-O1	bond	OG2P1-SG3O1	LAMBDA_CC	-1.8603770408631704e-05	4.45393541603778e-06	1.8833934976036915e-05	1.21243628731419e-06	2.4267648336858537e-13	6.17078474966523e-05	-5.167714002397695e-05	1.2372042822327166e-05	5.231648604454698e-05	0.0001714106874907008	6.404918284630412e-05	0.00010399362606852393
BOND|A|S1-O2	bond	OG2P1-SG3O1	R_OG2P1-SG3O1	8.577394648112913	8.57572598977896	8.576885653124755	6.062181441113254e-05	1.2145179928472679e-11	0.002238275136521861	0.47652192489516176	0.4764292216543866	0.4764936473958197	0.00012434861869565895	9.270324077514935e-05	2.8277499342088674e-05
BOND|A|S1-O2	bond	OG2P1-SG3O1	R_CG312-SG3O1	-0.0706242144947744	-0.06761255959436552	-0.06336840953347078	6.062181441113995e-05	1.2145181780538038e-11	0.010328081676123653	-0.003923567471931911	-0.003756253310798084	-0.003520467196303932	0.000573782315340203	0.0001673141611338272	0.0004031002756279792
BOND|A|S1-O2	bond	OG2P1-SG3O1	R_CG312-CG312	-0.003996359271951633	-0.010545455504440415	-0.0073335868371326995	6.062181441113156e-05	1.2145179684180391e-11	0.00994694561208098	-0.00022201995955286848	-0.0005858586391355786	-0.0004074214909518166	0.0005526080895600544	0.00036383867958271016	0.00018540153139894814
BOND|A|S1-O2	bond	OG2P1-SG3O1	R_CG302-CG312	-0.003896877128983789	-0.005265027349654616	-0.0057862388402885045	6.062181441120635e-05	1.2145198379794005e-11	0.0033181337463867493	-0.00021649317383243272	-0.00029250151942525647	-0.00032145771334936133	0.00018434076368815274	7.600834559282375e-05	0.00010496453951692862
BOND|A|S1-O2	bond	OG2P1-SG3O1	TH_OG2P1-SG3O1-OG2P1	-0.0005624464482092417	-0.0005650196060784096	-0.0005636218246850566	6.062181441161047e-08	1.2145299411753158e-14	3.8091561593944008e-06	-0.015623512450256713	-0.0156949890577336	-0.015656161796807126	0.00010580989331651113	7.147660747688564e-05	3.2649346550412545e-05
BOND|A|S1-O2	bond	OG2P1-SG3O1	TH_FGA2-CG312-FGA2	3.6374832483421216e-05	4.033698075306402e-05	3.654855184465067e-05	6.062181441117717e-08	1.2145191086142581e-14	4.196489445283436e-06	0.001010412013428367	0.0011204716875851115	0.0010152375512402962	0.00011656915125787321	0.00011005967415674456	4.825537811929291e-06
BOND|A|S1-O2	bond	OG2P1-SG3O1	TH_CG312-CG312-SG3O1	-3.351573738985536e-06	-1.0381541772963576e-05	-7.723703167372697e-06	6.062181441114867e-08	1.2145183959341907e-14	1.146271927677635e-05	-9.3099270527376e-05	-0.0002883761603600993	-0.00021454731020479714	0.000318408868799343	0.0001952768898327233	0.00012144803967742115
BOND|A|S1-O2	bond	OG2P1-SG3O1	TH_FGA3-CG302-FGA3	2.1969950816713713e-05	1.4798331283705224e-05	1.703754925730383e-05	6.062181441116455e-08	1.2145187930722596e-14	1.2164642906829535e-05	0.0006102764115753809	0.00041106475788070063	0.00047326525714732855	0.0003379067474119315	0.00019921165369468023	0.0001370111544280523
BOND|A|S1-O2	bond	OG2P1-SG3O1	LAMBDA_CS	2.628396795989474e-05	9.139914499800561e-05	1.6667354416632918e-05	1.2124362882221742e-06	2.4290347937892265e-13	7.594422686959486e-05	7.301102211081872e-05	0.0002538865138833489	4.6298206712869217e-05	0.0002109561857488746	0.0001808754917725302	2.6712815397949503e-05
BOND|A|S1-O2	bond	OG2P1-SG3O1	LAMBDA_CC	-9.317080938542333e-05	2.5249429175255855e-05	1.3646216874274586e-05	1.2124362882226216e-06	2.4290359130438853e-13	0.0002264497011085997	-0.0002588078038483981	7.01373032645996e-05	3.7906157984096074e-05	0.0006290269475238881	0.0003289451071129977	0.0002967139618324942
BOND|A|S1-O3	bond	OG2P1-SG3O1	R_OG2P1-SG3O1	8.57291993229825	8.575806391059038	8.574155587542043	6.062181438146543e-05	1.2137763150836261e-11	0.004182735818962089	0.476273329572125	0.4764336883921687	0.476341977085669	0.00023237421216456048	0.0001603588200437267	6.864751354401788e-05
BOND|A|S1-O3	bond	OG2P1-SG3O1	R_CG312-SG3O1	-0.04100930095729538	-0.04683334919741711	-0.04624362038740948	6.062181438131393e-05	1.2137725276889044e-11	0.011118989484617139	-0.002278294497627521	-0.002601852733189839	-0.002569090021522749	0.0006177216380342855	0.0003235582355623182	0.0002907955238952279
BOND|A|S1-O3	bond	OG2P1-SG3O1	R_CG312-CG312	-0.0069643852784739835	-0.00475015299139514	-0.009171277747244133	6.062181438137138e-05	1.2137739640352769e-11	0.004481746570230365	-0.00038691029324855464	-0.0002638973884108411	-0.0005095154304024518	0.0002489859205683536	0.00012301290483771353	0.0001226051371538972
BOND|A|S1-O3	bond	OG2P1-SG3O1	R_CG302-CG312	-0.01205084553534963	-0.005621636437025401	-0.004003980790479034	6.062181438132448e-05	1.2137727915633492e-11	0.01453669565757615	-0.000669491418630535	-0.00031231313539030003	-0.00022244337724883518	0.0008075942031986749	0.00035717828324023496	0.00044704804138169984
BOND|A|S1-O3	bond	OG2P1-SG3O1	TH_OG2P1-SG3O1-OG2P1	-0.0006321926433217051	-0.0006293396880845403	-0.000633587168389127	6.062181438166172e-08	1.213781222055632e-14	4.308102118968321e-06	-0.017560906758936252	-0.01748165800234834	-0.017599643566364637	0.00011966950330467557	7.924875658791089e-05	3.873680742838559e-05
BOND|A|S1-O3	bond	OG2P1-SG3O1	TH_FGA2-CG312-FGA2	3.216107510162214e-05	2.4676380864119274e-05	2.5911096313668835e-05	6.06218143813278e-08	1.2137728745429642e-14	1.3795294839837496e-05	0.0008933631972672815	0.0006854550240033131	0.0007197526753796898	0.0003832026344399304	0.00020790817326396841	0.00017361052188759167
BOND|A|S1-O3	bond	OG2P1-SG3O1	TH_CG312-CG312-SG3O1	-1.697480579099242e-05	-1.0169431806483775e-05	-1.132891776678413e-05	6.062181438130695e-08	1.2137723532800744e-14	1.2511883823098242e-05	-0.0004715223830831227	-0.0002824842168467715	-0.00031469216018844805	0.00034755232841939557	0.00018903816623635122	0.00015683022289467467
BOND|A|S1-O3	bond	OG2P1-SG3O1	TH_FGA3-CG302-FGA3	1.2520799323123555e-05	8.405405764688734e-06	1.0121245275329649e-05	6.062181438136548e-08	1.213773816664399e-14	6.575569420610092e-06	0.0003477999811978765	0.00023348349346357592	0.0002811457020924902	0.0001826547061280581	0.00011431648773430059	6.66542791053863e-05
BOND|A|S1-O3	bond	OG2P1-SG3O1	LAMBDA_CS	2.3509841045044055e-05	-2.888350274066198e-05	-2.8380602976607605e-05	1.2124362876273923e-06	2.4275478394007767e-13	0.00010549622409498509	6.530511401401126e-05	-8.023195205739439e-05	-7.883500826835445e-05	0.0002930450669305141	0.00014553706607140564	0.00014414012228236572
BOND|A|S1-O3	bond	OG2P1-SG3O1	LAMBDA_CC	0.00013384026110729863	-3.30411949200915e-05	-3.7160260091262387e-06	1.2124362876266702e-06	2.427546034298582e-13	0.0003056501794314417	0.0003717785030758295	-9.178109700025416e-05	-1.0322294469795108e-05	0.0008490282761984491	0.00046355960007608366	0.0003821007975456246
BOND|A|S1-C2	bond	CG312-SG3O1	R_OG2P1-SG3O1	-0.4077415293621822	-0.4113125810194518	-0.40818294673672373	6.0621822264483296e-05	1.4108517616964535e-11	0.004073090854075556	-0.03923494695617427	-0.039578571562110046	-0.03927742236284369	0.0003919333501723875	0.0003436246059357745	4.247540666942051e-05
BOND|A|S1-C2	bond	CG312-SG3O1	R_CG312-SG3O1	7.151357155979254	7.156390342034191	7.150446015648404	6.0621822264189274e-05	1.4108444112429312e-11	0.006004948208051425	0.6881396631792966	0.6886239817332465	0.6880519886600823	0.0005778264107313753	0.00048431855394981405	8.767451921432023e-05
