variable_id	parameter_class	base	unit	parameter_normalization_scale	full_supported_rank	full_variable_null_projection	sqrt_C_supported_if_resolved	R_step	R_conv	full_signal_at_or_below_uncertainty	all_source_local_domain_gate_pass	relevant_block	relevant_block_signal_norm	relevant_block_noise_norm	evidence_bucket_not_final_verdict
R_OG2P1-SG3O1	BOND_EQUILIBRIUM	0.1448	nm	0.01	9	0.004620848264497678		0.003330217839974764	0.003137321677258237	False	True	GEOMETRY_ONLY_92	1.1757589879780712	0.007540049157295224	GROUP_OR_FREEZE_REVIEW_NULL_DIRECTION
R_CG312-SG3O1	BOND_EQUILIBRIUM	0.1807	nm	0.01	9	0.013449485630511055		0.00582897703438442	0.00506981942678364	False	True	GEOMETRY_ONLY_92	0.9867571979224584	0.01183304309103664	GROUP_OR_FREEZE_REVIEW_NULL_DIRECTION
R_CG312-CG312	BOND_EQUILIBRIUM	0.14563	nm	0.01	9	0.03187557457364874		0.006291808301250551	0.003730340033824158	False	True	GEOMETRY_ONLY_92	1.1577220595998605	0.0141448723522179	GROUP_OR_FREEZE_REVIEW_NULL_DIRECTION
R_CG302-CG312	BOND_EQUILIBRIUM	0.14563	nm	0.01	9	0.01260007417700147		0.003985954133267915	0.0033108832863427452	False	True	GEOMETRY_ONLY_92	1.2396571334356745	0.008911806817918762	GROUP_OR_FREEZE_REVIEW_NULL_DIRECTION
TH_OG2P1-SG3O1-OG2P1	ANGLE_EQUILIBRIUM	109.47	degree	5.0	9	0.024821951702541263		0.003674384414320677	0.0034220362086502644	False	True	GEOMETRY_ONLY_92	0.39401066717681976	0.004120091411569852	GROUP_OR_FREEZE_REVIEW_NULL_DIRECTION
TH_FGA2-CG312-FGA2	ANGLE_EQUILIBRIUM	107.0	degree	5.0	9	0.053556255754365345		0.0026645324313362994	0.0029696058359272946	False	True	GEOMETRY_ONLY_92	0.4619062563639471	0.006460739363899344	GROUP_OR_FREEZE_REVIEW_NULL_DIRECTION
TH_CG312-CG312-SG3O1	ANGLE_EQUILIBRIUM	122.0	degree	5.0	9	0.25496668761536767		0.00788894942707697	0.006608466087815552	False	True	GEOMETRY_ONLY_92	0.1911590480957386	0.005319181664152504	GROUP_OR_FREEZE_REVIEW_NULL_DIRECTION
TH_FGA3-CG302-FGA3	ANGLE_EQUILIBRIUM	107.0	degree	5.0	9	0.045974981416027		0.00633833453669445	0.006941140320252683	False	True	GEOMETRY_ONLY_92	0.4226312590012883	0.005862840263723389	GROUP_OR_FREEZE_REVIEW_NULL_DIRECTION
LAMBDA_CS	GROUPED_TORSION_DIAGNOSTIC_ONLY	1.0	dimensionless	0.5	9	0.028570542772814997		0.005619717992613234	0.007234440545773844	False	True	PES_ONLY_25	0.8382402441565469	0.0002536681481488711	CONDITIONAL_AFTER_HESSIAN_BY_PREREG_POLICY
LAMBDA_CC	GROUPED_TORSION_DIAGNOSTIC_ONLY	1.0	dimensionless	0.5	9	0.9629125383611354		0.02730571454126268	0.025317971347924993	False	True	PES_ONLY_25	0.13837005576965702	0.00016558366006849372	CONDITIONAL_AFTER_HESSIAN_BY_PREREG_POLICY
