term_id	atom_types	atom_id_instances	atom_name_instances	instance_count	shared_instances	penalty	source_file	source_line	source_sha256	source_values_exact	phase_deg	amplitude_kJ_mol	multiplicity	amplitude_status	phase_status	multiplicity_status	proposed_status	rationale
FGA2-CG312-SG3O1-OG2P1:n3	FGA2-CG312-SG3O1-OG2P1	11-1-15-4;11-1-15-5;12-1-15-4;12-1-15-5;13-1-15-4;13-1-15-5	O1-S1-C2-F3;O1-S1-C2-F4;O2-S1-C2-F3;O2-S1-C2-F4;O3-S1-C2-F3;O3-S1-C2-F4	6	True	98	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	35	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	0.000000 0.962320 3	0.000000	0.962320	3	CANDIDATE_TO_RELEASE	FROZEN	FROZEN	CANDIDATE_TO_RELEASE	Fit only identifiable grouped axis amplitudes; shared 14-16 terms need conditional independent chain targets. Tail starts frozen; zero amplitudes frozen.
CG312-CG312-SG3O1-OG2P1:n3	CG312-CG312-SG3O1-OG2P1	11-1-15-14;12-1-15-14;13-1-15-14	O1-S1-C2-C1;O2-S1-C2-C1;O3-S1-C2-C1	3	True	67	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	34	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	0.000000 0.962320 3	0.000000	0.962320	3	CANDIDATE_TO_RELEASE	FROZEN	FROZEN	CANDIDATE_TO_RELEASE	Fit only identifiable grouped axis amplitudes; shared 14-16 terms need conditional independent chain targets. Tail starts frozen; zero amplitudes frozen.
FGA2-CG312-CG312-SG3O1:n1	FGA2-CG312-CG312-SG3O1	2-14-15-1;3-14-15-1	F1-C1-C2-S1;F2-C1-C2-S1	2	True	117	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	32	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	180.000000 4.853440 1	180.000000	4.853440	1	CANDIDATE_TO_RELEASE	FROZEN	FROZEN	CANDIDATE_TO_RELEASE	Fit only identifiable grouped axis amplitudes; shared 14-16 terms need conditional independent chain targets. Tail starts frozen; zero amplitudes frozen.
FGA2-CG312-CG312-FGA2:n3	FGA2-CG312-CG312-FGA2	2-14-15-4;2-14-15-5;3-14-15-4;3-14-15-5;2-14-16-6;2-14-16-7;3-14-16-6;3-14-16-7	F1-C1-C2-F3;F1-C1-C2-F4;F2-C1-C2-F3;F2-C1-C2-F4;F1-C1-C3-F5;F1-C1-C3-F6;F2-C1-C3-F5;F2-C1-C3-F6	8	True	NOT_EMITTED	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\source_readonly_cache\ffbonded.itp	32988	cda750df0be35f862599f276f667be608b266a7a0aee085d2f623e82796403cf	0.000000 1.840960 3	0.000000	1.840960	3	CONDITIONAL	FROZEN	FROZEN	CONDITIONAL	Fit only identifiable grouped axis amplitudes; shared 14-16 terms need conditional independent chain targets. Tail starts frozen; zero amplitudes frozen.
CG312-CG312-CG312-SG3O1:n1	CG312-CG312-CG312-SG3O1	16-14-15-1	C3-C1-C2-S1	1	False	122.9	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	27	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	180.000000 3.932960 1	180.000000	3.932960	1	CANDIDATE_TO_RELEASE	FROZEN	FROZEN	CANDIDATE_TO_RELEASE	Fit only identifiable grouped axis amplitudes; shared 14-16 terms need conditional independent chain targets. Tail starts frozen; zero amplitudes frozen.
CG312-CG312-CG312-SG3O1:n2	CG312-CG312-CG312-SG3O1	16-14-15-1	C3-C1-C2-S1	1	False	122.9	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	28	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	0.000000 1.589920 2	0.000000	1.589920	2	CANDIDATE_TO_RELEASE	FROZEN	FROZEN	CANDIDATE_TO_RELEASE	Fit only identifiable grouped axis amplitudes; shared 14-16 terms need conditional independent chain targets. Tail starts frozen; zero amplitudes frozen.
CG312-CG312-CG312-SG3O1:n3	CG312-CG312-CG312-SG3O1	16-14-15-1	C3-C1-C2-S1	1	False	122.9	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	29	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	0.000000 0.460240 3	0.000000	0.460240	3	CANDIDATE_TO_RELEASE	FROZEN	FROZEN	CANDIDATE_TO_RELEASE	Fit only identifiable grouped axis amplitudes; shared 14-16 terms need conditional independent chain targets. Tail starts frozen; zero amplitudes frozen.
CG312-CG312-CG312-FGA2:n1	CG312-CG312-CG312-FGA2	16-14-15-4;16-14-15-5;15-14-16-6;15-14-16-7	C3-C1-C2-F3;C3-C1-C2-F4;C2-C1-C3-F5;C2-C1-C3-F6	4	True	16	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	30	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	180.000000 4.853440 1	180.000000	4.853440	1	CONDITIONAL	FROZEN	FROZEN	CONDITIONAL	Fit only identifiable grouped axis amplitudes; shared 14-16 terms need conditional independent chain targets. Tail starts frozen; zero amplitudes frozen.
CG302-CG312-CG312-FGA2:n1	CG302-CG312-CG312-FGA2	2-14-16-17;3-14-16-17	F1-C1-C3-C4;F2-C1-C3-C4	2	True	16	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	25	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	180.000000 4.853440 1	180.000000	4.853440	1	FROZEN	FROZEN	FROZEN	FROZEN	Fit only identifiable grouped axis amplitudes; shared 14-16 terms need conditional independent chain targets. Tail starts frozen; zero amplitudes frozen.
CG302-CG312-CG312-CG312:n3	CG302-CG312-CG312-CG312	15-14-16-17	C2-C1-C3-C4	1	False	28	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	0.000000 5.983120 3	0.000000	5.983120	3	FROZEN	FROZEN	FROZEN	FROZEN	Fit only identifiable grouped axis amplitudes; shared 14-16 terms need conditional independent chain targets. Tail starts frozen; zero amplitudes frozen.
