term_id	atom_types	atom_id_instances	atom_name_instances	instance_count	shared_instances	penalty	source_file	source_line	source_sha256	source_values_exact	r13_nm	kUB_kJ_mol_nm2	proposed_status	rationale
OG2P1-SG3O1-OG2P1	OG2P1-SG3O1-OG2P1	11-1-12;11-1-13;12-1-13	O1-S1-O2;O1-S1-O3;O2-S1-O3	3	True	NOT_EMITTED	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\source_readonly_cache\ffbonded.itp	9645	cda750df0be35f862599f276f667be608b266a7a0aee085d2f623e82796403cf	109.470000 1087.840000 0.24500000 29288.00	0.24500000	29288.00	CONDITIONAL	Existing nonzero UB frozen initially; identifiable conditional release only after reduced angle model audit. Zero UB stays zero.
CG312-SG3O1-OG2P1	CG312-SG3O1-OG2P1	11-1-15;12-1-15;13-1-15	O1-S1-C2;O2-S1-C2;O3-S1-C2	3	True	12	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	16	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	99.000000 669.440000 0.00000000 0.00	0.00000000	0.00	FROZEN	Existing nonzero UB frozen initially; identifiable conditional release only after reduced angle model audit. Zero UB stays zero.
FGA2-CG312-FGA2	FGA2-CG312-FGA2	2-14-3;4-15-5;6-16-7	F1-C1-F2;F3-C2-F4;F5-C3-F6	3	True	NOT_EMITTED	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\source_readonly_cache\ffbonded.itp	6151	cda750df0be35f862599f276f667be608b266a7a0aee085d2f623e82796403cf	107.000000 1255.200000 0.21700000 8368.00	0.21700000	8368.00	CONDITIONAL	Existing nonzero UB frozen initially; identifiable conditional release only after reduced angle model audit. Zero UB stays zero.
CG312-CG312-FGA2	CG312-CG312-FGA2	2-14-15;2-14-16;3-14-15;3-14-16;4-15-14;5-15-14;6-16-14;7-16-14	F1-C1-C2;F1-C1-C3;F2-C1-C2;F2-C1-C3;F3-C2-C1;F4-C2-C1;F5-C3-C1;F6-C3-C1	8	True	NOT_EMITTED	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\source_readonly_cache\ffbonded.itp	6134	cda750df0be35f862599f276f667be608b266a7a0aee085d2f623e82796403cf	120.931400 418.902080 0.00000000 0.00	0.00000000	0.00	FROZEN	Existing nonzero UB frozen initially; identifiable conditional release only after reduced angle model audit. Zero UB stays zero.
CG312-CG312-CG312	CG312-CG312-CG312	15-14-16	C2-C1-C3	1	False	13.2	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	13	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	118.610000 390.701920 0.00000000 0.00	0.00000000	0.00	FROZEN	Existing nonzero UB frozen initially; identifiable conditional release only after reduced angle model audit. Zero UB stays zero.
FGA2-CG312-SG3O1	FGA2-CG312-SG3O1	1-15-4;1-15-5	S1-C2-F3;S1-C2-F4	2	True	16	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	15	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	122.000000 418.400000 0.23570000 25104.00	0.23570000	25104.00	CONDITIONAL	Existing nonzero UB frozen initially; identifiable conditional release only after reduced angle model audit. Zero UB stays zero.
CG312-CG312-SG3O1	CG312-CG312-SG3O1	1-15-14	S1-C2-C1	1	False	64.2	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	14	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	122.000000 418.400000 0.23570000 25104.00	0.23570000	25104.00	CONDITIONAL	Existing nonzero UB frozen initially; identifiable conditional release only after reduced angle model audit. Zero UB stays zero.
CG302-CG312-FGA2	CG302-CG312-FGA2	6-16-17;7-16-17	F5-C3-C4;F6-C3-C4	2	True	2	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	12	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	120.930000 418.902080 0.00000000 0.00	0.00000000	0.00	FROZEN	Existing nonzero UB frozen initially; identifiable conditional release only after reduced angle model audit. Zero UB stays zero.
CG302-CG312-CG312	CG302-CG312-CG312	14-16-17	C1-C3-C4	1	False	13.2	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	11	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	118.610000 390.701920 0.00000000 0.00	0.00000000	0.00	FROZEN	Existing nonzero UB frozen initially; identifiable conditional release only after reduced angle model audit. Zero UB stays zero.
FGA3-CG302-FGA3	FGA3-CG302-FGA3	8-17-9;8-17-10;9-17-10	F7-C4-F8;F7-C4-F9;F8-C4-F9	3	True	NOT_EMITTED	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\source_readonly_cache\ffbonded.itp	5705	cda750df0be35f862599f276f667be608b266a7a0aee085d2f623e82796403cf	107.000000 987.424000 0.21550000 25104.00	0.21550000	25104.00	CONDITIONAL	Existing nonzero UB frozen initially; identifiable conditional release only after reduced angle model audit. Zero UB stays zero.
