parameter_class	term_id	parameter_field	atom_ids	atom_names	central_bond	shared_family_size	proposed_status	instance_fit_allowed
BOND_EQUILIBRIA	OG2P1-SG3O1	r0	1-11	S1-O1		3	CANDIDATE_TO_RELEASE	NO
BOND_FORCE_CONSTANTS	OG2P1-SG3O1	k	1-11	S1-O1		3	CONDITIONAL	NO
BOND_EQUILIBRIA	OG2P1-SG3O1	r0	1-12	S1-O2		3	CANDIDATE_TO_RELEASE	NO
BOND_FORCE_CONSTANTS	OG2P1-SG3O1	k	1-12	S1-O2		3	CONDITIONAL	NO
BOND_EQUILIBRIA	OG2P1-SG3O1	r0	1-13	S1-O3		3	CANDIDATE_TO_RELEASE	NO
BOND_FORCE_CONSTANTS	OG2P1-SG3O1	k	1-13	S1-O3		3	CONDITIONAL	NO
BOND_EQUILIBRIA	CG312-SG3O1	r0	1-15	S1-C2		1	CANDIDATE_TO_RELEASE	NO
BOND_FORCE_CONSTANTS	CG312-SG3O1	k	1-15	S1-C2		1	CONDITIONAL	NO
BOND_EQUILIBRIA	CG312-FGA2	r0	2-14	F1-C1		6	FROZEN	NO
BOND_FORCE_CONSTANTS	CG312-FGA2	k	2-14	F1-C1		6	CONDITIONAL	NO
BOND_EQUILIBRIA	CG312-FGA2	r0	3-14	F2-C1		6	FROZEN	NO
BOND_FORCE_CONSTANTS	CG312-FGA2	k	3-14	F2-C1		6	CONDITIONAL	NO
BOND_EQUILIBRIA	CG312-FGA2	r0	4-15	F3-C2		6	FROZEN	NO
BOND_FORCE_CONSTANTS	CG312-FGA2	k	4-15	F3-C2		6	CONDITIONAL	NO
BOND_EQUILIBRIA	CG312-FGA2	r0	5-15	F4-C2		6	FROZEN	NO
BOND_FORCE_CONSTANTS	CG312-FGA2	k	5-15	F4-C2		6	CONDITIONAL	NO
BOND_EQUILIBRIA	CG312-FGA2	r0	6-16	F5-C3		6	FROZEN	NO
BOND_FORCE_CONSTANTS	CG312-FGA2	k	6-16	F5-C3		6	CONDITIONAL	NO
BOND_EQUILIBRIA	CG312-FGA2	r0	7-16	F6-C3		6	FROZEN	NO
BOND_FORCE_CONSTANTS	CG312-FGA2	k	7-16	F6-C3		6	CONDITIONAL	NO
BOND_EQUILIBRIA	CG302-FGA3	r0	8-17	F7-C4		3	FROZEN	NO
BOND_FORCE_CONSTANTS	CG302-FGA3	k	8-17	F7-C4		3	CONDITIONAL	NO
BOND_EQUILIBRIA	CG302-FGA3	r0	9-17	F8-C4		3	FROZEN	NO
BOND_FORCE_CONSTANTS	CG302-FGA3	k	9-17	F8-C4		3	CONDITIONAL	NO
BOND_EQUILIBRIA	CG302-FGA3	r0	10-17	F9-C4		3	FROZEN	NO
BOND_FORCE_CONSTANTS	CG302-FGA3	k	10-17	F9-C4		3	CONDITIONAL	NO
BOND_EQUILIBRIA	CG312-CG312	r0	14-15	C1-C2		2	CANDIDATE_TO_RELEASE	NO
BOND_FORCE_CONSTANTS	CG312-CG312	k	14-15	C1-C2		2	CONDITIONAL	NO
BOND_EQUILIBRIA	CG312-CG312	r0	14-16	C1-C3		2	CANDIDATE_TO_RELEASE	NO
BOND_FORCE_CONSTANTS	CG312-CG312	k	14-16	C1-C3		2	CONDITIONAL	NO
BOND_EQUILIBRIA	CG302-CG312	r0	16-17	C3-C4		1	CANDIDATE_TO_RELEASE	NO
BOND_FORCE_CONSTANTS	CG302-CG312	k	16-17	C3-C4		1	CONDITIONAL	NO
ANGLE_EQUILIBRIA	OG2P1-SG3O1-OG2P1	theta0	11-1-12	O1-S1-O2		3	CANDIDATE_TO_RELEASE	NO
ANGLE_FORCE_CONSTANTS	OG2P1-SG3O1-OG2P1	k	11-1-12	O1-S1-O2		3	CONDITIONAL	NO
UREY_BRADLEY	OG2P1-SG3O1-OG2P1	r13_kUB	11-1-12	O1-S1-O2		3	CONDITIONAL	NO
ANGLE_EQUILIBRIA	OG2P1-SG3O1-OG2P1	theta0	11-1-13	O1-S1-O3		3	CANDIDATE_TO_RELEASE	NO
ANGLE_FORCE_CONSTANTS	OG2P1-SG3O1-OG2P1	k	11-1-13	O1-S1-O3		3	CONDITIONAL	NO
UREY_BRADLEY	OG2P1-SG3O1-OG2P1	r13_kUB	11-1-13	O1-S1-O3		3	CONDITIONAL	NO
ANGLE_EQUILIBRIA	OG2P1-SG3O1-OG2P1	theta0	12-1-13	O2-S1-O3		3	CANDIDATE_TO_RELEASE	NO
ANGLE_FORCE_CONSTANTS	OG2P1-SG3O1-OG2P1	k	12-1-13	O2-S1-O3		3	CONDITIONAL	NO
UREY_BRADLEY	OG2P1-SG3O1-OG2P1	r13_kUB	12-1-13	O2-S1-O3		3	CONDITIONAL	NO
ANGLE_EQUILIBRIA	CG312-SG3O1-OG2P1	theta0	11-1-15	O1-S1-C2		3	CANDIDATE_TO_RELEASE	NO
ANGLE_FORCE_CONSTANTS	CG312-SG3O1-OG2P1	k	11-1-15	O1-S1-C2		3	CONDITIONAL	NO
UREY_BRADLEY	CG312-SG3O1-OG2P1	r13_kUB	11-1-15	O1-S1-C2		3	FROZEN	NO
ANGLE_EQUILIBRIA	CG312-SG3O1-OG2P1	theta0	12-1-15	O2-S1-C2		3	CANDIDATE_TO_RELEASE	NO
ANGLE_FORCE_CONSTANTS	CG312-SG3O1-OG2P1	k	12-1-15	O2-S1-C2		3	CONDITIONAL	NO
UREY_BRADLEY	CG312-SG3O1-OG2P1	r13_kUB	12-1-15	O2-S1-C2		3	FROZEN	NO
ANGLE_EQUILIBRIA	CG312-SG3O1-OG2P1	theta0	13-1-15	O3-S1-C2		3	CANDIDATE_TO_RELEASE	NO
ANGLE_FORCE_CONSTANTS	CG312-SG3O1-OG2P1	k	13-1-15	O3-S1-C2		3	CONDITIONAL	NO
UREY_BRADLEY	CG312-SG3O1-OG2P1	r13_kUB	13-1-15	O3-S1-C2		3	FROZEN	NO
