observable_id	role	kind	availability
GEO_A_GEOMETRY	FITTING	GEOMETRY_AND_CONFORMER_ENERGY	EXISTING
GEO_B_GEOMETRY	FITTING	GEOMETRY_AND_CONFORMER_ENERGY	EXISTING
GEO_A_HESSIAN	FITTING	RAW_HESSIAN_MODES	EXISTING
T_CC_000	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CC_030	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CC_060	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CC_090	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CC_120	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CC_150	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CC_180	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CC_210	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CC_240	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CC_270	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CC_300	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CC_330	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CS_000	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CS_010	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CS_020	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CS_030	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CS_040	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CS_050	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CS_060	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CS_070	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CS_080	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CS_090	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CS_100	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CS_110	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CS_120	FITTING	RELAXED_1D_PES_ENERGY_AND_GEOMETRY	EXISTING
T_CC_REV_000	DIAGNOSTIC_ONLY	REVERSE_BRANCH_ENERGY_GEOMETRY	EXISTING
T_CC_REV_120	DIAGNOSTIC_ONLY	REVERSE_BRANCH_ENERGY_GEOMETRY	EXISTING
T_CC_REV_240	DIAGNOSTIC_ONLY	REVERSE_BRANCH_ENERGY_GEOMETRY	EXISTING
T_CS_REV_000	DIAGNOSTIC_ONLY	REVERSE_BRANCH_ENERGY_GEOMETRY	EXISTING
T_CS_REV_060	DIAGNOSTIC_ONLY	REVERSE_BRANCH_ENERGY_GEOMETRY	EXISTING
T_CS_REV_120	DIAGNOSTIC_ONLY	REVERSE_BRANCH_ENERGY_GEOMETRY	EXISTING
W_O1_A_C1	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_A_C2	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_A_C3	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_A_C4	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_A_C5	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_A_C6	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_A_C7	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_A_DIFF	DIAGNOSTIC_ONLY	WATER_INTERACTION	EXISTING
W_O1_A_R1	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_A_R2	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_A_R3	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_B_C1	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_B_C2	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_B_C3	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_B_C4	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_B_C5	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_B_C6	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_B_C7	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_B_DIFF	DIAGNOSTIC_ONLY	WATER_INTERACTION	EXISTING
W_O1_B_R1	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_B_R2	VALIDATION	WATER_INTERACTION	EXISTING
W_O1_B_R3	VALIDATION	WATER_INTERACTION	EXISTING
W_O2_A_SYM	VALIDATION	WATER_INTERACTION	EXISTING
W_O2_B_SYM	VALIDATION	WATER_INTERACTION	EXISTING
W_O3_A_SYM	VALIDATION	WATER_INTERACTION	EXISTING
W_O3_B_SYM	VALIDATION	WATER_INTERACTION	EXISTING
ESP_A	DIAGNOSTIC_ONLY	ESP	EXISTING
ESP_B	DIAGNOSTIC_ONLY	ESP	EXISTING
GEO_B_FREQ_PROPOSED	FIT_DEVELOPMENT	HESSIAN	PROPOSED_NOT_AUTHORIZED
JOINT_CC060_CS030	FIT_DEVELOPMENT	MIXED_PES	PROPOSED_NOT_AUTHORIZED
JOINT_CC060_CS090	FIT_DEVELOPMENT	MIXED_PES	PROPOSED_NOT_AUTHORIZED
JOINT_CC180_CS030	FIT_DEVELOPMENT	MIXED_PES	PROPOSED_NOT_AUTHORIZED
JOINT_CC180_CS090	FIT_DEVELOPMENT	MIXED_PES	PROPOSED_NOT_AUTHORIZED
JOINT_CC300_CS030	FIT_DEVELOPMENT	MIXED_PES	PROPOSED_NOT_AUTHORIZED
JOINT_CC300_CS090	FIT_DEVELOPMENT	MIXED_PES	PROPOSED_NOT_AUTHORIZED
JOINT_CC090_CS020	HELD_OUT_VALIDATION	MIXED_PES	PROPOSED_NOT_AUTHORIZED
JOINT_CC090_CS100	HELD_OUT_VALIDATION	MIXED_PES	PROPOSED_NOT_AUTHORIZED
