parameter_class	term_id	field	initial_status	GEO_A_GEOMETRY	GEO_B_GEOMETRY	GEO_A_HESSIAN	T_CC_000	T_CC_030	T_CC_060	T_CC_090	T_CC_120	T_CC_150	T_CC_180	T_CC_210	T_CC_240	T_CC_270	T_CC_300	T_CC_330	T_CS_000	T_CS_010	T_CS_020	T_CS_030	T_CS_040	T_CS_050	T_CS_060	T_CS_070	T_CS_080	T_CS_090	T_CS_100	T_CS_110	T_CS_120	T_CC_REV_000	T_CC_REV_120	T_CC_REV_240	T_CS_REV_000	T_CS_REV_060	T_CS_REV_120	W_O1_A_C1	W_O1_A_C2	W_O1_A_C3	W_O1_A_C4	W_O1_A_C5	W_O1_A_C6	W_O1_A_C7	W_O1_A_DIFF	W_O1_A_R1	W_O1_A_R2	W_O1_A_R3	W_O1_B_C1	W_O1_B_C2	W_O1_B_C3	W_O1_B_C4	W_O1_B_C5	W_O1_B_C6	W_O1_B_C7	W_O1_B_DIFF	W_O1_B_R1	W_O1_B_R2	W_O1_B_R3	W_O2_A_SYM	W_O2_B_SYM	W_O3_A_SYM	W_O3_B_SYM	ESP_A	ESP_B	GEO_B_FREQ_PROPOSED	JOINT_CC060_CS030	JOINT_CC060_CS090	JOINT_CC180_CS030	JOINT_CC180_CS090	JOINT_CC300_CS030	JOINT_CC300_CS090	JOINT_CC090_CS020	JOINT_CC090_CS100	JOINT_CC210_CS020	JOINT_CC210_CS100	TAIL_C1_C3_CONDITIONAL	TAIL_CF3_CONDITIONAL	FINITE_DISPLACEMENT_CONDITIONAL	NEW_MINIMUM_OPTIONAL
BOND_EQUILIBRIA	OG2P1-SG3O1	r0	CANDIDATE_TO_RELEASE	STRONG	STRONG	MODERATE	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	WEAK	WEAK	MODERATE	WEAK
BOND_FORCE_CONSTANTS	OG2P1-SG3O1	k	CONDITIONAL	WEAK	WEAK	STRONG	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	STRONG	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	WEAK	WEAK	MODERATE	WEAK
BOND_EQUILIBRIA	CG312-SG3O1	r0	CANDIDATE_TO_RELEASE	STRONG	STRONG	MODERATE	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	WEAK	WEAK	MODERATE	WEAK
BOND_FORCE_CONSTANTS	CG312-SG3O1	k	CONDITIONAL	WEAK	WEAK	STRONG	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	STRONG	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	WEAK	WEAK	MODERATE	WEAK
BOND_EQUILIBRIA	CG312-FGA2	r0	FROZEN	STRONG	STRONG	MODERATE	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	WEAK	WEAK	MODERATE	WEAK
BOND_FORCE_CONSTANTS	CG312-FGA2	k	CONDITIONAL	WEAK	WEAK	STRONG	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	STRONG	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	WEAK	WEAK	MODERATE	WEAK
BOND_EQUILIBRIA	CG302-FGA3	r0	FROZEN	STRONG	STRONG	MODERATE	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	WEAK	WEAK	MODERATE	WEAK
BOND_FORCE_CONSTANTS	CG302-FGA3	k	CONDITIONAL	WEAK	WEAK	STRONG	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	STRONG	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	WEAK	WEAK	MODERATE	WEAK
BOND_EQUILIBRIA	CG312-CG312	r0	CANDIDATE_TO_RELEASE	STRONG	STRONG	MODERATE	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	WEAK	WEAK	MODERATE	WEAK
BOND_FORCE_CONSTANTS	CG312-CG312	k	CONDITIONAL	WEAK	WEAK	STRONG	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	STRONG	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	WEAK	WEAK	MODERATE	WEAK
BOND_EQUILIBRIA	CG302-CG312	r0	CANDIDATE_TO_RELEASE	STRONG	STRONG	MODERATE	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	WEAK	WEAK	MODERATE	WEAK
BOND_FORCE_CONSTANTS	CG302-CG312	k	CONDITIONAL	WEAK	WEAK	STRONG	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	WEAK	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	STRONG	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	MODERATE	WEAK	WEAK	MODERATE	WEAK
