section	types	line	source_path	source_sha256	raw_row
bondtypes	OG2P1-SG3O1	1528	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\source_readonly_cache\ffbonded.itp	cda750df0be35f862599f276f667be608b266a7a0aee085d2f623e82796403cf	   OG2P1    SG3O1     1   0.14480000    451872.00 ; LIPID methylsulfate
bondtypes	CG312-SG3O1	5	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	   CG312    SG3O1     1   0.18070000    154808.00
bondtypes	CG312-FGA2	1093	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\source_readonly_cache\ffbonded.itp	cda750df0be35f862599f276f667be608b266a7a0aee085d2f623e82796403cf	   CG312     FGA2     1   0.13530000    292043.20 ; FLUROALK fluoroalkanes
bondtypes	CG302-FGA3	1042	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\source_readonly_cache\ffbonded.itp	cda750df0be35f862599f276f667be608b266a7a0aee085d2f623e82796403cf	   CG302     FGA3     1   0.13400000    221752.00 ; FLUROALK fluoroalkanes
bondtypes	CG312-CG312	1083	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\source_readonly_cache\ffbonded.itp	cda750df0be35f862599f276f667be608b266a7a0aee085d2f623e82796403cf	   CG312    CG312     1   0.14563000    227869.01 ; aa, 23008H
bondtypes	CG302-CG312	4	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	   CG302    CG312     1   0.14563000    227869.01
angletypes	OG2P1-SG3O1-OG2P1	9645	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\source_readonly_cache\ffbonded.itp	cda750df0be35f862599f276f667be608b266a7a0aee085d2f623e82796403cf	   OG2P1    SG3O1    OG2P1     5   109.470000  1087.840000   0.24500000     29288.00 ; LIPID methylsulfate
angletypes	CG312-SG3O1-OG2P1	16	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\package\current_parameters\pfbs_ani.prm	24baf41553845380e9905f7419ca85cb0528dcd7652d596ca6ba83e003d05a56	   CG312    SG3O1    OG2P1     5    99.000000   669.440000   0.00000000         0.00
angletypes	FGA2-CG312-FGA2	6151	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\source_readonly_cache\ffbonded.itp	cda750df0be35f862599f276f667be608b266a7a0aee085d2f623e82796403cf	    FGA2    CG312     FGA2     5   107.000000  1255.200000   0.21700000      8368.00 ; FLUROALK fluoroalkanes
angletypes	CG312-CG312-FGA2	6134	E:\AI-App-Data\PFAS_mito_membrane_pilot\broad_pre_qm_audit_work_20260926\source_readonly_cache\ffbonded.itp	cda750df0be35f862599f276f667be608b266a7a0aee085d2f623e82796403cf	   CG312    CG312     FGA2     5   120.931400   418.902080   0.00000000         0.00 ; aa, 23008H
