atom_id	atom_name	element	x_A	y_A	z_A
1	S1	S	-2.727715142	1.2685828349	0.8452076886
2	F1	F	-0.4455593226	1.7094129131	-1.2318561762
3	F2	F	0.5471803554	2.0204603278	0.7213431895
4	F3	F	-1.3621855627	-0.8147234357	-0.1186932983
5	F4	F	-0.6099696796	-0.0476211947	1.8152392628
6	F5	F	0.8410713869	-0.5456064328	-1.6702493732
7	F6	F	2.1616619667	1.1204861058	-1.0829026729
8	F7	F	1.2204576413	-1.7458422504	0.7204933988
9	F8	F	3.0874361103	-1.15486052	-0.2320360913
10	F9	F	2.338225931	-0.0186311534	1.4765877306
11	O1	O	-3.2671403458	1.3506715835	-0.5310408426
12	O2	O	-3.4432649229	0.3561934352	1.7660264891
13	O3	O	-2.2474265684	2.5426688766	1.4311369499
14	C1	C	0.0224378971	1.084575183	-0.1170936648
15	C2	C	-1.118707783	0.3328009213	0.5961803967
16	C3	C	1.2251417668	0.2325792819	-0.6228572322
17	C4	C	1.9665773188	-0.6883103203	0.371866868
