packed_index_1based	row_1based	column_1based	row_coordinate	column_coordinate	value_Eh_per_a0_squared
1	1	1	S1_x	S1_x	0.78171764
2	2	1	S1_y	S1_x	-0.17101348
3	2	2	S1_y	S1_y	0.73008850
4	3	1	S1_z	S1_x	-0.14289772
5	3	2	S1_z	S1_y	-0.16092429
6	3	3	S1_z	S1_z	0.80835864
7	4	1	F1_x	S1_x	-0.00228646
8	4	2	F1_x	S1_y	0.00428768
9	4	3	F1_x	S1_z	-0.00479538
10	4	4	F1_x	F1_x	0.11190621
11	5	1	F1_y	S1_x	0.00314270
12	5	2	F1_y	S1_y	0.00018237
13	5	3	F1_y	S1_z	0.00294335
14	5	4	F1_y	F1_x	-0.06763529
15	5	5	F1_y	F1_y	0.18285317
16	6	1	F1_z	S1_x	-0.00342738
17	6	2	F1_z	S1_y	-0.00006821
18	6	3	F1_z	S1_z	-0.00954773
19	6	4	F1_z	F1_x	0.08418486
20	6	5	F1_z	F1_y	-0.13987070
21	6	6	F1_z	F1_z	0.24620169
22	7	1	F2_x	S1_x	0.00187484
23	7	2	F2_x	S1_y	0.00811520
24	7	3	F2_x	S1_z	0.00998585
25	7	4	F2_x	F1_x	-0.00753030
26	7	5	F2_x	F1_y	-0.00219246
27	7	6	F2_x	F1_z	-0.03361562
28	7	7	F2_x	F2_x	0.12307594
29	8	1	F2_y	S1_x	0.00422975
30	8	2	F2_y	S1_y	0.00506832
31	8	3	F2_y	S1_z	0.00813529
32	8	4	F2_y	F1_x	0.00390887
33	8	5	F2_y	F1_y	0.02452380
34	8	6	F2_y	F1_z	0.00656507
35	8	7	F2_y	F2_x	0.07085100
36	8	8	F2_y	F2_y	0.17258462
37	9	1	F2_z	S1_x	0.00142693
38	9	2	F2_z	S1_y	0.00215952
39	9	3	F2_z	S1_z	-0.00188250
40	9	4	F2_z	F1_x	-0.03385680
41	9	5	F2_z	F1_y	-0.00701241
42	9	6	F2_z	F1_z	-0.05437234
43	9	7	F2_z	F2_x	0.08033986
44	9	8	F2_z	F2_y	0.11889677
45	9	9	F2_z	F2_z	0.21442854
46	10	1	F3_x	S1_x	-0.00327583
47	10	2	F3_x	S1_y	0.01946858
48	10	3	F3_x	S1_z	-0.01515613
49	10	4	F3_x	F1_x	-0.00145902
50	10	5	F3_x	F1_y	-0.00540210
51	10	6	F3_x	F1_z	0.00475690
52	10	7	F3_x	F2_x	0.00210003
53	10	8	F3_x	F2_y	-0.00101230
54	10	9	F3_x	F2_z	0.00448841
55	10	10	F3_x	F3_x	0.09912830
56	11	1	F3_y	S1_x	-0.00084576
57	11	2	F3_y	S1_y	-0.00131713
