kind	source_line	atom_types	source_k	source_equilibrium	source_UB_k	source_UB_r13	source_multiplicity	source_phase_deg	source_penalty	gromacs_function	gromacs_k	gromacs_equilibrium	gromacs_UB_k	gromacs_UB_r13	gromacs_multiplicity	gromacs_phase_deg	topology_instances	mapping_check
bond	68	CG302-CG312	272.31	1.4563					6	1	227869.01	0.14563000					C3-C4	PASS
bond	69	CG312-SG3O1	185.0	1.807					55	1	154808.00	0.18070000					S1-C2	PASS
angle	72	CG312-CG302-FGA3	50.06	120.93	0.0	0.0			6.1	5	418.902080	120.930000	0.00	0.00000000			F7-C4-C3;F8-C4-C3;F9-C4-C3	PASS
angle	73	CG302-CG312-CG312	46.69	118.61	0.0	0.0			13.2	5	390.701920	118.610000	0.00	0.00000000			C1-C3-C4	PASS
angle	74	CG302-CG312-FGA2	50.06	120.93	0.0	0.0			2	5	418.902080	120.930000	0.00	0.00000000			F5-C3-C4;F6-C3-C4	PASS
angle	75	CG312-CG312-CG312	46.69	118.61	0.0	0.0			13.2	5	390.701920	118.610000	0.00	0.00000000			C2-C1-C3	PASS
angle	76	CG312-CG312-SG3O1	50.0	122.0	30.0	2.357			64.2	5	418.400000	122.000000	25104.00	0.23570000			S1-C2-C1	PASS
angle	77	SG3O1-CG312-FGA2	50.0	122.0	30.0	2.357			16	5	418.400000	122.000000	25104.00	0.23570000			S1-C2-F3;S1-C2-F4	PASS
angle	78	CG312-SG3O1-OG2P1	80.0	99.0	0.0	0.0			12	5	669.440000	99.000000	0.00	0.00000000			O1-S1-C2;O2-S1-C2;O3-S1-C2	PASS
dihedral	81	FGA3-CG302-CG312-CG312	1.16				1	180.0	22.1	9	4.853440				1	180.000000	C1-C3-C4-F7;C1-C3-C4-F8;C1-C3-C4-F9	PASS
dihedral	82	FGA3-CG302-CG312-CG312	0.0				3	180.0	22.1	9	0.000000				3	180.000000	C1-C3-C4-F7;C1-C3-C4-F8;C1-C3-C4-F9	PASS
dihedral	83	FGA3-CG302-CG312-FGA2	0.44				3	0.0	6.1	9	1.840960				3	0.000000	F5-C3-C4-F7;F5-C3-C4-F8;F5-C3-C4-F9;F6-C3-C4-F7;F6-C3-C4-F8;F6-C3-C4-F9	PASS
dihedral	84	CG302-CG312-CG312-CG312	1.43				3	0.0	28	9	5.983120				3	0.000000	C2-C1-C3-C4	PASS
dihedral	85	CG302-CG312-CG312-FGA2	1.16				1	180.0	16	9	4.853440				1	180.000000	F1-C1-C3-C4;F2-C1-C3-C4	PASS
dihedral	86	CG302-CG312-CG312-FGA2	0.0				3	180.0	16	9	0.000000				3	180.000000	F1-C1-C3-C4;F2-C1-C3-C4	PASS
dihedral	87	CG312-CG312-CG312-SG3O1	0.94				1	180.0	122.9	9	3.932960				1	180.000000	C3-C1-C2-S1	PASS
dihedral	88	CG312-CG312-CG312-SG3O1	0.38				2	0.0	122.9	9	1.589920				2	0.000000	C3-C1-C2-S1	PASS
dihedral	89	CG312-CG312-CG312-SG3O1	0.11				3	0.0	122.9	9	0.460240				3	0.000000	C3-C1-C2-S1	PASS
dihedral	90	CG312-CG312-CG312-FGA2	1.16				1	180.0	16	9	4.853440				1	180.000000	C3-C1-C2-F3;C3-C1-C2-F4;C2-C1-C3-F5;C2-C1-C3-F6	PASS
dihedral	91	CG312-CG312-CG312-FGA2	0.0				3	180.0	16	9	0.000000				3	180.000000	C3-C1-C2-F3;C3-C1-C2-F4;C2-C1-C3-F5;C2-C1-C3-F6	PASS
dihedral	92	SG3O1-CG312-CG312-FGA2	1.16				1	180.0	117	9	4.853440				1	180.000000	F1-C1-C2-S1;F2-C1-C2-S1	PASS
dihedral	93	SG3O1-CG312-CG312-FGA2	0.0				3	180.0	117	9	0.000000				3	180.000000	F1-C1-C2-S1;F2-C1-C2-S1	PASS
dihedral	94	CG312-CG312-SG3O1-OG2P1	0.23				3	0.0	67	9	0.962320				3	0.000000	O1-S1-C2-C1;O2-S1-C2-C1;O3-S1-C2-C1	PASS
dihedral	95	FGA2-CG312-SG3O1-OG2P1	0.23				3	0.0	98	9	0.962320				3	0.000000	O1-S1-C2-F3;O1-S1-C2-F4;O2-S1-C2-F3;O2-S1-C2-F4;O3-S1-C2-F3;O3-S1-C2-F4	PASS
