geometry	metric	QM	clean_MM	MM_minus_QM	unit
GEO_A	C1_C2_S1_deg	119.96985166647593	113.32210034902326	-6.6477513174526734	deg
GEO_A	C1_S1_UB_r13_A	2.9658917834348086	2.7244490869078	-0.24144269652700867	A
GEO_A	S1_C2_A	1.8736790713925773	1.76905478101653	-0.10462429037604726	A
GEO_A	C1_C2_A	1.5463338589367104	1.4867722265211372	-0.05956163241557322	A
GEO_A	S1_O1_A	1.4824048021793783	1.4516704549953192	-0.030734347184059096	A
GEO_B_REVISED	C1_C2_S1_deg	116.91210244206768	111.87182320632627	-5.040279235741409	deg
GEO_B_REVISED	C1_S1_UB_r13_A	2.9194563888979372	2.7111233629064913	-0.20833302599144599	A
GEO_B_REVISED	S1_C2_A	1.8779260960849888	1.7771238999928152	-0.10080219609217367	A
GEO_B_REVISED	C1_C2_A	1.5414727177177037	1.4897810340782536	-0.05169168363945009	A
GEO_B_REVISED	S1_O1_A	1.480465887667455	1.453425253475034	-0.027040634192420976	A
