point_id	point_role	grid_target_deg	QM_energy_hartree	QM_series_relative_kcal_mol	old_MM_relaxed_kJ_mol	old_MM_series_relative_kcal_mol	clean_MM_relaxed_kJ_mol	clean_MM_status	old_MM_final_torsion_deg
T_CS_000	main_scan	0.0	-1671.3344698694	4.599377251321659	433.047466	8.519399617590825	433.047466	recomputed	-0.0034048198815212725
T_CS_010	main_scan	10.0	-1671.3350479838	4.236604988220648	435.616529	9.133420411089876		not_recomputed	10.000089199200554
T_CS_020	main_scan	20.0	-1671.3361710628	3.5318622755485665	433.160459	8.546405592734232		not_recomputed	20.003166032500236
T_CS_030	main_scan	30.0	-1671.3377520075	2.5398044983406147	426.764596	7.017757648183559		not_recomputed	30.00591552921721
T_CS_040	main_scan	40.0	-1671.3394204695	1.4928287862277165	416.77313	4.629739961759084		not_recomputed	40.006905603928125
T_CS_050	main_scan	50.0	-1671.3407951204	0.6302223230526441	407.052903	2.3065499521988624		not_recomputed	50.00569133358897
T_CS_060	main_scan	60.0	-1671.3416455518	0.09656856246956406	400.090324	0.6424536328871979		not_recomputed	60.00329159550745
T_CS_070	main_scan	70.0	-1671.3417994436	0.0	397.402298	0.0	397.402298	recomputed	70.00017484877692
T_CS_080	main_scan	80.0	-1671.3410245324	0.48626411947550613	399.690105	0.5467989961759185		not_recomputed	79.99680463119464
T_CS_090	main_scan	90.0	-1671.3392595048	1.5938356604323562	406.498972	2.1741572657743804		not_recomputed	89.99433912478722
T_CS_100	main_scan	100.0	-1671.3369909955	3.017346738286481	416.044652	4.455629541108989		not_recomputed	99.993040683669
T_CS_110	main_scan	110.0	-1671.3350644546	4.226269405243035	425.793797	6.785731118546847		not_recomputed	109.9940814160198
T_CS_120	main_scan	120.0	-1671.3344794388	4.593372362200989	432.991127	8.50593427342257		not_recomputed	119.99665858910471
