replicate	selection_status	window	D_PBC_1e-9_m2_s	Yeh_Hummer_1e-9_m2_s	D_infinity_1e-9_m2_s	R2	mean_local_alpha	window_loglog_alpha
rep01	ACCEPTED	0.5-2 ns	0.3488674214028507	0.23	0.5788674214028507	0.9971705003195424	0.9872534479497815	
rep02	INCONCLUSIVE							
rep03	INCONCLUSIVE							
rep04	INCONCLUSIVE							
rep05	INCONCLUSIVE							
rep06	ACCEPTED	0.5-2 ns	0.45998787811241226	0.23	0.6899878781124122	0.9973792512219141	1.05994032992746	1.0941979424073047
rep07	INCONCLUSIVE							
rep08	INCONCLUSIVE							
rep09	ACCEPTED	0.5-2 ns	0.35698045612316814	0.23	0.5869804561231682	0.9960394159217035	1.0874558982670584	1.081482897178719
rep10	ACCEPTED	1-3 ns	0.5498373127614146	0.23	0.7798373127614145	0.9979907089839639	1.0304966199126817	1.0759985433077957
rep11	INCONCLUSIVE							
rep12	INCONCLUSIVE							
rep13	INCONCLUSIVE							
rep14	INCONCLUSIVE							
rep15	ACCEPTED	0.5-2.5 ns	0.43095370145706013	0.23	0.6609537014570601	0.9952407304379861	1.0092905304859576	1.0819898722181502
rep16	INCONCLUSIVE							
rep17	ACCEPTED	1-2.5 ns	0.2958526815930208	0.23	0.5258526815930208	0.9958093603145366	0.9357619479627525	0.9173247681255055
rep18	INCONCLUSIVE							
rep19	ACCEPTED	0.5-2 ns	0.447076302011815	0.23	0.677076302011815	0.9976427651801204	1.00127001781146	0.9981795416032793
rep20	INCONCLUSIVE							
