replicate	terminal_state	seed	em	preeq_100bar	npt_1bar	nvt	diffusion	manifest	numerical_anomalies
rep01	COMPLETE_ACCEPTED	historical	PASS	PASS	PASS	PASS	ACCEPTED	REFERENCE_VALIDATED	0
rep02	COMPLETE_INCONCLUSIVE	956617096	PASS	PASS	PASS	PASS	INCONCLUSIVE	PASS_FINAL_STATE_LEGACY_ORDER_REPAIR	0
rep03	COMPLETE_INCONCLUSIVE	1878795332	PASS	PASS	PASS	PASS	INCONCLUSIVE	PASS_FINAL_STATE_LEGACY_ORDER_REPAIR	0
rep04	COMPLETE_INCONCLUSIVE	438252574	PASS	PASS	PASS	PASS	INCONCLUSIVE	PASS_FINAL_STATE_LEGACY_ORDER_REPAIR	0
rep05	COMPLETE_INCONCLUSIVE	601938095	PASS	PASS	PASS	PASS	INCONCLUSIVE	PASS	0
rep06	COMPLETE_ACCEPTED	12188918	PASS	PASS	PASS	PASS	ACCEPTED	PASS	0
rep07	COMPLETE_INCONCLUSIVE	1793083067	PASS	PASS	PASS	PASS	INCONCLUSIVE	PASS	0
rep08	COMPLETE_INCONCLUSIVE	2007786942	PASS	PASS	PASS	PASS	INCONCLUSIVE	PASS	0
rep09	COMPLETE_ACCEPTED	1721038282	PASS	PASS	PASS	PASS	ACCEPTED	PASS	0
rep10	COMPLETE_ACCEPTED	282789068	PASS	PASS	PASS	PASS	ACCEPTED	PASS	0
rep11	COMPLETE_INCONCLUSIVE	1121785808	PASS	PASS	PASS	PASS	INCONCLUSIVE	PASS	0
rep12	COMPLETE_INCONCLUSIVE	142390998	PASS	PASS	PASS	PASS	INCONCLUSIVE	PASS	0
rep13	COMPLETE_INCONCLUSIVE	1622096390	PASS	PASS	PASS	PASS	INCONCLUSIVE	PASS	0
rep14	COMPLETE_INCONCLUSIVE	600069722	PASS	PASS	PASS	PASS	INCONCLUSIVE	PASS	0
rep15	COMPLETE_ACCEPTED	1321739230	PASS	PASS	PASS	PASS	ACCEPTED	PASS	0
rep16	COMPLETE_INCONCLUSIVE	1913838101	PASS	PASS	PASS	PASS	INCONCLUSIVE	PASS	0
rep17	COMPLETE_ACCEPTED	831041444	PASS	PASS	PASS	PASS	ACCEPTED	PASS	0
rep18	COMPLETE_INCONCLUSIVE	1797273218	PASS	PASS	PASS	PASS	INCONCLUSIVE	PASS	0
rep19	COMPLETE_ACCEPTED	1208089426	PASS	PASS	PASS	PASS	ACCEPTED	PASS	0
rep20	COMPLETE_INCONCLUSIVE	2057926294	PASS	PASS	PASS	PASS	INCONCLUSIVE	PASS	0
