timestamp	event	detail
2026-09-22T11:10:37+08:00	PREFLIGHT_PASS	hashes, original 20/20, GROMACS 2026.3 CUDA, seeds, lineage, no active gmx
2026-09-22T11:10:37+08:00	WAVE_START	wave=1 reps=rep05,rep06,rep07,rep08 offsets=[0, 48, 96, 144]
2026-09-22T14:34:59+08:00	REPLICATE_EXIT	rep07 rc=0 status=COMPLETE_INCONCLUSIVE
2026-09-22T14:35:03+08:00	REPLICATE_EXIT	rep08 rc=0 status=COMPLETE_INCONCLUSIVE
2026-09-22T14:41:30+08:00	REPLICATE_EXIT	rep05 rc=0 status=COMPLETE_INCONCLUSIVE
2026-09-22T15:03:34+08:00	REPLICATE_EXIT	rep06 rc=0 status=COMPLETE_ACCEPTED
2026-09-22T15:03:34+08:00	WAVE_COMPLETE	wave=1 reps=rep05,rep06,rep07,rep08 stop_reason=none
2026-09-22T15:03:34+08:00	WAVE_START	wave=2 reps=rep09,rep10,rep11,rep12 offsets=[0, 48, 96, 144]
2026-09-22T18:40:25+08:00	REPLICATE_EXIT	rep12 rc=0 status=COMPLETE_INCONCLUSIVE
2026-09-22T18:44:02+08:00	REPLICATE_EXIT	rep11 rc=0 status=COMPLETE_INCONCLUSIVE
2026-09-22T18:51:46+08:00	REPLICATE_EXIT	rep09 rc=0 status=COMPLETE_ACCEPTED
2026-09-22T19:02:15+08:00	REPLICATE_EXIT	rep10 rc=0 status=COMPLETE_ACCEPTED
2026-09-22T19:02:15+08:00	WAVE_COMPLETE	wave=2 reps=rep09,rep10,rep11,rep12 stop_reason=none
2026-09-22T19:02:15+08:00	WAVE_START	wave=3 reps=rep13,rep14,rep15,rep16 offsets=[0, 48, 96, 144]
2026-09-22T22:25:06+08:00	REPLICATE_EXIT	rep15 rc=0 status=COMPLETE_ACCEPTED
2026-09-22T22:26:38+08:00	REPLICATE_EXIT	rep16 rc=0 status=COMPLETE_INCONCLUSIVE
2026-09-22T22:38:55+08:00	REPLICATE_EXIT	rep13 rc=0 status=COMPLETE_INCONCLUSIVE
2026-09-22T22:58:39+08:00	REPLICATE_EXIT	rep14 rc=0 status=COMPLETE_INCONCLUSIVE
2026-09-22T22:58:39+08:00	WAVE_COMPLETE	wave=3 reps=rep13,rep14,rep15,rep16 stop_reason=none
2026-09-22T22:58:39+08:00	WAVE_START	wave=4 reps=rep17,rep18,rep19,rep20 offsets=[0, 48, 96, 144]
2026-09-23T02:21:32+08:00	REPLICATE_EXIT	rep20 rc=0 status=COMPLETE_INCONCLUSIVE
2026-09-23T02:22:16+08:00	REPLICATE_EXIT	rep19 rc=0 status=COMPLETE_ACCEPTED
2026-09-23T02:37:11+08:00	REPLICATE_EXIT	rep17 rc=0 status=COMPLETE_ACCEPTED
2026-09-23T02:54:02+08:00	REPLICATE_EXIT	rep18 rc=0 status=COMPLETE_INCONCLUSIVE
2026-09-23T02:54:02+08:00	WAVE_COMPLETE	wave=4 reps=rep17,rep18,rep19,rep20 stop_reason=none
2026-09-23T02:54:02+08:00	SCHEDULER_COMPLETE	rep05-rep20 runner waves complete; final ensemble QA pending
