replicate	seed	derivation_string	frozen_protocol_SHA256	full_SHA256
rep02	956617096	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep02	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	057ad732a31974bdaaa3fcac56fc9a5e10bf20d736538b2b4c99b4b9a37d9214
rep03	1878795332	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep03	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	45f78487d81e12215425ab999d1ba2074f4fa9c376715f169a49d05e232dc42f
rep04	438252574	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep04	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	1845d6183907dbbbd9c535852767db3d8757d2e6420e1f65bbe891fbfa8338b7
rep05	601938095	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep05	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	d97afb59bdf4eb3a438de3e55593f5deb02c40308542978653ca0bb6ebfd36e8
rep06	12188918	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep06	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	b0b9cdb53dd2c61594c881e6e62d3dde72baa4adb692715618c8237298ef4555
rep07	1793083067	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep07	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	a97215824517f0a8fd001be870ad8a2562a5954bd3f7cc831a456600f1a88b1e
rep08	2007786942	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep08	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	8798bb2b59497909f15fc5170494ff8e6c8f198a295aae0fc2f39b857e5211de
rep09	1721038282	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep09	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	b6fb21e18aa86e39280f7f04ed48778f6f851e2816d3fecb8e3d05ff46b95f14
rep10	282789068	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep10	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	449ff8557e5b23716e9805200ee6c62191548bccdd77aa92b78026285a7655de
rep11	1121785808	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep11	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	607ab56c40f24219520d35e32780194fc38678fdcd978a70b210c11412b0f5dc
rep12	142390998	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep12	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	4d3cec41538905cb18c84b0d0c2b86e4ae5b3cf947483c59672537dfc66847c4
rep13	1622096390	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep13	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	668cb134c67c752d3c220d31fe2c0672f8fa7be9d1eb7cf32b9ad4d9f007b44f
rep14	600069722	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep14	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	07f630e483eb92c7b4734bec002a4afdbafca082bbdf96322352bb962a618132
rep15	1321739230	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep15	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	773b84f371da100980fa1614e80a479ae5c0c8ebcec1944bf115173a3d2be8ec
rep16	1913838101	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep16	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	f2a47fe82780da66a31d7c157fb3c8072806c83d8c3a416235085a09650c71e9
rep17	831041444	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep17	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	fe7b851b379a9b272e4778ca27d85f1e5875201f4f725896d590c5fdc3f21bfe
rep18	1797273218	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep18	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	7f9dbd8aeca9404f44f7db09b6efb93918e796f09909c38b88d25dbfa1dc906d
rep19	1208089426	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep19	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	4dab5942115496459ae8ade67afa3442b71f38d37a5c02e3153b7f0fe6787fc8
rep20	2057926294	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da|PFOS|rep20	9f0e5858f4cb776ea6431a7575ccf5c60131b1405443152fa20f68b46524a4da	dc1bcb008a3a4a877f1d2383ce317faed80e1d1fa89d18a2adde08dcf5fd10c8
