replicate	formal_status	metric_window	window_role	R2	mean_local_alpha	window_loglog_alpha	minimum_origins	origin_sensitivity
rep01	ACCEPTED	0.5-2 ns	frozen selected	0.997170500319542	0.987253447949733	0.9950940937098598	800	HIGH
rep02	INCONCLUSIVE	3.5-5 ns	post-hoc closest by gate violation	0.9796357747157262	0.6337633184859849	0.6358643888492574	500	LOW
rep03	INCONCLUSIVE	1.5-3 ns	post-hoc closest by gate violation	0.9947745045715705	0.982690833667409	1.1098595320588385	700	LOW
rep04	INCONCLUSIVE	1.5-3 ns	post-hoc closest by gate violation	0.993309433997426	0.9652460790171179	0.8499586987898389	700	LOW
rep05	INCONCLUSIVE	0.5-2 ns	post-hoc closest by gate violation	0.9974147834745215	1.2755374510216366	1.265832115642225	800	LOW
rep06	ACCEPTED	0.5-2 ns	frozen selected	0.9973792512219141	1.05994032992746	1.0941979424073047	800	HIGH
rep07	INCONCLUSIVE	1.5-4.5 ns	post-hoc closest by gate violation	0.9942313586575591	1.0387785414865154	1.1255704042011214	550	LOW
rep08	INCONCLUSIVE	0.5-2 ns	post-hoc closest by gate violation	0.9851115301079911	0.7356726402374283	0.7911883317378751	800	LOW
rep09	ACCEPTED	0.5-2 ns	frozen selected	0.9960394159217035	1.0874558982670584	1.081482897178719	800	HIGH
rep10	ACCEPTED	1-3 ns	frozen selected	0.9979907089839639	1.0304966199126817	1.0759985433077957	700	HIGH
rep11	INCONCLUSIVE	0.5-3 ns	post-hoc closest by gate violation	0.9944714440893148	0.8212568530630663	0.828613525752093	700	LOW
rep12	INCONCLUSIVE	2-3.5 ns	post-hoc closest by gate violation	0.9486623118609433	0.33627668189892534	0.6292343136249315	650	LOW
rep13	INCONCLUSIVE	0.5-2 ns	post-hoc closest by gate violation	0.9917127856758164	0.7375725154810263	0.7839493632520471	800	LOW
rep14	INCONCLUSIVE	2-3.5 ns	post-hoc closest by gate violation	0.9945088063705535	0.8404564920174803	0.9714936174692687	650	LOW
rep15	ACCEPTED	0.5-2.5 ns	frozen selected	0.9952407304379861	1.0092905304859576	1.0819898722181502	750	HIGH
rep16	INCONCLUSIVE	3.5-5 ns	post-hoc closest by gate violation	0.9987487445160608	1.104770227311562	1.1514210171370654	500	LOW
rep17	ACCEPTED	1-2.5 ns	frozen selected	0.9958093603145366	0.9357619479627525	0.9173247681255055	750	HIGH
rep18	INCONCLUSIVE	1-2.5 ns	post-hoc closest by gate violation	0.9640020152266806	0.47607285244001113	0.4843454607478198	750	LOW
rep19	ACCEPTED	0.5-2 ns	frozen selected	0.9976427651801204	1.00127001781146	0.9981795416032793	800	HIGH
rep20	INCONCLUSIVE	0.5-2 ns	post-hoc closest by gate violation	0.9945574273989921	1.1320900759880097	1.0654550871902377	800	LOW
