replicate	window	start_ps	end_ps	width_ps	R2	mean_local_alpha	window_loglog_alpha	minimum_origins	eligible	failure_reasons	normalized_violation_score	D_excluded_from_closest_rule
rep02	0.5-2 ns	500.0	2000.0	1500.0	0.953009202889221	0.7191875436109832	0.7950450339967541	800	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	8.654475755778716	TRUE
rep02	0.5-2.5 ns	500.0	2500.0	2000.0	0.9433334389758335	0.6262267997171577	0.7175682788081986	750	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	10.844383381804974	TRUE
rep02	0.5-3 ns	500.0	3000.0	2500.0	0.9189553199744663	0.5243785484517339	0.6549112103327653	700	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	15.856472917260307	TRUE
rep02	0.5-3.5 ns	500.0	3500.0	3000.0	0.8356453394650595	0.4581470820230108	0.5783315901531035	650	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	32.3361526788526	TRUE
rep02	0.5-4 ns	500.0	4000.0	3500.0	0.7630245448176951	0.43991769422545285	0.5154575679729357	600	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	46.78097191479793	TRUE
rep02	0.5-4.5 ns	500.0	4500.0	4000.0	0.7645478085617583	0.456999322483073	0.48245863027044283	550	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	46.490725323650615	TRUE
rep02	0.5-5 ns	500.0	5000.0	4500.0	0.8015342921864482	0.5167263909113684	0.4689561114101174	500	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	39.120697249964685	TRUE
rep02	1-2.5 ns	1000.0	2500.0	1500.0	0.9720907937541733	0.5016732509012474	0.5259133517384175	750	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	7.131183013923397	TRUE
rep02	1-3 ns	1000.0	3000.0	2000.0	0.9483199262068921	0.40549990529703006	0.48008725685524517	700	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	11.36867965618083	TRUE
rep02	1-3.5 ns	1000.0	3500.0	2500.0	0.823305561722187	0.34979576874752705	0.394197070925451	650	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	35.14278496841422	TRUE
rep02	1-4 ns	1000.0	4000.0	3000.0	0.7303173040832576	0.3465841988932996	0.33169269487308783	600	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	53.52757611650006	TRUE
rep02	1-4.5 ns	1000.0	4500.0	3500.0	0.7705277678207703	0.379437163187168	0.31576038323392175	550	FALSE	FAIL_R2;FAIL_MEAN_ALPHA_LOW;FAIL_LOGLOG_ALPHA_LOW	45.571301061830574	TRUE
