replicate	trestart_ps	candidate_windows_evaluated	eligible_window_count	any_eligible	eligibility_disagreement_fraction_vs_10ps	rep01_scope_note
rep01	5.0	1	1	True	0.0	fixed 0.5-2 ns only
rep01	10.0	1	1	True	0.0	fixed 0.5-2 ns only
rep01	20.0	1	0	False	1.0	fixed 0.5-2 ns only
rep01	50.0	1	0	False	1.0	fixed 0.5-2 ns only
rep02	5.0	28	0	False	0.0	full frozen candidate grid
rep02	10.0	28	0	False	0.0	full frozen candidate grid
rep02	20.0	28	0	False	0.0	full frozen candidate grid
rep02	50.0	28	0	False	0.0	full frozen candidate grid
rep03	5.0	28	0	False	0.0	full frozen candidate grid
rep03	10.0	28	0	False	0.0	full frozen candidate grid
rep03	20.0	28	0	False	0.0	full frozen candidate grid
rep03	50.0	28	0	False	0.0	full frozen candidate grid
rep04	5.0	28	0	False	0.0	full frozen candidate grid
rep04	10.0	28	0	False	0.0	full frozen candidate grid
rep04	20.0	28	0	False	0.0	full frozen candidate grid
rep04	50.0	28	0	False	0.0	full frozen candidate grid
rep05	5.0	28	0	False	0.0	full frozen candidate grid
rep05	10.0	28	0	False	0.0	full frozen candidate grid
rep05	20.0	28	0	False	0.0	full frozen candidate grid
rep05	50.0	28	0	False	0.0	full frozen candidate grid
rep06	5.0	28	3	True	0.0	full frozen candidate grid
rep06	10.0	28	3	True	0.0	full frozen candidate grid
rep06	20.0	28	0	False	0.10714285714285714	full frozen candidate grid
rep06	50.0	28	0	False	0.10714285714285714	full frozen candidate grid
rep07	5.0	28	0	False	0.0	full frozen candidate grid
rep07	10.0	28	0	False	0.0	full frozen candidate grid
rep07	20.0	28	0	False	0.0	full frozen candidate grid
rep07	50.0	28	0	False	0.0	full frozen candidate grid
rep08	5.0	28	0	False	0.0	full frozen candidate grid
rep08	10.0	28	0	False	0.0	full frozen candidate grid
rep08	20.0	28	0	False	0.0	full frozen candidate grid
rep08	50.0	28	0	False	0.0	full frozen candidate grid
rep09	5.0	28	14	True	0.0	full frozen candidate grid
rep09	10.0	28	14	True	0.0	full frozen candidate grid
rep09	20.0	28	0	False	0.5	full frozen candidate grid
rep09	50.0	28	0	False	0.5	full frozen candidate grid
rep10	5.0	28	3	True	0.0	full frozen candidate grid
rep10	10.0	28	3	True	0.0	full frozen candidate grid
rep10	20.0	28	0	False	0.10714285714285714	full frozen candidate grid
rep10	50.0	28	0	False	0.10714285714285714	full frozen candidate grid
rep11	5.0	28	0	False	0.0	full frozen candidate grid
rep11	10.0	28	0	False	0.0	full frozen candidate grid
rep11	20.0	28	0	False	0.0	full frozen candidate grid
rep11	50.0	28	0	False	0.0	full frozen candidate grid
rep12	5.0	28	0	False	0.0	full frozen candidate grid
rep12	10.0	28	0	False	0.0	full frozen candidate grid
rep12	20.0	28	0	False	0.0	full frozen candidate grid
rep12	50.0	28	0	False	0.0	full frozen candidate grid
rep13	5.0	28	0	False	0.0	full frozen candidate grid
rep13	10.0	28	0	False	0.0	full frozen candidate grid
rep13	20.0	28	0	False	0.0	full frozen candidate grid
rep13	50.0	28	0	False	0.0	full frozen candidate grid
rep14	5.0	28	0	False	0.0	full frozen candidate grid
rep14	10.0	28	0	False	0.0	full frozen candidate grid
rep14	20.0	28	0	False	0.0	full frozen candidate grid
rep14	50.0	28	0	False	0.0	full frozen candidate grid
rep15	5.0	28	1	True	0.0	full frozen candidate grid
rep15	10.0	28	1	True	0.0	full frozen candidate grid
rep15	20.0	28	0	False	0.03571428571428571	full frozen candidate grid
rep15	50.0	28	0	False	0.03571428571428571	full frozen candidate grid
rep16	5.0	28	0	False	0.0	full frozen candidate grid
rep16	10.0	28	0	False	0.0	full frozen candidate grid
rep16	20.0	28	0	False	0.0	full frozen candidate grid
rep16	50.0	28	0	False	0.0	full frozen candidate grid
rep17	5.0	28	1	True	0.0	full frozen candidate grid
rep17	10.0	28	1	True	0.0	full frozen candidate grid
rep17	20.0	28	0	False	0.03571428571428571	full frozen candidate grid
rep17	50.0	28	0	False	0.03571428571428571	full frozen candidate grid
rep18	5.0	28	0	False	0.0	full frozen candidate grid
rep18	10.0	28	0	False	0.0	full frozen candidate grid
rep18	20.0	28	0	False	0.0	full frozen candidate grid
rep18	50.0	28	0	False	0.0	full frozen candidate grid
rep19	5.0	28	13	True	0.0	full frozen candidate grid
rep19	10.0	28	13	True	0.0	full frozen candidate grid
rep19	20.0	28	0	False	0.4642857142857143	full frozen candidate grid
rep19	50.0	28	0	False	0.4642857142857143	full frozen candidate grid
rep20	5.0	28	0	False	0.0	full frozen candidate grid
rep20	10.0	28	0	False	0.0	full frozen candidate grid
rep20	20.0	28	0	False	0.0	full frozen candidate grid
rep20	50.0	28	0	False	0.0	full frozen candidate grid
